EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.5913,-0.592,-0.591,2.697,-2.723,1.589,-2.986,2.73,-0.517,-2.934,-0.2988,-2.229,-0.625,-1.674,-1.0,-1.0,4.676,4.15,-1.109,0.0,-0.105,2.459,-0.543,-0.5415,-0.3035,-1.125,-0.03467,-1.701,-0.68,3.55,-0.8896,-0.008385,-0.837,-0.5903,-0.5957,0.0,0.0,-0.5913,0.0,-0.4675,-0.2345,0.0,0.0,0.0,0.0,-0.01643,-1.0,-0.5,-1.0,3.477,-1.217,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,-0.9907
-0.5913,-0.592,-0.591,2.027,-2.06,1.589,-2.986,2.73,-0.2164,-2.934,-0.2976,-0.646,-0.625,-1.674,-1.0,-1.0,4.676,4.15,-1.101,0.0,-0.10455,1.528,-0.5454,-0.545,-0.1206,-1.12,-0.01141,0.873,-0.681,-1.702,-1.809,-2.92,-2.92,-0.5903,-0.5957,1.0,-1.0,-0.5913,0.0,-0.4675,0.1019,0.0,0.0,0.0,0.0,0.001548,0.0,0.0,-0.5,2.863,-0.8945,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.8003
-0.5913,-0.592,-0.591,1.056,-1.096,1.589,-2.986,2.73,0.6484,-2.934,-0.2969,-7.773,-0.5,-1.674,0.0,-1.0,4.676,4.15,-1.081,0.0,-0.10406,2.254,-0.547,-0.548,0.608,-1.117,-0.02402,1.719,-0.6816,0.8735,3.547,-0.889,2.809,-0.5903,-0.5957,1.0,-1.0,-0.5913,0.0,-0.4675,-0.1964,0.0,0.0,0.0,0.0,0.02534,1.0,0.0,-0.5,1.968,0.00883,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,3.16
-0.5913,-0.592,-0.591,0.9673,-1.009,1.589,-2.986,2.73,0.6484,-2.934,-0.2961,0.1339,-0.375,-1.674,0.0,-1.0,4.676,4.15,-1.081,0.0,-0.1036,1.428,-0.549,-0.552,0.6396,-1.118,-0.03708,-0.00839,-0.684,1.72,-1.7,-1.808,2.633,-0.5903,-0.5957,0.0,0.0,-0.5913,0.0,-0.4675,-0.1298,0.0,0.0,0.0,0.0,-0.00633,1.0,-0.5,-0.5,1.846,0.04794,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.00266
-0.5913,-0.592,-0.591,1.272,-1.312,1.589,-2.986,2.73,0.2307,-2.934,-0.2954,-0.4758,-0.25,-1.674,0.0,-1.0,4.676,4.15,-1.091,0.0,-0.1031,0.635,-0.551,-0.5557,0.2935,-1.12,-0.04678,-0.838,-0.686,-0.00858,0.873,3.545,1.648,-0.5903,-0.5957,0.0,0.0,-0.5913,0.0,-0.4675,-0.1298,0.0,0.0,0.0,0.0,-0.014084,0.0,-1.0,-0.5,1.978,-0.3896,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,-0.7466
-0.5913,-0.592,-0.591,1.164,-1.204,1.589,-2.986,2.57,0.0803,-2.934,-0.2942,-0.3652,-0.125,-1.674,0.0,-1.0,4.676,4.15,-1.091,0.0,-0.1026,0.635,-0.5513,-0.56,0.11804,-1.116,-0.04825,-0.00839,-0.686,-0.839,1.718,-1.7,-0.00838,-0.5903,-0.5957,0.0,0.0,-0.5913,0.0,-0.4675,0.2778,0.0,0.0,0.0,0.0,-0.00633,0.0,-1.0,-0.5,1.75,-0.4207,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.00266
-0.5913,-0.592,-0.591,1.875,-1.91,1.589,-2.986,2.404,-0.749,-2.934,-0.2937,-4.945,-0.125,-1.674,-1.0,-1.0,4.676,4.15,-1.109,0.0,-0.1021,1.582,-0.5513,-0.5635,-0.7554,-1.115,-0.02547,-1.701,-0.686,-0.00858,-0.00839,0.873,-2.92,-0.5903,-0.5957,0.0,0.0,-0.5913,0.0,-0.4675,-0.1298,0.0,0.0,0.0,0.0,-0.03067,-1.0,-1.0,-1.0,2.396,-1.091,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,-2.385
-0.5913,-0.592,-0.591,2.582,-2.611,1.589,-1.691,2.293,-1.439,-2.934,-0.2935,1.288,-0.125,-1.674,-1.0,-1.0,4.676,4.15,-1.128,0.0,-0.1016,2.611,-0.5513,-0.5654,-1.433,-1.119,-0.02061,-1.771,-0.686,-1.702,-0.838,1.718,-0.8887,-0.5903,-0.5957,0.0,0.0,-0.5913,0.0,-0.4675,-0.57,0.0,0.0,0.0,0.0,-0.0379,-2.0,-1.0,-1.5,3.084,-1.709,-1.0,2.0,-1.0,0.0,0.0,0.0,0.0,-3.22
-0.5913,-0.592,-0.591,2.809,-2.836,1.589,-1.691,2.3,-1.637,-2.934,-0.2935,0.2935,-0.25,-1.674,-1.0,-1.0,4.676,4.15,-1.131,0.0,-0.10114,1.758,-0.5513,-0.5654,-1.595,-1.125,-0.01141,-0.928,-0.686,-1.773,-0.00839,-0.008385,-1.807,-0.5903,-0.5957,0.0,0.0,-0.5913,0.0,-0.4675,-0.8633,0.0,0.0,0.0,0.0,-0.02414,-2.0,-1.0,-2.0,3.361,-1.849,-1.0,3.0,-1.0,0.0,0.0,0.0,0.0,-1.896
-0.5913,-0.592,-0.591,3.375,-3.2,1.589,-1.691,2.68,-2.21,-2.934,-0.2937,0.54,-0.375,-1.674,-1.0,-1.0,4.676,4.15,-1.131,0.0,-0.10065,3.137,-0.5513,-0.5654,-2.19,-1.131,-0.03564,-1.889,-0.686,-0.929,-1.7,-0.8374,3.543,-0.5903,-0.5957,0.0,0.0,-0.5913,0.0,-0.4675,-0.976,0.0,0.0,0.0,0.0,-0.03595,-2.0,-1.5,-2.0,3.477,-2.545,-1.0,4.0,-1.0,0.0,0.0,0.0,0.0,-3.223
-0.5913,-0.592,-0.591,3.203,-3.2,1.589,-1.691,2.393,-2.072,-2.934,-0.2935,0.0626,-0.375,-1.674,-1.0,-1.0,4.676,4.15,-1.131,0.0,-0.1002,1.888,-0.5513,-0.5654,-2.055,-1.135,-0.02934,-0.00839,-0.686,-1.891,-1.771,-0.008385,-1.698,-0.5903,-0.5957,0.0,0.0,-0.5913,0.0,-0.4675,-0.654,0.0,0.0,0.0,0.0,-0.00633,-2.0,-1.5,-2.0,3.477,-2.371,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.00266
-0.5913,-0.592,-0.591,2.91,-2.936,1.589,-1.691,2.537,-1.96,-2.934,-0.293,0.072,-0.375,-1.674,-1.0,-1.0,4.676,4.15,-1.131,0.0,-0.09973,3.137,-0.5513,-0.5654,-1.752,-1.142,-0.03662,-0.00839,-0.686,-0.00858,-0.9277,-1.7,0.872,-0.5903,-0.5957,0.0,0.0,-0.5913,0.0,-0.4675,-0.57,0.0,0.0,0.0,0.0,-0.00633,-2.0,-1.5,-2.0,3.209,-2.2,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.00266
-0.5913,-0.592,-0.591,2.17,-2.201,1.589,-1.691,2.451,-1.497,-2.934,-0.2922,-0.137,-0.375,-1.674,-1.0,-1.0,4.676,4.15,-1.131,0.0,-0.09924,3.137,-0.5513,-0.5654,-1.216,-1.144,-0.0492,0.9756,-0.686,-0.00858,-1.889,-1.7705,1.716,-0.5903,-0.5957,1.0,-1.0,-0.5913,0.0,-0.4675,-0.2456,0.0,0.0,0.0,0.0,0.01088,-1.0,-1.5,-1.5,2.318,-1.725,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.955
-0.5913,-0.592,-0.591,1.523,-1.561,1.589,-1.691,2.164,-0.912,-2.934,-0.292,-0.321,-0.5,-1.674,-1.0,-1.0,4.676,4.15,-1.131,0.0,-0.09875,1.758,-0.5513,-0.5654,-0.6846,-1.1455,-0.0526,0.9536,-0.686,0.976,-0.00839,-0.9277,-0.00838,-0.5903,-0.5957,1.0,-1.0,-0.5913,0.0,-0.4675,-0.8633,0.0,0.0,0.0,0.0,0.002354,0.0,-1.5,-1.5,1.667,-1.182,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.963
-0.5913,-0.592,-0.591,0.5503,-0.5957,0.7,-1.691,2.021,-0.003216,-2.934,-0.2915,-1.081,-0.375,-1.674,0.0,-1.0,4.676,4.15,-1.119,0.0,-0.09827,2.533,-0.5513,-0.5654,0.1993,-1.1455,-0.05066,1.872,-0.686,0.954,-0.00839,-1.888,-0.837,-0.5903,-0.5957,1.0,-1.0,-0.5913,0.0,-0.4675,-0.2764,0.0,0.0,0.0,0.0,0.02577,1.0,-1.0,-1.0,0.801,-0.2474,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,3.486
-0.5913,-0.592,-0.591,0.5107,-0.556,0.7,-1.691,2.021,0.06003,-2.934,-0.2908,0.865,-0.25,-1.674,0.0,-1.0,4.676,4.15,-1.119,0.0,-0.0978,1.639,-0.5513,-0.5654,0.2279,-1.146,-0.05212,-0.00839,-0.686,1.873,0.975,-0.008385,-0.00838,-0.5903,-0.5957,0.0,0.0,-0.5913,0.0,-0.4675,-0.444,0.0,0.0,0.0,0.0,-0.00633,1.0,-1.0,-1.5,0.6733,-0.3044,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.00266
