EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.4604,-0.459,-0.463,-0.0826,0.0501,0.4956,-1.492,1.53,0.9844,-1.418,-0.759,6.684,-0.857,-1.31,0.0,-1.0,1.952,1.77,-0.257,0.0,-0.318,1.314,0.02003,0.0745,1.006,-0.3784,-0.5513,1.783,-0.2925,1.221,-0.9077,-0.3064,-1.118,-0.4639,-0.446,0.0,0.0,-0.4578,0.0,-0.4683,-0.11615,0.0,0.0,0.0,0.0,0.2374,2.0,0.5,0.5,0.2793,0.4272,3.0,0.0,-0.5,-1.0,0.0,0.0,0.0,0.808
-0.4597,-0.4585,-0.4622,-0.7793,0.7495,1.344,-1.492,1.042,1.748,-1.251,-0.7446,0.9185,-0.7144,-1.31,0.0,-1.0,1.639,1.5205,-0.1543,0.0,-0.3174,0.8604,-0.01047,0.05173,1.821,-0.3723,-0.1776,1.716,-0.3071,1.783,0.6177,0.926,-1.72,-0.4612,-0.447,0.0,0.0,-0.458,0.0,-0.4548,0.365,0.0,0.0,0.0,0.0,0.2212,2.0,1.0,1.0,-0.358,1.1455,4.0,0.0,-0.5,-1.0,0.0,0.0,0.0,0.7246
-0.4587,-0.4573,-0.4612,-1.142,1.125,1.889,-1.492,1.006,2.2,-1.137,-0.7305,0.4014,-0.5713,-1.31,0.0,-1.0,1.458,1.341,-0.0857,0.0,-0.3167,1.513,-0.04953,0.01917,2.148,-0.3452,0.392,1.103,-0.3008,1.716,1.219,-0.907,-2.383,-0.458,-0.4475,0.0,0.0,-0.4578,0.0,-0.4456,0.3965,0.0,0.0,0.0,0.0,0.284,3.0,1.5,1.0,-0.7344,1.481,5.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.897
-0.4568,-0.4553,-0.4595,-2.035,2.16,3.352,-1.492,0.9517,2.635,-0.837,-0.7114,0.7974,-0.4285,-1.31,0.0,-1.0,1.026,0.9062,0.10284,0.0,-0.316,2.002,-0.0996,-0.01994,2.438,-0.32,0.3613,2.96,-0.2563,1.103,1.78,0.617,0.943,-0.4536,-0.448,0.0,0.0,-0.4573,0.0,-0.4211,0.5645,0.0,0.0,0.0,0.0,0.583,3.0,1.5,1.0,-1.644,2.56,6.0,0.0,0.5,-1.0,0.0,0.0,0.0,1.798
-0.4556,-0.454,-0.4583,-1.319,1.347,3.352,-1.492,1.175,2.537,-0.99,-0.694,-0.1788,-0.2856,-1.31,0.0,-1.0,1.255,1.106,0.0,0.0,-0.3152,1.091,-0.159,-0.0653,2.438,-0.308,0.5024,-1.517,-0.2278,2.96,1.714,1.218,0.3079,-0.4497,-0.4482,0.0,0.0,-0.4568,0.0,-0.4338,0.4753,0.0,0.0,0.0,0.0,-0.1812,2.0,1.0,1.0,-0.8477,1.763,0.0,1.0,0.5,-1.0,0.0,0.0,0.0,-0.525
-0.4553,-0.4536,-0.458,-0.2942,0.3286,3.352,-1.492,1.3545,1.228,-1.196,-0.6777,-0.4094,-0.1428,-1.31,0.0,-1.0,1.575,1.409,-0.1371,0.0,-0.3145,1.205,-0.2252,-0.11365,1.297,-0.2976,0.7227,-2.092,-0.2222,-1.517,1.102,1.779,-0.306,-0.4473,-0.449,0.0,0.0,-0.4565,0.0,-0.4512,0.3918,0.0,0.0,0.0,0.0,-0.1794,1.0,1.0,1.0,0.1469,0.7773,0.0,2.0,0.5,-1.0,0.0,0.0,0.0,-0.5376
-0.4553,-0.4539,-0.4578,0.0935,-0.069,3.352,-1.492,1.279,0.596,-1.27,-0.657,-0.3936,0.0,-1.31,0.0,-1.0,1.686,1.533,-0.1886,0.0,-0.3137,0.8867,-0.2593,-0.1637,0.551,-0.259,0.6553,-0.822,-0.2196,-2.092,2.957,1.713,0.924,-0.4458,-0.4497,0.0,0.0,-0.4563,0.0,-0.4573,0.611,0.0,0.0,0.0,0.0,-0.07697,0.0,0.5,1.0,0.5293,0.3994,0.0,3.0,0.5,-1.0,0.0,0.0,0.0,-0.2417
-0.4556,-0.454,-0.458,0.3328,-0.3176,3.352,-1.492,1.182,0.1675,-1.315,-0.641,-0.566,0.1428,-1.31,0.0,-1.0,1.754,1.618,-0.2229,0.0,-0.313,0.545,-0.2603,-0.2009,0.03177,-0.2294,0.919,-0.558,-0.2195,-0.822,-1.515,1.101,-0.9053,-0.4456,-0.4504,0.0,0.0,-0.456,0.0,-0.4614,0.4385,0.0,0.0,0.0,0.0,-0.0523,-1.0,0.5,0.5,0.7827,0.1814,0.0,4.0,0.5,-0.5,0.0,0.0,0.0,-0.1671
-0.4556,-0.454,-0.458,0.1837,-0.1727,3.352,-1.492,1.197,0.166,-1.281,-0.625,0.1263,0.2856,-1.31,0.0,-1.0,1.699,1.56,-0.2057,0.0,-0.3123,0.9004,-0.2397,-0.2286,0.07056,-0.2172,0.8823,0.2825,-0.2177,-0.558,-2.09,2.955,0.6157,-0.446,-0.4512,0.0,0.0,-0.4558,0.0,-0.459,0.4385,0.0,0.0,0.0,0.0,0.02399,-1.0,0.5,0.5,0.64,0.3232,1.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.07764
-0.4558,-0.4543,-0.4583,0.295,-0.287,3.352,-1.492,1.352,-0.1148,-1.301,-0.6084,-1.178,0.2856,-1.31,-1.0,-1.0,1.742,1.581,-0.2229,0.0,-0.3115,1.282,-0.2024,-0.2502,-0.1868,-0.2019,0.717,-0.2808,-0.2184,0.2825,-0.821,-1.514,1.215,-0.4473,-0.452,0.0,0.0,-0.4558,0.0,-0.461,0.4385,0.0,0.0,0.0,0.0,-0.01793,-1.0,0.0,0.5,0.7217,0.1842,0.0,1.0,0.5,-0.5,0.0,0.0,0.0,-0.05765
