EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-1.095,-1.094,-1.093,2.465,-2.547,0.01776,-1.731,1.945,-2.55,-1.441,-0.2527,0.579,-0.375,-1.561,-1.0,-1.0,2.102,1.634,-0.4492,0.0,-0.004993,0.9165,-0.608,-0.6396,-2.408,-0.2347,-0.06433,-1.917,-0.7974,0.0,-0.907,1.783,0.0,-1.064,-1.095,0.0,0.0,-1.083,0.0,-0.6646,-0.8877,0.0,0.0,0.0,0.0,-0.0064,-2.0,-1.0,-1.5,2.867,-1.908,0.0,1.0,-0.5,-2.0,0.0,0.0,0.0,-0.3833
-1.095,-1.094,-1.093,2.02,-2.096,0.01776,-1.731,1.954,-2.225,-1.385,-0.2534,-0.03104,-0.375,-1.561,-1.0,-1.0,2.008,1.54,-0.4312,0.0,-0.00444,1.395,-0.609,-0.6387,-2.3,-0.2646,-0.0841,0.4976,-0.797,-1.917,-1.847,-2.586,0.862,-1.064,-1.095,0.0,0.0,-1.083,0.0,-0.6646,-0.808,0.0,0.0,0.0,0.0,0.00968,-1.0,-1.0,-1.0,2.44,-1.479,1.0,0.0,-0.5,-2.0,0.0,0.0,0.0,0.6016
-1.095,-1.094,-1.093,2.062,-2.139,0.01776,-1.731,1.986,-2.285,-1.421,-0.254,0.1715,-0.375,-1.561,-1.0,-1.0,2.072,1.596,-0.4492,0.0,-0.003885,0.9165,-0.611,-0.6377,-2.408,-0.274,-0.07697,-0.493,-0.795,0.4976,0.0,-0.9067,-1.271,-1.064,-1.095,0.0,0.0,-1.083,0.0,-0.6646,-0.808,0.0,0.0,0.0,0.0,-0.00387,-1.0,-1.0,-1.0,2.389,-1.615,0.0,1.0,-0.5,-2.0,0.0,0.0,0.0,-0.2382
-1.095,-1.094,-1.093,0.2194,-0.2834,0.4504,-1.731,1.747,-0.3816,-1.043,-0.2544,-0.8423,-0.375,-1.561,-1.0,-1.0,1.459,1.039,-0.3047,0.0,-0.00333,1.709,-0.6094,-0.636,-0.3796,-0.299,-0.0907,3.38,-0.795,-0.493,-1.914,-1.846,0.4343,-1.064,-1.095,1.0,-1.0,-1.083,0.0,-0.6646,-0.5938,0.0,0.0,0.0,0.0,0.1243,0.0,-1.0,-1.0,0.7817,0.329,1.0,0.0,-0.5,-2.0,0.0,0.0,0.0,7.723
-1.095,-1.094,-1.093,0.4053,-0.4714,0.4504,-1.391,1.62,-0.4631,-1.08,-0.2551,0.4946,-0.5,-1.561,-1.0,-1.0,1.499,1.106,-0.3228,0.0,-0.002775,-0.15,-0.608,-0.6343,-0.3535,-0.3198,-0.0731,-0.4626,-0.795,3.38,0.4966,0.0,-1.724,-1.064,-1.095,0.0,0.0,-1.083,0.0,-0.6646,-0.6367,0.0,0.0,0.0,0.0,-0.0215,0.0,-1.0,-1.0,0.942,0.1302,0.0,1.0,-0.5,-2.0,0.0,0.0,0.0,-1.242
-1.095,-1.094,-1.093,0.1847,-0.2505,0.4504,-1.391,1.441,-0.07776,-1.024,-0.2556,-1.134,-0.5,-1.561,0.0,-1.0,1.399,1.046,-0.3047,0.0,-0.00222,-0.1582,-0.607,-0.633,-0.09204,-0.323,-0.0979,0.4668,-0.795,-0.4626,-0.492,-1.912,1.781,-1.064,-1.095,0.0,0.0,-1.083,0.0,-0.6646,-0.7036,0.0,0.0,0.0,0.0,0.01041,1.0,-1.0,-1.0,0.6807,0.29,1.0,0.0,-0.5,-2.0,0.0,0.0,0.0,0.6064
-1.095,-1.094,-1.093,-1.259,1.204,0.5205,-1.391,1.3955,1.714,-0.6455,-0.2554,16.75,-0.5,-1.561,0.0,-1.0,0.889,0.5483,-0.1604,0.0,-0.001665,3.26,-0.6064,-0.6323,1.634,-0.3184,-0.0693,3.38,-0.794,0.4668,3.375,0.4963,-2.584,-1.064,-1.095,1.0,-1.0,-1.083,0.0,-0.6646,-0.1038,0.0,0.0,0.0,0.0,0.0899,1.0,-0.5,-0.5,-0.584,1.808,2.0,0.0,-0.5,-2.0,0.0,0.0,0.0,5.19
-1.095,-1.094,-1.093,-0.7827,0.7236,0.5205,-1.391,1.37,1.296,-0.7295,-0.2551,-0.11395,-0.5,-1.561,0.0,-1.0,0.992,0.6567,-0.1965,0.0,-0.00111,0.682,-0.607,-0.6333,1.119,-0.313,-0.055,-0.8643,-0.794,3.38,-0.4617,-0.4917,-0.9062,-1.064,-1.095,0.0,0.0,-1.083,0.0,-0.6646,-0.2487,0.0,0.0,0.0,0.0,-0.01219,1.0,-0.5,-1.0,-0.1635,1.311,0.0,1.0,-0.5,-2.0,0.0,0.0,0.0,-0.6577
-1.095,-1.094,-1.093,-0.3384,0.2764,0.5205,-1.391,1.491,0.8433,-0.814,-0.255,-0.2153,-0.375,-1.561,0.0,-1.0,1.115,0.7524,-0.2325,0.0,-0.000555,1.614,-0.607,-0.635,0.7563,-0.3196,-0.0297,-0.879,-0.794,-0.8643,0.4658,3.373,-1.844,-1.064,-1.095,0.0,0.0,-1.083,0.0,-0.6646,-0.1528,0.0,0.0,0.0,0.0,-0.006763,0.0,-0.5,-1.0,0.2261,0.8438,0.0,2.0,-0.5,-2.0,0.0,0.0,0.0,-0.371
-1.095,-1.094,-1.093,0.8564,-0.9272,0.5205,-1.391,1.726,-0.3538,-1.084,-0.2556,-1.235,-0.5,-1.561,-1.0,-1.0,1.516,1.1,-0.3408,0.0,0.0,1.759,-0.6074,-0.6353,-0.4927,-0.327,-0.0253,-2.682,-0.7944,-0.879,3.375,-0.4614,0.0,-1.064,-1.095,0.0,0.0,-1.083,0.0,-0.6646,-0.632,0.0,0.0,0.0,0.0,-0.007217,0.0,-0.5,-1.5,1.399,-0.2808,0.0,3.0,-0.5,-2.0,0.0,0.0,0.0,-0.4028
