EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.5024,-0.501,-0.502,-0.1637,0.121,-0.3318,0.3206,-0.3628,0.0896,-0.0977,-0.1194,0.4338,0.4285,-0.8965,0.0,-1.0,0.0838,0.1188,1.113,0.0,-0.405,-0.9233,-0.45,-0.2986,0.06082,1.084,0.1615,0.1462,-0.6113,-0.3765,0.02193,0.0776,-0.3752,-0.4885,-0.5093,0.0,0.0,-0.5063,0.0,0.215,0.4856,0.0,0.0,0.0,0.0,0.013626,0.0,1.0,1.0,-0.235,0.04315,0.0,0.0,0.5,-1.0,0.0,0.0,0.0,0.03464
-0.501,-0.5,-0.501,-0.2067,0.163,-0.3318,0.3206,-0.465,0.1203,-0.0816,-0.11346,0.3992,0.4285,-0.8965,0.0,-1.0,0.06168,0.1067,1.122,0.0,-0.4045,-0.731,-0.516,-0.3274,0.10345,1.088,0.3506,0.134,-0.6074,0.1465,-0.362,0.199,-0.609,-0.4883,-0.5073,0.0,0.0,-0.5054,0.0,0.2178,0.42,0.0,0.0,0.0,0.0,0.004955,0.0,1.5,1.0,-0.3145,0.04254,0.5,0.0,0.5,-1.0,0.0,0.0,0.0,0.01564
-0.4993,-0.498,-0.4988,-0.4282,0.387,-0.3318,0.3206,-0.541,0.3818,-0.01862,-0.1092,2.037,0.4285,-0.888,0.0,0.0,-0.006443,0.04495,1.158,0.0,-0.404,-0.1555,-0.54,-0.3645,0.3718,1.091,0.2052,0.632,-0.5923,0.1343,-0.3767,0.02141,0.6694,-0.4868,-0.5054,0.0,0.0,-0.5044,0.0,0.2285,0.3206,0.0,0.0,0.0,0.0,0.034,0.0,1.5,1.0,-0.5156,0.2803,1.0,0.0,0.5,-1.0,0.0,0.0,0.0,0.0777
-0.4973,-0.496,-0.4968,-0.4224,0.3813,-0.3318,0.3206,-0.569,0.3804,-0.00805,-0.10254,0.12,0.4285,-0.8794,0.0,0.0,-0.01837,0.03564,1.164,0.0,-0.4036,0.05417,-0.5347,-0.4055,0.3638,1.097,0.1244,0.07544,-0.5767,0.6323,0.1464,-0.3625,0.4243,-0.4858,-0.5034,0.0,0.0,-0.5034,0.0,0.2302,0.5767,0.0,0.0,0.0,0.0,0.00461,1.0,1.5,1.5,-0.521,0.2625,1.5,0.0,0.5,-1.0,0.0,0.0,0.0,0.014046
-0.4937,-0.4927,-0.4934,-0.7837,0.748,-0.2288,0.3206,-0.593,0.79,0.1019,-0.0897,1.306,0.5713,-0.871,0.0,0.0,-0.1249,-0.07056,1.226,0.0,-0.403,0.1722,-0.507,-0.4492,0.752,1.111,0.021,1.102,-0.5225,0.0756,0.1342,-0.3772,0.4626,-0.4822,-0.4998,0.0,0.0,-0.5015,0.0,0.249,1.004,1.0,0.0,0.0,0.0,0.1512,2.0,1.5,2.0,-0.8394,0.662,2.0,0.0,0.5,-1.0,1.0,0.0,6.125,0.3206
-0.4915,-0.4905,-0.491,-0.473,0.4338,-0.2288,0.3206,-0.4998,0.4053,0.04007,-0.07666,-0.4429,0.7144,-0.863,0.0,0.0,-0.06192,-0.01587,1.19,0.0,-0.4028,0.2415,-0.4666,-0.456,0.3413,1.125,0.04718,-0.658,-0.512,1.103,0.6323,0.1459,0.0771,-0.479,-0.4973,0.0,0.0,-0.4995,0.0,0.2382,0.945,1.0,0.0,0.0,0.0,-0.1599,1.0,1.0,2.0,-0.545,0.3428,-0.5,1.0,0.5,-1.0,0.0,0.0,0.0,-0.3186
-0.4915,-0.4902,-0.491,0.00785,-0.0511,-0.2288,0.3188,-0.3518,-0.1333,-0.0694,-0.07153,-1.343,0.7144,-0.863,-1.0,-1.0,0.0547,0.08795,1.128,0.0,-0.4023,1.09,-0.4355,-0.4663,-0.2021,1.131,0.01518,-1.149,-0.5356,-0.658,0.0755,0.1337,0.1985,-0.478,-0.496,0.0,0.0,-0.498,0.0,0.2191,0.2861,0.0,0.0,0.0,0.0,-0.303,0.0,0.5,1.5,-0.05524,-0.11273,-0.5,2.0,0.5,-1.0,0.0,0.0,0.0,-0.6196
-0.492,-0.491,-0.4915,0.2292,-0.2742,-0.2288,0.06097,-0.3127,-0.3762,-0.12085,-0.0705,3.678,0.5713,-0.863,-1.0,-1.0,0.1109,0.1414,1.099,0.0,-0.4019,-0.442,-0.418,-0.4836,-0.4475,1.132,-0.005817,-0.585,-0.55,-1.15,1.103,0.632,0.02094,-0.4788,-0.495,0.0,0.0,-0.4973,0.0,0.2102,-0.0291,0.0,0.0,0.0,0.0,-0.0962,-1.0,0.0,1.0,0.1589,-0.3347,-0.5,3.0,0.5,-1.0,0.0,0.0,0.0,-0.2006
-0.4934,-0.4922,-0.493,0.4014,-0.4465,-0.2288,-0.1595,-0.3289,-0.5527,-0.1637,-0.07324,0.79,0.4285,-0.863,-1.0,-1.0,0.1566,0.1897,1.074,0.0,-0.4014,-0.4636,-0.4146,-0.486,-0.6357,1.13,0.0685,-0.505,-0.5435,-0.585,-0.6587,0.075,-0.363,-0.4807,-0.4954,0.0,0.0,-0.4978,0.0,0.2026,-0.3252,0.0,0.0,0.0,0.0,-0.04028,-2.0,0.0,0.5,0.3398,-0.4902,-0.5,4.0,0.5,-0.5,0.0,0.0,0.0,-0.0824
-0.4944,-0.4932,-0.494,0.3013,-0.345,-0.2288,-0.1595,-0.3433,-0.457,-0.1464,-0.07556,-0.1103,0.2856,-0.863,-1.0,-1.0,0.137,0.171,1.083,0.0,-0.401,-0.638,-0.421,-0.4834,-0.552,1.128,0.1422,0.1383,-0.544,-0.5054,-1.15,1.102,-0.3777,-0.4841,-0.495,0.0,0.0,-0.4978,0.0,0.2053,-0.306,0.0,0.0,0.0,0.0,0.004784,-2.0,0.5,0.5,0.2416,-0.3906,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.01607
-0.4956,-0.4944,-0.495,0.4006,-0.4438,-0.2288,-0.1595,-0.3066,-0.5474,-0.1733,-0.0802,0.3987,0.1428,-0.863,-1.0,-1.0,0.1685,0.1995,1.066,0.0,-0.4006,0.10925,-0.4336,-0.4856,-0.6045,1.118,0.07886,-0.3396,-0.5454,0.1384,-0.5854,-0.659,0.1454,-0.4883,-0.4954,0.0,0.0,-0.4978,0.0,0.2006,-0.4653,0.0,0.0,0.0,0.0,-0.08325,-2.0,0.0,0.0,0.3481,-0.4775,-0.5,1.0,0.5,-0.5,0.0,0.0,0.0,-0.1775
-0.496,-0.4949,-0.4956,0.171,-0.2119,-0.2288,-0.1595,-0.3113,-0.308,-0.1255,-0.08295,-0.469,0.0,-0.863,-1.0,-1.0,0.11597,0.1464,1.093,0.0,-0.4001,0.233,-0.4482,-0.4907,-0.3672,1.115,0.004845,0.4717,-0.5693,-0.3396,-0.5054,-1.151,0.1332,-0.4941,-0.495,0.0,0.0,-0.4968,0.0,0.2086,-0.3164,0.0,0.0,0.0,0.0,0.067,-1.0,0.0,0.0,0.1362,-0.2351,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.1543
-0.4968,-0.4956,-0.4966,0.2622,-0.3042,-0.2288,-0.1595,-0.3774,-0.3948,-0.1481,-0.0853,0.5376,-0.1428,-0.863,-1.0,-1.0,0.1371,0.1747,1.079,0.0,-0.3997,-0.7676,-0.4673,-0.4985,-0.468,1.114,-0.2052,-0.2925,-0.573,0.472,0.1383,-0.586,0.6313,-0.4988,-0.495,0.0,0.0,-0.4966,0.0,0.2045,-0.2969,0.0,0.0,0.0,0.0,-0.02681,-1.0,-0.5,0.0,0.2198,-0.3323,-0.5,1.0,0.5,-0.5,0.0,0.0,0.0,-0.05325
-0.4983,-0.497,-0.498,0.434,-0.4763,-0.2288,-0.1595,-0.3625,-0.5703,-0.19,-0.08777,0.752,-0.2856,-0.863,-1.0,-1.0,0.1843,0.2213,1.055,0.0,-0.3992,-0.642,-0.4897,-0.509,-0.659,1.112,-0.2805,-0.5107,-0.5596,-0.2925,-0.3398,-0.506,0.0745,-0.502,-0.4958,0.0,0.0,-0.4973,0.0,0.1969,-0.3274,0.0,0.0,0.0,0.0,-0.04138,-1.0,-1.0,0.0,0.3982,-0.4902,-0.5,2.0,0.5,-0.5,0.0,0.0,0.0,-0.0857
-0.5005,-0.4993,-0.5,0.635,-0.675,-0.2288,-0.1595,-0.218,-0.7637,-0.2395,-0.0928,0.5835,-0.4285,-0.863,-1.0,-1.0,0.2484,0.272,1.024,0.0,-0.3987,-0.1787,-0.511,-0.523,-0.8555,1.107,-0.679,-0.611,-0.53,-0.511,0.472,0.1378,1.102,-0.5054,-0.4966,0.0,0.0,-0.4988,0.0,0.188,-0.51,0.0,0.0,0.0,0.0,-0.07684,-2.0,-1.5,-0.5,0.6084,-0.6694,-0.5,3.0,0.5,-0.5,0.0,1.0,-3.447,-0.1659
-0.5024,-0.501,-0.5024,0.6187,-0.657,-0.2288,-0.1595,-0.2322,-0.7456,-0.245,-0.099,0.0932,-0.5713,-0.863,-1.0,-1.0,0.2542,0.2793,1.0205,0.0,-0.3984,-0.9165,-0.5283,-0.538,-0.852,1.102,-0.595,-0.1272,-0.5034,-0.611,-0.2927,-0.3403,-0.6597,-0.508,-0.4968,0.0,0.0,-0.5005,0.0,0.1866,-0.584,0.0,0.0,0.0,0.0,-0.02031,-2.0,-1.5,-1.0,0.566,-0.6826,-0.5,4.0,0.5,-0.5,0.0,0.0,0.0,-0.04007
-0.5034,-0.502,-0.503,0.2449,-0.2812,-0.2288,-0.1595,-0.2551,-0.3518,-0.1699,-0.1052,-0.574,-0.7144,-0.863,-1.0,-1.0,0.1674,0.193,1.061,0.0,-0.398,-0.2081,-0.5396,-0.5493,-0.494,1.099,-0.3494,0.782,-0.4993,-0.1272,-0.511,0.4714,-1.151,-0.5083,-0.4966,0.0,0.0,-0.5015,0.0,0.1991,-0.5503,0.0,0.0,0.0,0.0,0.0371,-2.0,-1.0,-1.0,0.2406,-0.267,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.09106
-0.5024,-0.501,-0.502,-0.1835,0.1495,-0.2288,-0.1595,-0.271,0.1387,-0.06866,-0.1077,-1.878,-0.7144,-0.863,0.0,-1.0,0.058,0.08307,1.116,0.0,-0.3975,0.0063,-0.5376,-0.5576,-0.01133,1.096,-0.2245,1.049,-0.5024,0.7827,-0.6113,-0.2932,-0.5864,-0.5063,-0.4958,0.0,0.0,-0.502,0.0,0.2161,-0.2737,0.0,0.0,0.0,0.0,0.0659,-1.0,-0.5,-1.0,-0.1754,0.1599,0.5,0.0,0.5,-0.5,1.0,0.0,5.383,0.1525
-0.502,-0.5005,-0.5015,-0.05212,0.01169,-0.2288,-0.1595,-0.3672,0.08563,-0.0932,-0.1157,-0.2256,-0.7144,-0.863,0.0,-1.0,0.0788,0.11414,1.101,0.0,-0.397,-0.01682,-0.5137,-0.563,-0.06726,1.087,-0.07916,-0.322,-0.5034,1.05,-0.1273,-0.5117,-0.5063,-0.506,-0.4958,0.0,0.0,-0.502,0.0,0.2114,-0.6846,0.0,0.0,0.0,0.0,-0.03735,-1.0,-0.5,-1.5,-0.06494,0.00389,-0.5,1.0,0.5,-0.5,0.0,0.0,0.0,-0.0754
-0.502,-0.501,-0.5015,0.1047,-0.1503,-0.2288,-0.1595,-0.3618,-0.01717,-0.1259,-0.1223,-0.8213,-0.7144,-0.863,0.0,-1.0,0.1138,0.1493,1.081,0.0,-0.3965,0.1704,-0.4797,-0.5576,-0.12146,1.073,-0.11273,-0.4146,-0.502,-0.322,0.7827,-0.612,0.1373,-0.506,-0.4958,0.0,0.0,-0.5024,0.0,0.2053,-0.631,0.0,0.0,0.0,0.0,-0.04474,-1.0,-1.0,-1.5,0.04977,-0.1989,-0.5,2.0,0.5,-0.5,0.0,0.0,0.0,-0.092
-0.5024,-0.5015,-0.502,0.1344,-0.1823,-0.2288,-0.1595,-0.5244,-0.02563,-0.1313,-0.1246,-0.2069,-0.5713,-0.863,0.0,-1.0,0.1115,0.1636,1.076,0.0,-0.3962,-0.804,-0.4463,-0.5415,-0.0681,1.0625,-0.02649,-0.1239,-0.5005,-0.4148,1.05,-0.1278,-0.3408,-0.505,-0.4958,0.0,0.0,-0.503,0.0,0.2039,-0.3826,0.0,0.0,0.0,0.0,-0.01823,-1.0,-1.0,-1.5,0.0572,-0.2546,-0.5,3.0,0.5,-0.5,0.0,0.0,0.0,-0.03467
-0.504,-0.503,-0.5034,0.503,-0.5522,-0.2288,-0.1595,-0.3992,-0.393,-0.2146,-0.1278,-19.5,-0.5713,-0.863,-1.0,-1.0,0.2104,0.2517,1.027,0.0,-0.3958,0.518,-0.4214,-0.5205,-0.4253,1.057,-0.1635,-0.968,-0.4875,-0.12384,-0.3223,0.782,0.471,-0.505,-0.4958,0.0,0.0,-0.5044,0.0,0.1892,-0.4739,0.0,0.0,0.0,0.0,-0.1448,-2.0,-1.5,-1.5,0.4297,-0.605,-0.5,4.0,0.5,-0.5,0.0,0.0,0.0,-0.3137
-0.506,-0.505,-0.5054,0.5796,-0.6284,-0.2288,-0.1595,-0.3384,-0.4827,-0.2379,-0.1306,0.446,-0.5713,-0.863,-1.0,-1.0,0.2406,0.2761,1.013,0.0,-0.3953,0.1058,-0.3982,-0.4944,-0.4797,1.048,-0.1247,-0.327,-0.4817,-0.9683,-0.4148,1.049,-0.2937,-0.5054,-0.4963,0.0,0.0,-0.507,0.0,0.1849,-0.4268,0.0,0.0,0.0,0.0,-0.0717,-3.0,-1.5,-1.5,0.509,-0.6753,-0.5,5.0,0.5,0.0,0.0,0.0,0.0,-0.1569
-0.5073,-0.5063,-0.507,0.4587,-0.506,-0.2288,-0.1595,-0.3103,-0.3713,-0.2196,-0.1338,-0.1929,-0.5713,-0.863,-1.0,-1.0,0.2207,0.253,1.021,0.0,-0.3948,-0.09827,-0.3848,-0.469,-0.3718,1.044,-0.0252,0.145,-0.4875,-0.327,-0.124,-0.3228,-0.512,-0.507,-0.497,0.0,0.0,-0.509,0.0,0.1876,-0.4268,0.0,0.0,0.0,0.0,0.005596,-2.0,-1.0,-1.5,0.3877,-0.558,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.01924
-0.5103,-0.509,-0.51,0.7603,-0.8076,-0.4136,-0.1595,-0.2842,-0.6733,-0.2915,-0.1389,1.284,-0.5713,-0.863,-1.0,-1.0,0.307,0.3384,0.9805,0.0,-0.3943,-0.1606,-0.3652,-0.4436,-0.6597,1.036,0.1186,-0.8594,-0.529,0.1453,-0.9683,-0.4155,-0.6123,-0.5127,-0.4985,0.0,0.0,-0.5127,0.0,0.1752,-0.5405,0.0,0.0,0.0,0.0,-0.1283,-2.0,-1.0,-1.5,0.69,-0.846,-0.5,1.0,0.5,0.0,0.0,0.0,0.0,-0.2866
-0.513,-0.5117,-0.5127,0.947,-0.993,-0.4136,-0.1595,-0.2747,-0.8447,-0.342,-0.1484,0.4634,-0.5713,-0.863,-1.0,-1.0,0.3699,0.4019,0.951,0.0,-0.394,0.3767,-0.3423,-0.4202,-0.819,1.025,0.1202,-0.6396,-0.54,-0.8594,-0.3271,-0.1245,-0.1283,-0.519,-0.5005,0.0,0.0,-0.516,0.0,0.1664,-0.8403,0.0,1.0,0.0,0.0,-0.0704,-2.0,-1.0,-2.0,0.8843,-1.016,-0.5,2.0,0.5,0.0,0.0,0.0,0.0,-0.1582
