EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.4736,-0.4724,-0.4736,-1.225,1.251,0.3389,0.582,0.06555,1.118,0.1733,-0.1282,0.27,0.857,-1.2295,0.0,0.0,-0.1458,-0.1821,0.636,0.0,-0.51,-0.05435,0.6523,0.1538,1.104,0.5156,0.3918,0.6743,0.539,0.0,0.0,-0.3389,1.064,-0.4385,-0.5015,0.0,0.0,-0.4846,0.0,-0.2428,1.42,1.0,0.0,0.0,0.0,0.1733,0.0,-0.5,0.0,-1.088,1.292,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.2499
-0.4688,-0.4678,-0.4688,-1.101,1.116,0.3389,0.582,0.06555,0.895,0.1709,-0.0912,-0.05798,0.857,-1.22,0.0,0.0,-0.1437,-0.1798,0.636,0.0,-0.5093,-0.4417,0.8345,0.3125,0.847,0.54,0.686,0.0,0.552,0.6743,1.38,-0.6816,-0.3489,-0.4358,-0.498,0.0,0.0,-0.4785,0.0,-0.2437,1.42,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-1.005,1.126,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
-0.4631,-0.4624,-0.463,-1.271,1.278,0.3389,0.582,-0.04175,1.026,0.2494,-0.05475,0.2808,0.857,-1.211,0.0,0.0,-0.2216,-0.2454,0.671,0.0,-0.5083,-0.0668,0.9204,0.458,1.027,0.5566,0.343,0.667,0.546,0.0,0.0,0.0,1.053,-0.4304,-0.4944,0.0,0.0,-0.4717,0.0,-0.2288,1.42,1.0,0.0,0.0,0.0,0.1353,1.0,-0.5,0.0,-1.195,1.249,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.193
-0.458,-0.4575,-0.4578,-1.143,1.143,0.3389,0.582,-0.1329,0.8584,0.2452,-0.0281,-0.02167,0.857,-1.202,0.0,0.0,-0.226,-0.2324,0.671,0.0,-0.5073,0.6997,1.015,0.609,0.7495,0.5835,0.4736,0.0,0.5386,0.667,0.675,1.379,0.0,-0.4233,-0.491,0.0,0.0,-0.4656,0.0,-0.2296,1.284,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,-1.126,1.061,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
-0.453,-0.4524,-0.4526,-1.162,1.163,0.3389,0.582,-0.1702,0.8916,0.282,-0.006027,0.176,0.857,-1.192,0.0,0.0,-0.2607,-0.264,0.6885,1.0,-0.579,-0.0729,1.09,0.7437,0.7495,0.6006,0.1143,0.3298,0.4614,0.0,0.0,0.0,1.034,-0.4155,-0.4873,0.0,0.0,-0.4585,0.0,-0.2227,1.195,1.0,0.0,0.0,0.0,0.1109,1.0,-0.5,-0.5,-1.146,1.079,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.1565
-0.447,-0.4465,-0.4468,-1.316,1.321,0.3389,0.582,-0.12366,1.06,0.358,0.02194,0.3208,0.857,-1.184,0.0,0.0,-0.321,-0.3403,0.6885,1.0,-0.579,0.2922,1.146,0.861,0.928,0.583,0.3755,0.6562,0.42,0.3298,0.6675,0.6743,-0.339,-0.4094,-0.4824,0.0,0.0,-0.4514,0.0,-0.2079,1.465,1.0,0.0,0.0,0.0,0.1738,1.0,0.0,0.0,-1.31,1.213,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.244
-0.4412,-0.4404,-0.441,-1.315,1.323,0.3389,0.582,-0.1306,1.079,0.3938,0.04565,0.1566,0.857,-1.174,0.0,0.0,-0.3516,-0.3728,0.6885,1.0,-0.579,-0.0908,1.155,0.9517,1.001,0.5757,0.849,0.3247,0.37,0.6562,0.0,0.0,-0.682,-0.4023,-0.4773,0.0,0.0,-0.444,0.0,-0.2009,1.391,1.0,0.0,0.0,0.0,0.08453,2.0,0.5,0.0,-1.295,1.2295,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.1174
-0.4365,-0.4358,-0.436,-1.043,1.046,0.3389,0.582,-0.1536,0.767,0.3484,0.06744,-0.1451,0.857,-1.165,0.0,0.0,-0.3157,-0.3281,0.6714,0.0,-0.578,-0.462,1.133,1.019,0.7104,0.5874,1.045,-0.323,0.2429,0.3247,0.33,0.667,0.0,-0.398,-0.4722,0.0,0.0,-0.4375,0.0,-0.2091,1.195,1.0,0.0,0.0,0.0,-0.0769,1.0,0.5,0.0,-1.075,0.9214,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,-0.1062
-0.4321,-0.4316,-0.432,-0.933,0.935,0.3389,0.582,-0.1835,0.666,0.3425,0.08154,0.01396,0.857,-1.156,0.0,0.0,-0.3135,-0.32,0.6714,0.0,-0.5776,-0.462,1.047,1.0205,0.6655,0.592,0.5713,0.0,0.11395,-0.323,0.6567,0.0,1.38,-0.3933,-0.4673,0.0,0.0,-0.4312,0.0,-0.2095,1.02,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5,-0.9907,0.793,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
-0.43,-0.4294,-0.4297,-0.4106,0.4045,0.3389,0.582,-0.1329,0.0777,0.2153,0.0914,-0.687,0.857,-1.146,0.0,0.0,-0.2001,-0.2036,0.62,0.0,-0.5767,-0.0668,0.9326,1.002,0.0963,0.598,0.686,-0.974,0.011154,0.0,0.325,0.3298,0.0,-0.3933,-0.4626,0.0,0.0,-0.4272,0.0,-0.2328,0.648,0.0,0.0,0.0,0.0,-0.2349,0.0,0.0,-0.5,-0.487,0.2925,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,-0.3262
-0.427,-0.4265,-0.4265,-0.649,0.639,-0.483,0.582,-0.1467,0.2961,0.292,0.1107,1.5,0.857,-1.138,0.0,0.0,-0.2673,-0.2756,0.6543,0.0,-0.576,-0.0789,0.7954,0.9736,0.3396,0.6074,0.4246,0.6597,-0.02818,-0.974,-0.3232,0.6562,0.675,-0.3916,-0.458,0.0,0.0,-0.4233,0.0,-0.218,1.143,1.0,0.0,0.0,0.0,0.1744,0.0,0.0,0.0,-0.673,0.5615,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.2461
-0.4224,-0.422,-0.4219,-0.996,0.986,-0.3684,0.582,-0.1078,0.6455,0.4082,0.1362,1.095,0.857,-1.129,0.0,0.0,-0.3616,-0.3882,0.6885,1.0,-0.579,0.2764,0.6763,0.9497,0.642,0.611,0.49,0.979,-0.069,0.6597,0.0,0.3247,0.0,-0.3882,-0.4524,0.0,0.0,-0.4185,0.0,-0.1963,1.284,1.0,0.0,0.0,0.0,0.4685,0.0,0.5,0.5,-1.012,0.8833,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.6543
-0.4182,-0.418,-0.4177,-0.893,0.8784,-0.3684,0.582,-0.167,0.5347,0.4036,0.1534,-0.0217,0.857,-1.119,0.0,0.0,-0.3628,-0.3782,0.6885,1.0,-0.579,-0.4697,0.5493,0.9077,0.541,0.621,0.2776,0.0,-0.07367,0.979,-0.975,-0.323,0.6675,-0.3862,-0.447,0.0,0.0,-0.4146,0.0,-0.1968,1.085,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9155,0.7783,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
-0.4128,-0.4124,-0.412,-1.205,1.194,-0.3684,0.582,-0.2157,0.892,0.52,0.1771,0.746,0.857,-1.11,0.0,0.0,-0.4624,-0.4795,0.6885,1.0,-0.579,-0.11395,0.458,0.857,0.9067,0.585,0.3591,0.964,-0.04395,0.0,0.66,0.0,0.0,-0.3828,-0.4412,0.0,0.0,-0.4094,0.0,-0.1747,1.242,1.0,0.0,0.0,0.0,0.2861,1.0,0.5,0.5,-1.191,1.1045,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.3933
