EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-1.006,-1.068,-0.984,0.2377,-0.4568,-0.218,-0.0755,0.0764,-0.2854,-0.3823,-0.271,-0.7617,-0.2856,-1.027,-1.0,-1.0,0.4395,0.4265,0.2864,0.0,-0.2498,0.3403,-0.7896,-0.8853,-0.206,0.2676,0.07385,1.589,-0.993,-1.745,-0.0652,-0.9233,-0.05606,-1.018,-1.015,0.0,0.0,-0.975,0.0,-0.4023,-0.3987,0.0,0.0,0.0,0.0,0.509,-1.0,-0.5,-1.0,0.4033,-0.2715,0.0,0.0,0.6665,0.0,0.0,0.0,0.0,1.869
-1.008,-1.069,-0.9854,0.2566,-0.4753,-0.218,-0.0755,0.02576,-0.3057,-0.3909,-0.2732,0.241,-0.4285,-1.027,-1.0,-1.0,0.4485,0.4414,0.2788,0.0,-0.2473,-0.5015,-0.779,-0.8853,-0.2233,0.2622,-0.10876,-0.1324,-0.988,1.591,-0.752,0.3823,1.142,-1.022,-1.017,0.0,0.0,-0.9756,0.0,-0.4048,-0.2676,0.0,0.0,0.0,0.0,-0.03824,-2.0,-1.0,-1.0,0.3777,-0.334,-0.5,1.0,0.6665,0.0,0.0,0.0,0.0,-0.12
-1.008,-1.069,-0.985,-0.0804,-0.1588,-0.218,-0.0755,-0.07135,0.019,-0.3254,-0.271,-1.3955,-0.2856,-1.027,0.0,-1.0,0.354,0.3574,0.332,0.0,-0.245,0.2244,-0.7705,-0.8853,0.12024,0.2656,-0.1015,0.8853,-0.988,-0.1323,-1.75,-0.0642,-0.1761,-1.022,-1.017,0.0,0.0,-0.976,0.0,-0.3862,0.1632,0.0,0.0,0.0,0.0,0.3347,-1.0,-0.5,-0.5,0.0685,-0.007256,0.0,0.0,0.6665,0.0,0.0,0.0,0.0,1.162
-1.008,-1.069,-0.9854,-0.01826,-0.2151,-0.218,-0.0755,0.0474,-0.06168,-0.3381,-0.2698,-1.451,-0.2856,-1.027,-1.0,-1.0,0.3774,0.3677,0.3218,0.0,-0.2426,0.3694,-0.764,-0.8853,0.03084,0.2686,-0.2467,-0.1698,-0.9907,0.886,1.595,-0.7524,0.85,-1.023,-1.017,0.0,0.0,-0.9766,0.0,-0.3896,0.05014,0.0,0.0,0.0,0.0,-0.0791,-1.0,-1.0,-1.0,0.133,-0.0577,-0.5,1.0,0.6665,0.0,0.0,0.0,0.0,-0.2517
-1.012,-1.073,-0.9897,0.752,-0.917,-0.218,-0.0755,0.569,-0.836,-0.49,-0.2737,15.266,-0.2856,-1.027,-1.0,-1.0,0.6274,0.5596,0.1984,0.0,-0.2402,1.091,-0.7417,-0.8745,-0.6704,0.2452,-0.2308,-2.002,-0.9688,-0.1698,-0.1322,-1.752,-0.221,-1.03,-1.018,0.0,0.0,-0.98,0.0,-0.4312,-0.3152,0.0,0.0,0.0,0.0,-2.268,-1.0,-1.0,-1.0,0.9204,-0.7017,-0.5,2.0,0.6665,0.0,0.0,1.0,-11.195,-7.56
-1.014,-1.075,-0.9917,0.3708,-0.5576,-0.615,-0.0755,0.3696,-0.4688,-0.4321,-0.2786,-0.436,-0.4285,-1.027,-1.0,-1.0,0.5273,0.482,0.246,0.0,-0.2378,-0.1818,-0.7217,-0.862,-0.305,0.24,-0.125,0.837,-0.9824,-2.004,0.889,1.6,-0.924,-1.032,-1.018,0.0,0.0,-0.9824,0.0,-0.4146,-0.3875,0.0,0.0,0.0,0.0,0.2866,-1.0,-0.5,-1.0,0.5728,-0.329,0.0,0.0,0.6665,0.0,0.0,0.0,0.0,1.057
-1.018,-1.078,-0.996,0.786,-0.9307,-0.615,-0.0755,0.606,-0.848,-0.5166,-0.2856,1.241,-0.5713,-1.027,-1.0,-1.0,0.672,0.6006,0.1779,0.0,-0.2355,0.4927,-0.6997,-0.8467,-0.717,0.2299,-0.2097,-1.168,-0.966,0.8374,-0.1697,-0.1315,0.3826,-1.033,-1.019,0.0,0.0,-0.986,0.0,-0.4375,-0.517,0.0,0.0,0.0,0.0,-0.4924,-1.0,-1.0,-1.0,0.989,-0.679,-0.5,1.0,0.6665,0.0,0.0,0.0,0.0,-1.722
-1.0205,-1.081,-0.999,0.6787,-0.829,-0.615,-0.0755,0.6147,-0.719,-0.511,-0.2944,-0.06067,-0.7144,-1.027,-1.0,-1.0,0.6636,0.5913,0.1824,0.0,-0.233,0.1921,-0.6807,-0.8286,-0.6196,0.2197,-0.2458,0.0763,-0.9453,-1.169,-2.008,0.892,-0.0642,-1.038,-1.02,0.0,0.0,-0.9883,0.0,-0.4355,-0.6963,0.0,0.0,0.0,0.0,0.02048,-1.0,-0.5,-1.0,0.879,-0.586,0.0,0.0,0.6665,0.0,0.0,0.0,0.0,0.08795
-1.023,-1.085,-1.003,0.7188,-0.8716,-0.615,-0.0755,0.555,-0.728,-0.5303,-0.3032,0.1536,-0.857,-1.027,-1.0,-1.0,0.6924,0.627,0.1663,0.0,-0.2307,-0.1173,-0.669,-0.811,-0.686,0.2123,-0.1663,-0.2922,-0.92,0.07654,0.8403,-0.169,-0.753,-1.043,-1.0205,0.0,0.0,-0.9897,0.0,-0.4412,-0.7,0.0,0.0,0.0,0.0,-0.039,-1.0,-0.5,-1.0,0.892,-0.653,-0.5,1.0,0.6665,0.0,0.0,0.0,0.0,-0.1318
-1.027,-1.088,-1.006,0.6704,-0.825,-0.615,-0.0755,0.4622,-0.674,-0.5347,-0.3098,0.03912,-0.857,-1.027,-1.0,-1.0,0.694,0.6387,0.1631,0.0,-0.2283,-0.528,-0.663,-0.793,-0.651,0.2034,0.07745,-0.06274,-0.897,-0.2922,-1.171,-2.012,-1.754,-1.051,-1.021,0.0,0.0,-0.9917,0.0,-0.442,-0.5806,0.0,0.0,0.0,0.0,-0.0214,-1.0,-0.5,-1.0,0.8315,-0.621,-0.5,2.0,0.6665,0.0,0.0,0.0,0.0,-0.06757
