EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-1.351,-1.35,-1.351,0.075,-0.1127,0.5093,-0.4111,0.6113,-0.2291,0.462,-0.069,-1.774,0.125,-1.085,-1.0,0.0,-0.3652,-0.4968,0.841,0.0,-0.4148,0.4683,-0.6406,-0.6807,-0.1971,0.8564,-0.0478,-0.69,-0.762,1.83,-1.182,-1.054,-0.0979,-1.326,-1.369,0.0,0.0,-1.353,0.0,-0.6504,0.2712,0.0,0.0,0.0,0.0,-0.0723,-1.0,-0.5,-0.5,0.284,0.1262,0.0,1.0,1.0,-0.5,0.0,0.0,0.0,-0.6016
-1.351,-1.35,-1.351,-0.521,0.485,0.5093,-0.4111,0.5234,0.3298,0.6455,-0.06384,-3.678,0.25,-1.076,0.0,0.0,-0.524,-0.6504,0.9224,0.0,-0.4146,0.812,-0.641,-0.6807,0.4229,0.8643,-0.03134,1.496,-0.7583,-0.69,-0.6035,-0.4878,-0.2942,-1.326,-1.369,0.0,0.0,-1.353,0.0,-0.644,0.601,0.0,0.0,0.0,0.0,0.1482,0.0,0.0,0.0,-0.2908,0.7056,1.0,0.0,1.0,-0.5,0.0,0.0,0.0,1.248
-1.351,-1.35,-1.351,-1.321,1.292,0.5093,-0.4111,0.431,1.222,0.927,-0.05774,2.645,0.375,-1.067,0.0,0.0,-0.7495,-0.874,0.9937,1.0,-0.4312,1.356,-0.639,-0.6777,1.228,0.84,-0.0948,2.236,-0.74,1.496,1.829,-1.181,0.887,-1.326,-1.369,0.0,0.0,-1.353,0.0,-0.635,0.6924,0.0,0.0,0.0,0.0,0.4136,1.0,0.0,0.0,-1.073,1.478,2.0,0.0,1.0,-0.5,1.0,0.0,4.81,3.395
-1.351,-1.35,-1.351,-1.225,1.196,0.5156,-0.4111,0.3838,1.168,0.936,-0.05444,0.08307,0.375,-1.06,0.0,0.0,-0.76,-0.878,0.9937,1.0,-0.4312,1.102,-0.63,-0.667,1.1,0.8545,-0.0846,0.09357,-0.7266,2.236,-0.6895,-0.603,0.0971,-1.326,-1.369,0.0,0.0,-1.353,0.0,-0.635,0.4443,0.0,0.0,0.0,0.0,0.01718,2.0,0.0,0.0,-0.9824,1.381,3.0,0.0,1.0,-0.5,0.0,0.0,0.0,0.1357
-1.351,-1.35,-1.351,-1.63,1.606,1.156,-0.4111,0.3914,1.701,1.116,-0.04932,0.6113,0.375,-1.051,0.0,0.0,-0.891,-1.018,0.9937,1.0,-0.4312,0.7974,-0.6177,-0.6567,1.6455,0.793,-0.1214,1.401,-0.7065,0.09357,1.495,1.827,0.6787,-1.326,-1.369,0.0,0.0,-1.353,0.0,-0.629,0.6436,0.0,0.0,0.0,0.0,0.1677,2.0,0.0,0.5,-1.327,1.827,4.0,0.0,1.0,-0.5,0.0,0.0,0.0,1.323
-1.351,-1.35,-1.351,-1.006,0.9795,1.156,-0.4111,0.4517,0.987,0.9517,-0.0454,-0.3208,0.375,-1.042,0.0,0.0,-0.7666,-0.895,0.9253,0.0,-0.431,-0.53,-0.605,-0.647,0.969,0.8037,-0.01096,-1.186,-0.7007,1.401,2.234,-0.689,-1.054,-1.326,-1.369,0.0,0.0,-1.353,0.0,-0.6343,0.4465,0.0,0.0,0.0,0.0,-0.1001,2.0,0.0,0.5,-0.7046,1.241,0.0,1.0,1.0,-0.5,0.0,0.0,0.0,-0.771
-1.351,-1.35,-1.351,-1.083,1.059,1.156,-0.4111,0.4536,1.109,1.009,-0.042,0.2595,0.375,-1.034,0.0,0.0,-0.809,-0.94,0.9517,0.0,-0.4304,0.2063,-0.5947,-0.6396,1.132,0.8105,0.0509,0.4656,-0.7,-1.186,0.0935,1.494,-0.488,-1.326,-1.369,0.0,0.0,-1.353,0.0,-0.6323,0.401,0.0,0.0,0.0,0.0,0.02568,2.0,0.5,0.5,-0.765,1.332,1.0,0.0,1.0,-0.5,0.0,0.0,0.0,0.2019
-1.351,-1.35,-1.351,-0.7915,0.7646,1.156,-0.4111,0.441,0.799,0.9434,-0.03934,-0.1652,0.375,-1.025,0.0,0.0,-0.761,-0.8877,0.9253,0.0,-0.4302,0.2192,-0.5864,-0.634,0.84,0.8184,0.1754,-0.462,-0.7134,0.4656,1.4,2.232,-1.181,-1.326,-1.369,0.0,0.0,-1.353,0.0,-0.635,0.2996,0.0,0.0,0.0,0.0,-0.03067,1.0,0.5,0.0,-0.4924,1.039,0.0,1.0,1.0,-0.5,0.0,0.0,0.0,-0.2393
-1.351,-1.35,-1.351,0.2074,-0.24,1.156,-0.4111,0.717,-0.2695,0.645,-0.0405,-1.248,0.25,-1.017,-1.0,0.0,-0.51,-0.6646,0.8,0.0,-0.43,1.714,-0.582,-0.6323,-0.2386,0.82,0.2585,-2.234,-0.725,-0.462,-1.186,0.09344,-0.603,-1.326,-1.369,0.0,0.0,-1.353,0.0,-0.645,-0.1466,0.0,0.0,0.0,0.0,-0.3018,0.0,0.5,-0.5,0.5435,0.1405,0.0,2.0,1.0,-0.5,0.0,1.0,-4.137,-2.373
-1.351,-1.35,-1.351,0.076,-0.10803,1.156,-0.4111,0.659,-0.1593,0.678,-0.03992,-0.4722,0.125,-1.009,-1.0,0.0,-0.5405,-0.6885,0.8154,0.0,-0.4297,-0.2407,-0.5806,-0.6313,-0.12115,0.822,0.1394,0.2905,-0.726,-2.234,0.4653,1.399,1.828,-1.326,-1.369,0.0,0.0,-1.353,0.0,-0.6436,0.04282,0.0,0.0,0.0,0.0,0.03912,0.0,0.5,0.0,0.4058,0.2568,1.0,0.0,1.0,-0.5,0.0,0.0,0.0,0.3198
