EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.8296,-0.83,-0.8296,2.346,-2.398,2.227,-2.56,2.457,-1.498,-0.3289,-0.2927,-0.2546,-1.0,-1.867,-1.0,0.0,0.501,0.1912,-0.555,0.0,-0.1476,-0.381,-0.3616,-0.3562,-1.425,-0.3838,-0.2168,0.889,-0.5283,-1.086,-1.082,-1.347,-1.413,-0.824,-0.8237,0.0,0.0,-0.8257,0.0,-0.5815,-0.771,0.0,0.0,0.0,0.0,0.005226,-1.0,-1.0,-1.0,2.867,-1.691,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1221
-0.8296,-0.83,-0.8296,1.769,-1.822,2.227,-2.56,1.296,-1.135,-0.2319,-0.2927,-0.1945,-1.0,-1.855,-1.0,0.0,0.3167,0.166,-0.503,0.0,-0.1458,-0.162,-0.3696,-0.3508,-1.039,-0.3857,-0.1903,0.8755,-0.5493,0.8896,0.8867,-2.566,-1.287,-0.824,-0.824,0.0,0.0,-0.8257,0.0,-0.5806,-0.123,0.0,0.0,0.0,0.0,2e-07,0.0,-0.5,-0.5,2.15,-1.304,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.02667
-0.8296,-0.83,-0.8296,0.917,-0.9673,2.227,-2.56,0.7363,-0.3193,-0.03607,-0.2944,-0.8555,-1.0,-1.844,-1.0,0.0,0.0761,0.0006156,-0.3982,0.0,-0.1439,0.4841,-0.3757,-0.3518,-0.2769,-0.388,-0.2229,1.743,-0.572,0.876,-1.086,-1.082,0.3096,-0.824,-0.8247,0.0,0.0,-0.8257,0.0,-0.5776,-0.3909,0.0,0.0,0.0,0.0,0.00448,1.0,-0.5,-0.5,1.231,-0.577,1.0,0.0,0.0,0.5,1.0,0.0,4.45,0.1049
-0.8296,-0.83,-0.8296,0.5107,-0.5605,2.227,-2.56,0.5884,0.2178,0.05896,-0.298,-3.336,-0.875,-1.831,0.0,0.0,-0.02817,-0.0842,-0.346,0.0,-0.1421,2.914,-0.3792,-0.356,0.325,-0.4207,-0.2025,0.8374,-0.6016,1.743,0.889,0.886,-0.823,-0.824,-0.825,0.0,0.0,-0.8257,0.0,-0.5767,-0.798,0.0,0.0,0.0,0.0,0.04382,1.0,0.0,-0.5,0.809,-0.2148,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.7744
-0.8296,-0.83,-0.8296,0.4111,-0.461,2.227,-2.56,0.5376,0.4028,0.0738,-0.3008,0.7656,-0.75,-1.819,0.0,0.0,-0.04614,-0.09534,-0.3354,0.0,-0.1403,0.2311,-0.3872,-0.3643,0.4802,-0.432,-0.1753,0.1512,-0.612,0.838,0.876,-1.085,-0.8345,-0.824,-0.8257,0.0,0.0,-0.8257,0.0,-0.576,-0.6235,0.0,0.0,0.0,0.0,-0.0008655,2.0,0.5,0.0,0.6597,-0.175,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.009834
-0.8296,-0.83,-0.8296,-0.729,0.6865,2.227,-2.295,0.622,1.73,0.4268,-0.3005,3.121,-0.625,-1.808,0.0,0.0,-0.3677,-0.432,-0.1471,0.0,-0.1384,2.064,-0.3984,-0.3774,1.881,-0.4373,-0.12366,3.01,-0.617,0.1515,1.743,0.8887,-1.344,-0.824,-0.8257,0.0,0.0,-0.8257,0.0,-0.572,-0.02905,0.0,0.0,0.0,0.0,0.0854,2.0,1.0,0.5,-0.325,1.062,2.5,0.0,0.5,0.5,0.0,0.0,0.0,1.46
-0.8296,-0.83,-0.8296,-1.108,1.068,2.594,-2.295,0.6074,2.264,0.578,-0.2998,0.4727,-0.5,-1.795,0.0,0.0,-0.5,-0.5635,-0.06335,0.0,-0.1366,0.1257,-0.414,-0.395,2.33,-0.427,-0.006794,1.264,-0.62,3.01,0.838,0.8755,-2.562,-0.824,-0.8257,0.0,0.0,-0.8257,0.0,-0.57,0.08203,0.0,0.0,0.0,0.0,0.01903,2.0,1.5,0.5,-0.6753,1.45,2.5,0.0,1.0,0.5,1.0,0.0,4.484,0.3271
-0.8296,-0.83,-0.8296,0.1542,-0.2003,2.594,-1.841,1.044,0.843,0.1931,-0.3005,-0.5894,-0.375,-1.783,0.0,0.0,-0.1255,-0.2458,-0.2622,0.0,-0.1348,2.385,-0.4363,-0.4097,0.7456,-0.3953,0.0646,-2.846,-0.6226,1.264,0.1515,1.742,-1.079,-0.824,-0.8257,0.0,0.0,-0.8257,0.0,-0.5747,-0.1897,0.0,0.0,0.0,0.0,-0.1757,1.0,1.5,0.5,0.656,0.3376,-0.5,1.0,1.0,0.5,0.0,0.0,0.0,-2.73
-0.8296,-0.83,-0.8296,0.0914,-0.137,2.594,-1.841,1.035,0.896,0.2074,-0.3005,0.1923,-0.25,-1.771,0.0,0.0,-0.1395,-0.2588,-0.2517,0.0,-0.1329,-0.2384,-0.4626,-0.4211,0.8643,-0.4014,0.0523,0.1475,-0.6226,-2.846,3.01,0.8374,0.887,-0.824,-0.8257,0.0,0.0,-0.8257,0.0,-0.574,-0.083,0.0,0.0,0.0,0.0,-0.001493,1.0,1.5,1.0,0.541,0.3418,0.0,0.0,1.0,0.5,0.0,0.0,0.0,-0.0010195
-0.8296,-0.83,-0.8296,0.6123,-0.6606,2.594,-1.841,1.147,0.2712,0.04276,-0.3003,-0.607,-0.125,-1.759,0.0,0.0,0.0261,-0.10693,-0.3354,0.0,-0.1311,0.00853,-0.485,-0.4314,0.2615,-0.401,0.1121,-1.333,-0.631,0.1477,1.264,0.1514,-1.082,-0.824,-0.8257,0.0,0.0,-0.8257,0.0,-0.576,-0.083,0.0,0.0,0.0,0.0,-0.015144,0.0,1.5,1.0,0.9946,-0.2185,-0.5,1.0,1.0,0.5,0.0,1.0,-3.504,-0.2256
