EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.4868,-0.4849,-0.4888,0.8267,-0.852,0.1906,-0.7676,0.4727,-0.984,-0.551,-0.3105,0.2014,-0.25,-1.784,-1.0,-1.0,0.607,0.5806,0.2009,0.0,-0.1804,-0.493,-0.3718,-0.4258,-1.175,0.2947,-1.255,-0.3591,-0.2922,-0.3574,-0.5205,-0.1968,0.264,-0.501,-0.4858,0.0,0.0,-0.4827,0.0,-0.4097,-0.7656,0.0,0.0,0.0,0.0,-0.00546,-2.0,-2.0,-1.5,0.8906,-0.7007,-0.5,2.0,0.5,-0.5,0.0,0.0,0.0,-0.01
-0.4885,-0.4866,-0.4902,0.836,-0.8633,0.1906,-0.7676,0.3455,-0.991,-0.5723,-0.3228,0.1366,-0.375,-1.784,-1.0,-1.0,0.62,0.618,0.1935,0.0,-0.1793,-0.4907,-0.433,-0.438,-1.222,0.292,-0.9106,-0.1987,-0.2744,-0.3591,0.7764,-0.1973,-1.53,-0.5024,-0.4866,0.0,0.0,-0.4834,0.0,-0.4124,-0.6143,0.0,0.0,0.0,0.0,-0.006393,-2.0,-2.0,-1.5,0.835,-0.7817,-0.5,3.0,0.5,-0.5,0.0,0.0,0.0,-0.01201
-0.491,-0.489,-0.493,1.214,-1.239,0.1906,-0.7676,0.536,-1.301,-0.6973,-0.3477,0.547,-0.5,-1.784,-1.0,-1.0,0.7783,0.7534,0.149,0.0,-0.1782,1.385,-0.4976,-0.4548,-1.59,0.2842,-0.926,-1.013,-0.2338,-0.1986,-0.3574,-0.5205,-0.3428,-0.505,-0.4875,0.0,0.0,-0.4846,0.0,-0.429,-1.185,0.0,1.0,0.0,0.0,-0.01604,-2.0,-2.0,-2.0,1.165,-1.181,-0.5,4.0,0.5,-0.5,0.0,1.0,-2.145,-0.03268
-0.493,-0.491,-0.4946,0.962,-0.999,0.1906,-0.7676,0.3691,-0.963,-0.656,-0.3792,-0.2095,-0.625,-1.784,-1.0,-1.0,0.7163,0.7173,0.1638,0.0,-0.1771,-0.2761,-0.514,-0.471,-1.309,0.27,-0.2537,0.2942,-0.2043,-1.013,-0.3591,0.777,-2.5,-0.507,-0.4883,0.0,0.0,-0.4858,0.0,-0.4233,-1.608,0.0,1.0,0.0,0.0,-0.0007415,-2.0,-1.5,-2.0,0.9355,-0.9355,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0002131
-0.4949,-0.4934,-0.4963,1.02,-1.085,0.1906,-0.7676,0.1486,-0.908,-0.6973,-0.414,0.04953,-0.75,-1.784,-1.0,-1.0,0.745,0.7886,0.149,0.0,-0.176,-0.6846,-0.3787,-0.4568,-1.088,0.2314,-0.299,-0.3652,-0.1721,0.2942,-0.1987,-0.3572,-0.03632,-0.5083,-0.489,0.0,0.0,-0.4875,0.0,-0.4287,-1.734,0.0,1.0,0.0,0.0,-0.01157,-2.0,-1.5,-2.0,0.937,-1.079,-0.5,1.0,0.5,-0.5,0.0,0.0,0.0,-0.02327
-0.497,-0.4958,-0.4985,1.078,-1.16,0.1906,-0.7676,0.003553,-0.896,-0.739,-0.4417,0.1081,-0.875,-1.784,-1.0,-1.0,0.781,0.8535,0.1343,0.0,-0.1749,-0.473,-0.2517,-0.4182,-1.059,0.213,-0.3042,-0.3672,-0.1433,-0.3652,-1.013,-0.359,-0.1969,-0.5117,-0.4897,0.0,0.0,-0.4897,0.0,-0.4343,-1.671,0.0,1.0,0.0,0.0,-0.005955,-2.0,-1.5,-2.0,1.0,-1.144,-0.5,2.0,0.5,-0.5,0.0,0.0,0.0,-0.01113
-0.499,-0.4978,-0.5,0.909,-1.004,0.1906,-0.7676,-0.09863,-0.665,-0.7173,-0.4666,-0.2266,-1.0,-1.784,-1.0,-1.0,0.7476,0.836,0.1416,0.0,-0.1738,-0.89,-0.1481,-0.3672,-0.849,0.1995,-0.3142,0.1296,-0.1364,-0.367,0.2942,-0.1985,-0.1973,-0.514,-0.4907,0.0,0.0,-0.4922,0.0,-0.4314,-1.556,0.0,1.0,0.0,0.0,-0.001194,-1.0,-1.0,-2.0,0.722,-1.119,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,-0.0007305
-0.5005,-0.4993,-0.5015,0.7627,-0.858,0.1906,-0.7676,-0.3167,-0.526,-0.6963,-0.4763,-0.1804,-1.0,-1.784,-1.0,-1.0,0.704,0.8296,0.149,0.0,-0.1727,-0.0636,-0.0445,-0.301,-0.597,0.1819,-0.2131,0.1293,-0.12305,0.1299,-0.3652,-1.012,-0.5205,-0.516,-0.4912,0.0,0.0,-0.494,0.0,-0.4285,-0.993,0.0,0.0,0.0,0.0,-0.003223,0.0,-0.5,-1.5,0.595,-0.964,0.5,0.0,0.5,-0.5,0.0,0.0,0.0,-0.00518
-0.4983,-0.4968,-0.4995,-0.7246,0.6777,0.5376,-0.7676,-0.1973,1.064,-0.259,-0.4683,-4.66,-0.875,-1.772,0.0,0.0,0.2384,0.306,0.3047,0.0,-0.1716,2.217,0.011284,-0.2546,0.9194,0.1904,-0.4963,3.436,-0.1444,0.1294,-0.3672,0.2942,0.7773,-0.512,-0.491,0.0,0.0,-0.4944,0.0,-0.3704,0.2756,0.0,0.0,0.0,0.0,0.1576,0.0,-0.5,-1.0,-0.6543,0.717,1.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.3447
-0.4954,-0.4941,-0.4968,-0.8916,0.8604,0.8447,-0.7676,-0.1777,1.289,-0.1776,-0.4563,0.3403,-0.75,-1.762,0.0,0.0,0.157,0.2148,0.3342,0.0,-0.1705,-0.5303,0.01283,-0.2251,1.083,0.2039,-0.3445,0.589,-0.2045,3.436,0.1296,-0.3652,-0.3574,-0.5054,-0.4902,0.0,0.0,-0.4956,0.0,-0.3596,0.4575,0.0,0.0,0.0,0.0,0.01665,1.0,0.0,-0.5,-0.796,0.914,1.5,0.0,0.5,-0.5,0.0,0.0,0.0,0.03552
