EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.3984,-0.3997,-0.4,1.3545,-1.491,0.3728,-0.491,1.733,-1.423,-1.909,-0.3962,-0.2534,-0.25,-1.392,-1.0,-1.0,2.62,2.203,-1.519,0.0,0.1442,1.778,-0.3975,-0.4136,-1.269,-1.459,-0.11725,1.239,-0.4556,-1.215,0.0,-1.1455,-2.97,-0.3953,-0.4023,0.0,0.0,-0.4001,0.0,-0.3003,-0.622,0.0,0.0,0.0,0.0,0.01027,-1.0,-1.5,-1.333,1.75,-0.991,1.0,0.0,-1.5,-0.5,0.0,0.0,0.0,0.1471
-0.3984,-0.3997,-0.4,1.233,-1.368,0.3728,-0.491,1.895,-1.308,-1.909,-0.3965,0.0255,-0.375,-1.392,-1.0,-1.0,2.62,2.203,-1.519,0.0,0.1462,1.778,-0.3872,-0.4097,-1.17,-1.47,-0.2125,0.0,-0.4536,1.239,-1.192,-1.167,1.146,-0.3953,-0.4023,0.0,0.0,-0.4001,0.0,-0.3003,-0.622,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-1.333,1.636,-0.8696,0.0,0.0,-1.5,-0.5,0.0,0.0,0.0,0.0
-0.3984,-0.3997,-0.4,0.5986,-0.7397,0.3728,-0.491,1.975,-0.667,-1.909,-0.3958,-0.4705,-0.5,-1.392,-1.0,-1.0,2.594,2.203,-1.466,0.0,0.1484,1.719,-0.3787,-0.4062,-0.5483,-1.476,-0.2418,1.215,-0.453,0.0,-1.216,0.0,0.0,-0.3953,-0.4023,0.0,0.0,-0.4001,0.0,-0.3003,-0.43,0.0,0.0,0.0,0.0,0.00206,0.0,-1.5,-1.0,0.9053,-0.3835,1.0,0.0,-1.5,-0.5,0.0,0.0,0.0,0.02893
-0.3984,-0.3997,-0.4,0.03827,-0.1976,0.3728,-0.491,1.742,0.05844,-1.792,-0.3975,-1.3125,-0.5,-1.392,0.0,-1.0,2.367,2.172,-1.412,0.0,0.1506,1.661,-0.3672,-0.4004,0.2778,-1.502,-0.2637,1.191,-0.453,1.215,1.239,-1.189,0.0,-0.3953,-0.4023,0.0,0.0,-0.4001,0.0,-0.3003,-0.846,0.0,0.0,0.0,0.0,0.004032,1.0,-1.0,-1.0,0.2566,0.0276,2.0,0.0,-1.5,-0.5,0.0,0.0,0.0,0.05554
-0.3984,-0.3997,-0.4,0.545,-0.698,0.3728,-0.491,1.817,-0.428,-1.885,-0.3967,-3.229,-0.5,-1.392,-1.0,-1.0,2.527,2.203,-1.466,0.0,0.1528,3.24,-0.3594,-0.396,-0.2607,-1.504,-0.2052,-1.169,-0.4521,1.192,0.0,-1.213,-1.125,-0.3953,-0.4023,0.0,0.0,-0.4001,0.0,-0.3003,-0.5547,0.0,0.0,0.0,0.0,-0.004295,1.0,-1.0,-1.0,0.74,-0.4636,0.0,1.0,-1.5,-0.5,0.0,0.0,0.0,-0.05807
-0.3984,-0.3997,-0.4,1.021,-1.171,0.3728,-0.491,1.895,-0.838,-1.909,-0.398,1.53,-0.625,-1.392,-1.0,-1.0,2.62,2.203,-1.519,0.0,0.155,0.227,-0.3535,-0.3923,-0.754,-1.511,-0.1465,-1.191,-0.45,-1.17,1.216,1.237,-1.146,-0.3953,-0.4023,0.0,0.0,-0.4001,0.0,-0.3003,-0.9917,0.0,0.0,0.0,0.0,-0.00362,0.0,-1.0,-1.333,1.259,-0.8604,0.0,2.0,-1.5,-0.5,0.0,0.0,0.0,-0.04987
-0.3984,-0.3997,-0.4,0.928,-1.082,0.3728,-0.491,2.055,-0.6777,-1.909,-0.3994,-0.1202,-0.75,-1.392,-1.0,-1.0,2.62,2.203,-1.519,0.0,0.1572,1.778,-0.3496,-0.3894,-0.7124,-1.516,-0.08795,0.0,-0.4485,-1.192,1.192,0.0,-1.168,-0.3953,-0.4023,0.0,0.0,-0.4001,0.0,-0.3003,-0.9917,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.333,1.173,-0.77,0.0,0.0,-1.5,-0.5,0.0,0.0,0.0,0.0
-0.3984,-0.3997,-0.4,0.3223,-0.4907,0.3728,-0.491,2.133,0.02017,-1.834,-0.3997,-1.231,-0.75,-1.392,0.0,-1.0,2.463,2.203,-1.466,0.0,0.1594,1.719,-0.349,-0.385,-0.10834,-1.52,-0.0953,1.215,-0.449,0.0,-1.17,1.213,0.0,-0.3953,-0.4023,0.0,0.0,-0.4001,0.0,-0.3003,-0.714,0.0,0.0,0.0,0.0,0.004444,0.0,-0.5,-1.0,0.598,-0.1855,1.0,0.0,-1.5,-0.5,0.0,0.0,0.0,0.0624
-0.3984,-0.3997,-0.4,0.2932,-0.4695,0.3728,-0.491,1.817,0.1031,-1.817,-0.3992,0.871,-0.625,-1.392,0.0,-1.0,2.414,2.203,-1.466,0.0,0.1616,-0.914,-0.3525,-0.3816,-0.08563,-1.521,-0.02199,0.0,-0.4497,1.215,-1.192,1.189,-1.19,-0.3953,-0.4023,0.0,0.0,-0.4001,0.0,-0.3003,-0.5547,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5,-1.0,0.5146,-0.2244,0.0,0.0,-1.5,-0.5,0.0,0.0,0.0,0.0
-0.3984,-0.3997,-0.4,-0.2285,0.04645,-0.1729,-0.491,1.897,0.681,-1.691,-0.3967,3.244,-0.5,-1.392,0.0,-1.0,2.215,1.995,-1.412,0.0,0.1637,1.661,-0.3591,-0.38,0.4875,-1.522,0.05862,1.191,-0.4622,0.0,0.0,-1.167,-1.214,-0.3953,-0.4023,0.0,0.0,-0.4001,0.0,-0.2998,-0.1179,0.0,0.0,0.0,0.0,0.001854,0.0,0.0,-0.6665,0.01643,0.2822,1.0,0.0,-1.5,-0.5,0.0,0.0,0.0,0.02554
