EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.459,-0.4705,-0.4414,0.6177,-0.864,-0.802,0.5894,-0.816,-0.69,-1.224,-0.555,0.82,-0.875,-1.138,-1.0,-1.0,1.652,1.818,-0.6914,0.0,-0.287,0.3662,-0.4866,-0.5205,-0.752,-0.634,-0.2212,-0.6636,-0.562,0.09314,-0.001736,-0.0948,0.0898,-0.4624,-0.4531,0.0,0.0,-0.4531,0.0,-0.4895,-1.286,0.0,1.0,0.0,0.0,-0.05264,-1.0,-1.635,-2.0,0.5063,-0.9727,-0.5,1.0,1.5,0.5,0.0,0.0,0.0,-0.1694
-0.4595,-0.471,-0.442,0.3206,-0.5547,-0.805,0.5894,-0.7866,-0.393,-1.166,-0.554,-0.426,-0.875,-1.138,-1.0,-1.0,1.544,1.701,-0.662,0.0,-0.2861,0.06415,-0.4734,-0.513,-0.4585,-0.6377,-0.2465,0.5767,-0.5596,-0.664,-0.377,-0.1884,-0.0924,-0.463,-0.4534,0.0,0.0,-0.4536,0.0,-0.4841,-0.6978,0.0,0.0,0.0,0.0,0.03445,0.0,-1.5,-1.5,0.2133,-0.665,0.0,0.0,1.5,0.5,0.0,0.0,0.0,0.1188
-0.4597,-0.471,-0.442,0.02065,-0.2466,-0.6094,0.5894,-0.7983,-0.05447,-1.1,-0.5527,-1.075,-0.875,-1.138,0.0,-1.0,1.421,1.576,-0.628,0.0,-0.2852,0.1697,-0.4631,-0.5063,-0.1311,-0.6406,-0.257,0.6616,-0.5615,0.5767,0.09314,-0.001673,-0.09265,-0.463,-0.4536,0.0,0.0,-0.4539,0.0,-0.4775,-0.6333,0.0,0.0,0.0,0.0,0.0701,1.0,-1.0,-1.5,-0.06216,-0.3372,0.5,0.0,1.5,0.5,0.0,0.0,0.0,0.2343
-0.46,-0.4712,-0.4421,0.2041,-0.4377,-0.6094,0.5894,-0.7812,-0.2323,-1.135,-0.552,-16.38,-0.875,-1.138,-1.0,-1.0,1.485,1.641,-0.6523,0.0,-0.284,-0.486,-0.4558,-0.501,-0.33,-0.6426,-0.2086,-0.4668,-0.5674,0.662,-0.664,-0.3772,-0.276,-0.463,-0.4539,0.0,0.0,-0.4543,0.0,-0.482,-0.7026,0.0,0.0,0.0,0.0,-0.01428,1.0,-1.0,-1.5,0.1382,-0.5063,-0.5,1.0,1.5,0.5,0.0,0.0,0.0,-0.04282
-0.4604,-0.4717,-0.4426,0.3752,-0.6157,-0.6094,0.5894,-0.7515,-0.3926,-1.17,-0.5527,1.244,-0.875,-1.138,-1.0,-1.0,1.553,1.706,-0.677,0.0,-0.283,-0.473,-0.4504,-0.496,-0.5137,-0.6465,-0.1434,-0.4731,-0.563,-0.467,0.5767,0.0932,-0.37,-0.4634,-0.4543,0.0,0.0,-0.4548,0.0,-0.4858,-0.909,0.0,1.0,0.0,0.0,-0.03583,0.0,-1.0,-2.0,0.3267,-0.662,-0.5,2.0,1.5,0.5,0.0,0.0,0.0,-0.1139
-0.461,-0.4722,-0.443,0.3357,-0.5767,-0.6094,0.5894,-0.7393,-0.3372,-1.162,-0.5537,-0.07245,-0.875,-1.138,-1.0,-1.0,1.54,1.691,-0.677,0.0,-0.282,-0.8853,-0.4436,-0.4893,-0.4355,-0.656,-0.1434,-0.001734,-0.573,-0.4734,0.662,-0.664,-0.0946,-0.4636,-0.4546,0.0,0.0,-0.4556,0.0,-0.4849,-0.8833,0.0,0.0,0.0,0.0,-0.001745,0.0,-1.0,-2.0,0.2847,-0.627,-0.5,0.0,1.5,0.5,0.0,0.0,0.0,-0.002317
-0.461,-0.4722,-0.443,0.0313,-0.2646,-0.6094,0.5894,-0.715,0.00235,-1.096,-0.5522,-1.327,-0.75,-1.138,0.0,-1.0,1.42,1.5625,-0.6426,0.0,-0.281,-0.2217,-0.4287,-0.478,0.00979,-0.6714,-0.1203,0.667,-0.5786,-0.001736,-0.467,0.577,-0.1884,-0.4634,-0.4548,0.0,0.0,-0.4558,0.0,-0.4788,-0.479,0.0,0.0,0.0,0.0,0.0338,0.0,-0.5,-1.5,0.004097,-0.2957,0.0,0.0,1.5,0.5,0.0,0.0,0.0,0.11566
-0.461,-0.4724,-0.4434,0.0612,-0.2996,-0.6094,0.618,-0.7847,-0.01646,-1.098,-0.5503,-0.1896,-0.625,-1.138,0.0,-1.0,1.418,1.571,-0.6475,0.0,-0.2798,-0.894,-0.4229,-0.4678,-0.02255,-0.673,-0.1203,-0.09546,-0.5806,0.6675,-0.4734,0.6626,-0.001445,-0.463,-0.455,0.0,0.0,-0.456,0.0,-0.4795,-0.4133,0.0,0.0,0.0,0.0,-0.00465,-1.0,-0.5,-1.5,0.02162,-0.343,-0.5,1.0,1.5,0.5,0.0,0.0,0.0,-0.01178
-0.4612,-0.4727,-0.4436,0.1273,-0.3696,-0.6094,0.618,-0.827,-0.0859,-1.107,-0.548,-1.465,-0.625,-1.138,-1.0,-1.0,1.434,1.594,-0.657,0.0,-0.2788,-0.7554,-0.4182,-0.4587,-0.06995,-0.6772,-0.03827,-0.1897,-0.589,-0.0956,-0.001736,-0.467,-0.3772,-0.4626,-0.455,0.0,0.0,-0.4565,0.0,-0.481,-0.3423,0.0,0.0,0.0,0.0,-0.006706,-1.0,-0.5,-1.5,0.09265,-0.4065,-0.5,2.0,1.5,0.5,0.0,0.0,0.0,-0.01851
-0.4614,-0.473,-0.4438,0.1882,-0.4336,-0.6094,0.618,-0.8325,-0.1522,-1.118,-0.546,4.17,-0.625,-1.138,-1.0,-1.0,1.452,1.613,-0.667,0.0,-0.2778,-0.888,-0.4182,-0.4524,-0.1464,-0.6787,-0.0572,-0.1908,-0.594,-0.1898,0.6675,-0.4734,0.0935,-0.4634,-0.4553,0.0,0.0,-0.4568,0.0,-0.4827,-0.3787,0.0,0.0,0.0,0.0,-0.006035,-1.0,-1.0,-1.5,0.1536,-0.469,-0.5,3.0,1.5,0.5,0.0,0.0,0.0,-0.01639
