EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.8813,-0.8823,-0.8726,-0.4277,0.2917,-0.53,-0.08527,-0.1865,0.503,0.1774,-0.00748,1.787,-0.625,-1.105,0.0,0.0,-0.1566,-0.1819,0.1134,0.0,-0.2349,0.155,-0.39,-0.435,0.516,0.0596,-0.253,0.8584,-0.4536,-0.4778,-0.1143,1.067,0.6265,-0.8613,-0.8804,0.0,0.0,-0.8467,0.0,-0.4795,0.2324,0.0,0.0,0.0,0.0,0.3196,-1.0,-0.5,-0.3333,-0.327,0.3757,0.0,0.0,0.0,-0.6665,0.0,0.0,0.0,0.848
-0.8794,-0.88,-0.8706,-0.3867,0.2499,-0.53,-0.08527,-0.2457,0.4868,0.1775,-0.00601,0.1198,-0.5,-1.099,0.0,0.0,-0.1603,-0.1781,0.11426,0.0,-0.228,-0.588,-0.4014,-0.4365,0.491,0.0624,0.03888,-0.02814,-0.4646,0.8623,1.118,-0.212,-1.005,-0.855,-0.8794,0.0,0.0,-0.847,0.0,-0.4792,0.04617,0.0,0.0,0.0,0.0,-0.0255,0.0,0.0,-0.3333,-0.318,0.2969,0.5,0.0,0.0,-0.6665,0.0,0.0,0.0,-0.02747
-0.877,-0.8774,-0.8687,-0.4197,0.2952,-0.53,-0.08527,-0.2573,0.5366,0.1951,-0.002373,0.2435,-0.375,-1.092,0.0,0.0,-0.176,-0.1935,0.1227,0.0,-0.2211,-0.01241,-0.4167,-0.4382,0.546,0.0665,0.05447,0.1729,-0.4475,-0.02733,-0.4768,-0.11346,0.0973,-0.851,-0.8784,0.0,0.0,-0.8457,0.0,-0.4756,0.3206,0.0,0.0,0.0,0.0,0.04163,1.0,0.0,0.0,-0.3547,0.3354,1.0,0.0,0.0,-0.6665,0.0,0.0,0.0,0.1392
-0.876,-0.8765,-0.8677,-0.1848,0.03345,-0.53,0.4915,-0.2181,0.2401,0.1438,0.000522,-0.3684,-0.25,-1.086,0.0,0.0,-0.1293,-0.1487,0.10297,0.0,-0.2141,0.4866,-0.4326,-0.441,0.227,0.07214,0.2166,-0.565,-0.4424,0.1742,0.8604,1.122,-0.4355,-0.8477,-0.878,0.0,0.0,-0.8447,0.0,-0.485,0.2252,0.0,0.0,0.0,0.0,-0.242,0.0,0.0,0.0,-0.1416,0.0633,-0.5,1.0,0.0,-0.6665,0.0,0.0,0.0,-0.562
-0.875,-0.8755,-0.8667,-0.1254,-0.03265,-0.53,0.4915,-0.23,0.1733,0.1322,0.001223,-0.0572,-0.125,-1.079,0.0,0.0,-0.1198,-0.1371,0.0993,0.0,-0.2073,-0.2106,-0.4492,-0.445,0.1552,0.0743,0.3474,-0.1451,-0.4404,-0.566,-0.02727,-0.477,-0.3384,-0.8447,-0.878,0.0,0.0,-0.844,0.0,-0.4868,0.02657,0.0,0.0,0.0,0.0,-0.05716,0.0,0.0,-0.3333,-0.12317,-0.04984,-0.5,2.0,0.0,-0.6665,0.0,0.0,0.0,-0.1065
-0.8735,-0.874,-0.865,-0.2156,0.0682,-0.53,0.4915,-0.247,0.2515,0.1581,0.006073,0.4424,0.0,-1.072,0.0,0.0,-0.1434,-0.16,0.1106,0.0,-0.2003,0.03232,-0.4565,-0.4497,0.2239,0.0802,0.1082,0.2496,-0.4333,-0.1447,0.1738,0.864,1.068,-0.8438,-0.8774,0.0,0.0,-0.8438,0.0,-0.482,0.477,0.0,0.0,0.0,0.0,0.1614,0.0,0.0,0.0,-0.2008,0.0604,0.0,0.0,0.0,-0.6665,0.0,0.0,0.0,0.441
-0.8726,-0.873,-0.864,-0.2095,0.06616,-0.53,0.509,-0.1395,0.2208,0.1622,0.01072,0.05707,0.125,-1.065,0.0,0.0,-0.1406,-0.1709,0.11304,0.0,-0.1935,0.8647,-0.442,-0.4504,0.1156,0.0915,0.1898,0.01431,-0.4287,0.2512,-0.5645,-0.02612,-0.2122,-0.842,-0.877,0.0,0.0,-0.8423,0.0,-0.4817,0.4592,0.0,0.0,0.0,0.0,0.0263,0.0,0.5,0.0,-0.2108,0.0387,0.5,0.0,0.0,-0.6665,0.0,0.0,0.0,0.10144
-0.8726,-0.8735,-0.8643,0.1653,-0.3604,-0.53,0.509,-0.0252,-0.268,0.07367,0.013954,-1.445,0.125,-1.06,-1.0,0.0,-0.05496,-0.09454,0.07715,0.0,-0.1865,0.4878,-0.4207,-0.4504,-0.3467,0.09283,0.2507,-0.991,-0.429,0.01524,-0.1444,0.1755,-0.1135,-0.844,-0.8774,0.0,0.0,-0.8423,0.0,-0.4985,0.2178,0.0,0.0,0.0,0.0,-0.513,-1.0,0.5,0.0,0.171,-0.352,-0.5,1.0,0.0,-0.6665,0.0,1.0,-5.566,-1.239
-0.8735,-0.8745,-0.8647,0.2129,-0.4314,-0.53,0.4534,-0.06885,-0.3918,0.05774,0.01779,1.329,0.125,-1.053,-1.0,0.0,-0.04303,-0.0762,0.0707,0.0,-0.1796,-0.5615,-0.3994,-0.4478,-0.4702,0.0965,-0.04938,-0.2225,-0.43,-0.9937,0.2507,-0.565,1.123,-0.8467,-0.878,0.0,0.0,-0.8423,0.0,-0.5015,0.259,0.0,0.0,0.0,0.0,-0.0902,-1.0,0.0,0.0,0.184,-0.4636,-0.5,2.0,0.0,-0.6665,0.0,0.0,0.0,-0.1914
-0.8755,-0.876,-0.8667,0.4714,-0.7197,-0.53,0.2084,-0.0922,-0.7085,-0.007248,0.01642,1.661,0.0,-1.046,-1.0,0.0,0.01614,-0.01019,0.04407,0.0,-0.1727,-0.1268,-0.3914,-0.445,-0.783,0.0951,0.05206,-0.7666,-0.4277,-0.2223,0.015205,-0.1436,-0.4773,-0.852,-0.88,0.0,0.0,-0.8423,0.0,-0.514,-0.3208,0.0,0.0,0.0,0.0,-0.3582,-1.0,0.0,-0.3333,0.4495,-0.725,-0.5,3.0,0.0,-0.6665,0.0,0.0,0.0,-0.8755
-0.877,-0.878,-0.8687,0.4553,-0.6978,-0.53,0.1895,-0.0919,-0.7217,-0.01104,0.01584,0.1781,0.0,-1.039,-1.0,0.0,0.01978,-0.006382,0.04205,0.0,-0.1658,-0.4744,-0.3909,-0.4434,-0.7783,0.09247,-0.2264,-0.10455,-0.4224,-0.768,-0.991,0.2527,0.8647,-0.856,-0.8813,0.0,0.0,-0.8433,0.0,-0.515,-0.2864,0.0,0.0,0.0,0.0,-0.05347,-2.0,-0.5,-0.3333,0.4326,-0.704,-0.5,4.0,0.0,-0.3333,0.0,0.0,0.0,-0.09937
-0.8774,-0.8784,-0.8687,0.1539,-0.36,-0.53,0.1895,-0.10114,-0.4133,0.05222,0.01712,-0.4841,0.0,-1.033,-1.0,0.0,-0.03992,-0.0687,0.0679,0.0,-0.1589,-0.1895,-0.3962,-0.4404,-0.4558,0.09235,-0.2856,0.659,-0.428,-0.104,-0.2218,0.01648,-0.02614,-0.8584,-0.883,0.0,0.0,-0.8423,0.0,-0.5034,-0.03827,0.0,0.0,0.0,0.0,0.2153,-2.0,-0.5,0.0,0.1318,-0.388,0.0,0.0,0.0,-0.3333,0.0,0.0,0.0,0.599
-0.877,-0.8774,-0.868,-0.06647,-0.1128,-0.4783,0.1895,-0.1418,-0.1412,0.1038,0.01636,-1.048,0.0,-1.026,0.0,0.0,-0.08923,-0.1159,0.08923,0.0,-0.152,0.2059,-0.4067,-0.437,-0.1901,0.09235,-0.383,0.528,-0.432,0.662,-0.766,-0.993,0.1757,-0.8594,-0.8823,0.0,0.0,-0.8413,0.0,-0.4937,-0.2223,0.0,0.0,0.0,0.0,0.1569,-1.0,-0.5,0.0,-0.0679,-0.1305,0.5,0.0,0.0,-0.3333,0.0,0.0,0.0,0.439
-0.876,-0.877,-0.867,-0.10974,-0.0655,-0.414,0.1895,-0.175,-0.08453,0.1162,0.017,20.9,0.0,-1.02,0.0,0.0,-0.1023,-0.1255,0.09485,0.0,-0.145,-0.1371,-0.4229,-0.4329,-0.1271,0.09296,-0.261,0.10114,-0.4424,0.5303,-0.10376,-0.2212,-0.5654,-0.861,-0.882,0.0,0.0,-0.84,0.0,-0.4912,-0.01489,0.0,0.0,0.0,0.0,0.01291,0.0,0.0,0.3333,-0.1405,-0.12305,1.0,0.0,0.0,-0.3333,0.0,0.0,0.0,0.0696
