EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-1.293,-1.284,-1.305,-1.115,0.994,0.514,0.647,-0.09906,1.137,-0.1084,-0.598,0.2174,0.7144,-2.014,0.0,0.0,0.11664,0.1112,-0.914,0.0,1.24,-0.4663,-0.215,-0.4048,0.8223,-1.406,0.2141,0.606,-0.6597,0.2004,0.3901,0.6816,0.642,-1.302,-1.292,0.0,0.0,-1.289,0.0,-1.29,1.255,1.0,0.0,0.0,0.0,0.8296,1.0,1.5,1.0,-0.9976,1.073,0.5,0.0,-0.3333,0.0,0.0,0.0,0.0,3.027
-1.293,-1.284,-1.305,-0.994,0.869,0.1698,0.647,-0.04697,0.9316,-0.1009,-0.5767,-0.0736,0.7144,-2.014,0.0,0.0,0.11127,0.1006,-0.912,0.0,1.248,-0.138,-0.2096,-0.3738,0.732,-1.373,0.2654,-0.04572,-0.634,0.6074,-0.3262,0.8154,0.10486,-1.302,-1.292,0.0,0.0,-1.289,0.0,-1.29,1.256,1.0,0.0,0.0,0.0,-0.04028,1.0,1.5,1.333,-0.9077,0.923,1.0,0.0,-0.3333,0.0,0.0,0.0,0.0,-0.03598
-1.293,-1.284,-1.305,-1.078,0.948,0.1698,0.647,-0.0811,0.981,-0.03455,-0.556,0.1807,0.7144,-2.014,0.0,0.0,0.0393,0.03223,-0.8325,0.0,1.256,-0.687,-0.2147,-0.35,0.848,-1.322,0.1158,0.506,-0.6147,-0.04587,0.2009,0.3896,1.409,-1.302,-1.292,0.0,0.0,-1.289,0.0,-1.29,1.252,1.0,0.0,0.0,0.0,0.1389,1.0,1.5,1.333,-0.9766,1.014,1.5,0.0,-0.3333,0.0,0.0,0.0,0.0,0.5874
-1.293,-1.284,-1.305,-0.9995,0.8613,0.1698,0.647,-0.0762,0.8345,-0.01741,-0.5356,-0.0361,0.7144,-2.014,0.0,0.0,0.02168,0.01413,-0.816,0.0,1.264,-0.6655,-0.2451,-0.3403,0.832,-1.298,0.287,0.0565,-0.5938,0.5073,0.609,-0.3267,-0.767,-1.302,-1.292,0.0,0.0,-1.289,0.0,-1.29,1.243,1.0,0.0,0.0,0.0,-0.02225,2.0,2.0,1.333,-0.921,0.9062,2.0,0.0,-0.3333,0.0,0.0,0.0,0.0,0.026
-1.293,-1.284,-1.305,-1.031,0.8853,0.1698,0.647,-0.1237,0.8306,0.03096,-0.5166,0.1188,0.7144,-2.014,0.0,0.0,-0.03065,-0.03326,-0.7573,0.0,1.271,-0.787,-0.289,-0.3413,0.923,-1.263,0.1737,0.3513,-0.5825,0.05667,-0.04596,0.2004,1.154,-1.302,-1.292,0.0,0.0,-1.289,0.0,-1.29,1.2295,1.0,0.0,0.0,0.0,0.0738,2.0,2.0,1.333,-0.9385,0.9443,2.5,0.0,0.0,0.0,1.0,0.0,1.233,0.3557
-1.293,-1.284,-1.305,-1.027,0.8677,0.1698,0.647,-0.1978,0.7754,0.06665,-0.4978,0.055,0.7144,-2.014,0.0,0.0,-0.07074,-0.06573,-0.7134,0.0,1.279,-0.9062,-0.3403,-0.3447,1.01,-1.243,0.1192,0.2468,-0.582,0.3523,0.5083,0.608,0.6797,-1.302,-1.292,0.0,0.0,-1.289,0.0,-1.285,1.239,1.0,0.0,0.0,0.0,-0.002201,2.0,2.0,1.333,-0.976,0.884,2.5,0.0,0.3333,0.0,0.0,0.0,0.0,0.0936
-1.293,-1.284,-1.305,-0.6147,0.4448,0.1698,0.6553,-0.2197,0.278,-0.02428,-0.4858,-0.5347,0.7144,-2.014,0.0,0.0,0.0215,0.0286,-0.8354,0.0,1.287,-0.2915,-0.3838,-0.3555,0.5215,-1.211,0.03528,-0.8975,-0.609,0.2476,0.0568,-0.04633,0.8135,-1.302,-1.292,0.0,0.0,-1.289,0.0,-1.29,0.738,1.0,0.0,0.0,0.0,-0.3057,1.0,1.5,1.0,-0.562,0.483,-0.5,1.0,0.3333,0.0,0.0,1.0,-1.581,-0.9365
-1.293,-1.284,-1.305,-0.7305,0.54,0.1698,0.6553,-0.298,0.3508,0.033,-0.4702,0.322,0.7144,-2.014,0.0,0.0,-0.04166,-0.02644,-0.762,0.0,1.295,0.3184,-0.427,-0.3704,0.636,-1.167,-0.01011,0.4546,-0.643,-0.9,0.353,0.508,0.3882,-1.302,-1.292,0.0,0.0,-1.289,0.0,-1.29,1.088,1.0,0.0,0.0,0.0,0.1943,1.0,1.5,1.333,-0.6934,0.5566,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.7715
-1.293,-1.284,-1.305,-0.762,0.5596,0.1698,0.6553,-0.368,0.3633,0.0708,-0.4568,0.1534,0.7144,-2.014,0.0,0.0,-0.0837,-0.06128,-0.7163,0.0,1.303,0.0327,-0.4692,-0.3906,0.6626,-1.125,0.06216,0.2583,-0.6733,0.456,0.2482,0.05637,-0.327,-1.302,-1.292,0.0,0.0,-1.289,0.0,-1.285,1.008,1.0,0.0,0.0,0.0,0.05563,1.0,2.0,1.333,-0.7363,0.563,0.5,0.0,0.3333,0.0,0.0,0.0,0.0,0.291
-1.293,-1.284,-1.305,-0.5723,0.361,0.1698,0.6553,-0.2893,0.1389,0.0413,-0.4463,-0.3943,0.7144,-2.014,0.0,0.0,-0.04965,-0.03534,-0.759,0.0,1.311,0.8467,-0.505,-0.4204,0.3904,-1.075,0.05835,-0.3486,-0.716,0.259,-0.902,0.3525,0.1991,-1.302,-1.292,0.0,0.0,-1.289,0.0,-1.29,0.7583,1.0,0.0,0.0,0.0,-0.2109,0.0,1.5,1.0,-0.5728,0.3467,-0.5,1.0,0.3333,0.0,0.0,0.0,0.0,-0.615
-1.293,-1.284,-1.305,-0.5107,0.2886,0.1698,0.6553,-0.5366,0.0756,0.04602,-0.4382,-0.12146,0.7144,-2.014,0.0,0.0,-0.06714,-0.02754,-0.7573,0.0,1.317,0.34,-0.503,-0.4512,0.2024,-1.004,-0.02136,-0.04593,-0.757,-0.3496,0.457,0.2477,0.6064,-1.302,-1.292,0.0,0.0,-1.289,0.0,-1.29,0.601,1.0,0.0,0.0,0.0,-0.03964,0.0,1.5,1.0,-0.528,0.2605,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,-0.034
-1.293,-1.284,-1.305,-0.7275,0.506,0.1698,0.6553,-0.5938,0.3423,0.1349,-0.4297,1.404,0.7144,-2.0,0.0,0.0,-0.1592,-0.11365,-0.643,0.0,1.325,-0.5034,-0.4985,-0.4817,0.458,-0.966,-0.00496,0.731,-0.7993,-0.04608,0.2598,-0.902,-0.04718,-1.302,-1.292,0.0,0.0,-1.289,0.0,-1.277,0.677,1.0,0.0,0.0,0.0,0.3218,1.0,1.5,1.0,-0.715,0.4973,0.5,0.0,0.3333,0.0,1.0,0.0,2.89,1.198
-1.293,-1.284,-1.305,-0.4128,0.1831,0.1382,0.6553,-0.556,-0.010796,0.0655,-0.422,-0.7236,0.7144,-1.987,0.0,0.0,-0.0879,-0.04626,-0.738,0.0,1.333,-0.927,-0.504,-0.5073,0.0974,-0.942,-0.06696,-0.701,-0.8286,0.7334,-0.3503,0.4563,0.506,-1.302,-1.292,0.0,0.0,-1.289,0.0,-1.288,0.476,0.0,0.0,0.0,0.0,-0.2305,0.0,1.0,1.0,-0.3882,0.203,-0.5,1.0,0.3333,0.0,0.0,0.0,0.0,-0.6753
-1.293,-1.284,-1.305,-0.3088,0.07074,0.1382,0.6553,-0.539,-0.1284,0.05264,-0.4155,-0.712,0.7144,-1.974,0.0,0.0,-0.074,-0.03415,-0.759,0.0,1.341,-0.672,-0.5166,-0.5356,-0.002876,-0.929,-0.07495,-0.2032,-0.8945,-0.703,-0.04617,0.259,0.05536,-1.302,-1.292,0.0,0.0,-1.289,0.0,-1.29,0.3506,0.0,0.0,0.0,0.0,-0.07825,-1.0,0.5,0.6665,-0.3066,0.07306,-0.5,2.0,0.3333,0.0,0.0,0.0,0.0,-0.1654
