EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.01617,-0.01598,-0.01651,-0.9316,0.569,-0.001776,0.612,0.3018,0.612,1.058,0.1824,-0.2883,0.875,-0.9673,0.0,0.0,-0.7188,-0.8423,0.791,0.0,-0.3093,0.0174,0.03674,-0.01465,0.3508,0.721,0.2856,-0.549,-0.0645,0.944,0.3726,-0.593,1.471,-0.01261,-0.01886,0.0,0.0,-0.01593,0.0,-0.01622,0.548,0.0,0.0,0.0,0.0,-0.2017,1.0,0.0,0.0,-0.5923,0.8975,0.0,1.0,0.0,-0.5,0.0,0.0,0.0,-0.467
-0.0161,-0.0159,-0.01643,-0.2886,-0.03867,-0.00837,0.2507,0.4944,-0.128,0.828,0.1843,-1.21,0.75,-0.9595,-1.0,0.0,-0.566,-0.723,0.692,0.0,-0.3083,2.154,0.0392,-0.006622,-0.35,0.721,0.08527,-1.491,-0.0677,-0.5483,-0.736,2.42,1.0,-0.01256,-0.01859,0.0,0.0,-0.01572,0.0,-0.02042,0.10175,0.0,0.0,0.0,0.0,-0.2554,0.0,-0.5,-0.3333,0.047,0.311,0.0,2.0,0.0,-0.5,0.0,0.0,0.0,-0.6035
-0.01604,-0.01584,-0.01636,-0.2761,-0.0548,-0.00837,0.2507,0.591,-0.1785,0.827,0.1884,0.682,0.625,-0.951,-1.0,0.0,-0.5557,-0.7334,0.692,0.0,-0.3074,0.9106,0.03134,-0.002064,-0.3486,0.721,0.2805,0.0,-0.07166,-1.49,0.9434,0.3723,-0.7734,-0.01235,-0.01833,0.0,0.0,-0.0155,0.0,-0.02043,0.2566,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5,-0.3333,0.04288,0.2764,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
-0.01605,-0.01588,-0.01634,-0.1191,-0.2188,-0.00837,0.2507,0.652,-0.4053,0.7695,0.1924,1.799,0.5,-0.943,-1.0,0.0,-0.5137,-0.702,0.6675,0.0,-0.3062,0.0982,0.0147,-2.59e-05,-0.549,0.7246,0.188,-0.393,-0.0786,0.0,-0.5483,-0.7354,0.3972,-0.01287,-0.0181,0.0,0.0,-0.01529,0.0,-0.02148,0.2566,0.0,0.0,0.0,0.0,-0.0161,-1.0,-1.0,-0.3333,0.1544,0.06647,0.0,1.0,0.0,-0.5,0.0,0.0,0.0,-0.04007
-0.0164,-0.01617,-0.01675,0.7144,-0.9873,-0.00837,0.09845,0.808,-1.238,0.4841,0.1879,2.643,0.375,-0.935,-1.0,0.0,-0.3052,-0.517,0.5435,0.0,-0.3052,0.642,-0.006695,-0.001275,-1.407,0.7227,0.229,-1.991,-0.08356,-0.3928,-1.49,0.943,-0.1959,-0.01401,-0.01802,0.0,0.0,-0.01522,0.0,-0.0267,-0.3457,0.0,0.0,0.0,0.0,-0.3389,-2.0,-1.0,-0.6665,0.9785,-0.679,0.0,2.0,0.0,-0.5,0.0,0.0,0.0,-0.855
-0.01637,-0.01614,-0.01674,-0.1823,-0.1315,-0.00837,0.09845,0.7173,-0.325,0.767,0.1852,-0.722,0.25,-0.927,-1.0,0.0,-0.5054,-0.7075,0.6675,0.0,-0.3042,1.359,-0.03397,-0.0061,-0.5234,0.721,0.3267,2.139,-0.0925,-1.991,0.0,-0.548,-0.592,-0.01442,-0.0178,0.0,0.0,-0.015,0.0,-0.02151,-0.1622,0.0,0.0,0.0,0.0,0.2141,-1.0,-0.5,-0.6665,0.1816,0.2546,1.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.58
-0.01581,-0.01555,-0.0162,-1.268,0.917,0.9155,0.09845,0.619,0.9897,1.218,0.1921,-4.836,0.25,-0.9185,0.0,0.0,-0.7715,-0.9653,0.865,0.0,-0.3032,-0.02632,-0.05994,-0.01174,0.7573,0.737,-0.2793,3.188,-0.0856,2.137,-0.3926,-1.489,2.416,-0.01427,-0.0173,0.0,0.0,-0.01461,0.0,-0.01337,0.3984,0.0,0.0,0.0,0.0,1.32,0.0,-0.5,-0.3333,-0.7515,1.434,2.0,0.0,0.0,-0.5,1.0,0.0,6.89,3.33
-0.01529,-0.01502,-0.0157,-1.152,0.819,0.9155,0.09845,0.6484,0.895,1.208,0.1979,0.03635,0.25,-0.9106,0.0,0.0,-0.7637,-0.9634,0.865,0.0,-0.3022,0.3525,-0.08624,-0.01974,0.698,0.7446,-0.3513,0.0,-0.0785,3.186,-1.99,0.0,0.3718,-0.013954,-0.01677,0.0,0.0,-0.01428,0.0,-0.01343,0.3542,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.6665,-0.6606,1.313,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
-0.0149,-0.01464,-0.01528,-0.925,0.604,0.9155,0.09845,0.645,0.6343,1.1455,0.2035,-0.1853,0.25,-0.9023,0.0,0.0,-0.7314,-0.9287,0.8403,0.0,-0.301,-0.01211,-0.1105,-0.02986,0.389,0.7637,-0.1254,-0.359,-0.0784,0.0,2.137,-0.3926,-0.7344,-0.013336,-0.01627,0.0,0.0,-0.01392,0.0,-0.01469,0.3218,0.0,0.0,0.0,0.0,-0.2177,0.0,-1.0,-0.6665,-0.4558,1.082,0.0,1.0,0.0,-0.5,0.0,0.0,0.0,-0.4949
-0.01454,-0.0143,-0.0149,-0.8496,0.529,0.9155,0.09845,0.645,0.5303,1.14,0.2107,-0.039,0.25,-0.8945,0.0,0.0,-0.728,-0.9253,0.8403,0.0,-0.3,0.3713,-0.1342,-0.04376,0.3398,0.7705,-0.3513,0.0,-0.08264,-0.359,3.184,-1.989,0.9414,-0.01272,-0.01585,0.0,0.0,-0.013535,0.0,-0.01475,0.4219,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-0.6665,-0.4827,0.894,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
