EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.263,-0.263,-0.2625,-0.6,0.583,0.000777,0.3733,-0.554,0.4236,1.114,0.4521,0.613,0.75,-1.379,0.0,0.0,-0.974,-0.982,0.544,0.0,-0.2576,-1.174,-0.218,-0.288,0.3098,0.509,0.1298,0.536,-0.4988,0.0,-1.569,0.546,-1.337,-0.2578,-0.274,0.0,0.0,-0.2644,0.0,-0.015335,0.611,0.0,0.0,0.0,0.0,0.00987,0.0,-1.0,-1.5,-0.4858,0.6514,1.0,0.0,-1.5,-1.0,1.0,0.0,0.8477,0.0158
-0.2612,-0.2612,-0.2607,-0.5312,0.5137,0.000777,0.3733,-0.554,0.3235,1.1045,0.4663,-0.0751,0.75,-1.368,0.0,0.0,-0.9673,-0.974,0.544,0.0,-0.2566,-1.174,-0.2323,-0.2878,0.3098,0.509,0.1842,0.0,-0.4783,0.536,0.0,2.164,0.0,-0.2554,-0.272,0.0,0.0,-0.2632,0.0,-0.015335,0.611,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.5,-0.4243,0.5815,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.2598,-0.2598,-0.259,-0.469,0.4504,0.000777,0.4055,-0.554,0.2239,1.096,0.4805,-0.1248,0.75,-1.357,0.0,0.0,-0.9604,-0.9663,0.544,0.0,-0.2556,-1.174,-0.2722,-0.292,0.3098,0.509,0.2385,0.0,-0.4883,0.0,0.0,-1.569,0.0,-0.2537,-0.27,0.0,0.0,-0.2612,0.0,-0.015335,0.611,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.5,-0.4954,0.3743,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.2583,-0.2583,-0.2576,-0.4133,0.3928,0.000777,0.4055,-0.8486,0.2148,1.086,0.4775,0.1139,0.75,-1.348,0.0,0.0,-0.979,-0.9307,0.544,0.0,-0.2546,-1.174,-0.287,-0.298,0.2,0.5234,0.293,0.0,-0.499,0.0,0.5366,0.0,0.0,-0.2554,-0.268,0.0,0.0,-0.2598,0.0,-0.015335,-0.01226,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,-0.509,0.2449,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.2563,-0.2566,-0.2559,-0.58,0.5596,0.000777,0.4055,-0.942,0.392,1.158,0.4863,0.79,0.75,-1.337,0.0,0.0,-1.04,-0.9814,0.577,0.0,-0.2537,-1.174,-0.2983,-0.3062,0.3337,0.5396,0.3474,0.5317,-0.5034,0.0,0.0,0.0,0.0,-0.2537,-0.266,0.0,0.0,-0.2578,0.0,-0.00771,0.7544,0.0,0.0,0.0,0.0,0.002468,0.0,-0.5,-1.5,-0.6333,0.4397,1.0,0.0,-1.5,-1.0,1.0,0.0,0.8403,0.003918
-0.2554,-0.2556,-0.2546,-0.2947,0.2737,0.000777,0.4055,-0.878,0.0891,1.067,0.492,-0.564,0.75,-1.326,0.0,0.0,-0.9673,-0.912,0.544,0.0,-0.2524,-1.174,-0.3342,-0.3247,0.05093,0.5435,0.2385,-0.5273,-0.536,0.5317,0.0,0.5366,0.5464,-0.2527,-0.2644,0.0,0.0,-0.256,0.0,-0.0158,0.4807,0.0,0.0,0.0,0.0,-0.01234,-1.0,-1.0,-1.5,-0.3525,0.1824,0.0,1.0,-1.5,-1.0,0.0,1.0,-0.8335,-0.01942
-0.2544,-0.2546,-0.2537,-0.255,0.2335,0.000777,0.4055,-0.878,0.03558,1.059,0.4976,-0.1742,0.75,-1.315,0.0,0.0,-0.9604,-0.9043,0.544,0.0,-0.2515,-1.174,-0.4006,-0.3303,0.05093,0.5435,-0.4502,0.0,-0.581,-0.5273,0.0,0.0,2.166,-0.252,-0.2625,0.0,0.0,-0.2544,0.0,-0.0158,0.4807,0.0,0.0,0.0,0.0,0.0,-1.0,-1.5,-1.5,-0.3171,0.1421,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.2522,-0.2524,-0.2517,-0.653,0.633,0.000777,0.4055,-0.773,0.4417,1.211,0.51,3.488,0.75,-1.306,0.0,0.0,-1.063,-1.041,0.6104,1.0,-0.2617,-1.174,-0.4255,-0.3406,0.4675,0.5557,0.05728,1.063,-0.6094,0.0,0.5317,0.0,-1.571,-0.25,-0.2603,0.0,0.0,-0.2522,0.0,-0.000817,0.721,0.0,0.0,0.0,0.0,0.02467,0.0,-1.0,-1.0,-0.6255,0.596,1.0,0.0,-1.5,-1.0,1.0,0.0,1.681,0.03915
-0.2505,-0.2507,-0.2499,-0.579,0.5586,0.000777,0.4055,-0.773,0.352,1.201,0.522,-0.04547,0.75,-1.295,0.0,0.0,-1.057,-1.032,0.6104,1.0,-0.2617,-1.174,-0.4844,-0.3652,0.4675,0.5557,0.11163,0.0,-0.6626,1.063,-0.5273,0.0,0.0,-0.2484,-0.258,0.0,0.0,-0.2499,0.0,-0.000817,0.721,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.5845,0.4932,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.2488,-0.2489,-0.2482,-0.5127,0.4912,-0.03458,0.4055,-0.831,0.2805,1.191,0.5303,-0.0362,0.75,-1.284,0.0,0.0,-1.054,-1.019,0.6104,1.0,-0.2617,-1.174,-0.467,-0.3584,0.2083,0.5903,0.166,0.0,-0.635,0.0,0.0,0.532,0.0,-0.2467,-0.2568,0.0,0.0,-0.249,0.0,-0.000817,0.611,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.5,-0.6245,0.3118,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.2473,-0.2474,-0.2466,-0.4524,0.43,-0.03458,0.4055,-1.0625,0.2805,1.181,0.525,0.1458,0.75,-1.273,0.0,0.0,-1.066,-0.988,0.6104,1.0,-0.2617,-1.174,-0.4429,-0.368,0.257,0.584,0.03915,0.0,-0.6377,0.0,1.063,-0.528,0.537,-0.245,-0.2559,0.0,0.0,-0.2476,0.0,-0.000817,-0.1058,0.0,0.0,0.0,0.0,0.0,-1.0,-1.5,-2.0,-0.6455,0.1655,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.2458,-0.2461,-0.2452,-0.398,0.3745,-0.03458,0.4055,-1.236,0.2272,1.17,0.53,-0.01524,0.75,-1.263,0.0,0.0,-1.073,-0.9624,0.6104,1.0,-0.2617,-1.174,-0.4197,-0.3872,0.2002,0.592,0.0754,0.0,-0.651,0.0,0.0,0.0,0.0,-0.2441,-0.2546,0.0,0.0,-0.2461,0.0,-0.000817,1.185,1.0,0.0,0.0,0.0,0.0,-1.0,-1.5,-2.0,-0.597,0.11005,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.2446,-0.2449,-0.244,-0.3484,0.325,-0.03458,0.4055,-1.236,0.1741,1.159,0.535,-0.04034,0.75,-1.253,0.0,0.0,-1.065,-0.9536,0.6104,1.0,-0.2617,-1.174,-0.4055,-0.4187,0.1802,0.594,0.11163,0.0,-0.6753,0.0,0.0,1.064,0.0,-0.2424,-0.253,0.0,0.0,-0.2445,0.0,-0.0009017,1.185,1.0,0.0,0.0,0.0,0.0,-2.0,-1.5,-2.0,-0.5527,0.0599,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.2435,-0.2438,-0.2429,-0.3035,0.2798,-0.03458,0.4055,-1.236,0.1211,1.149,0.54,-0.0748,0.75,-1.242,0.0,0.0,-1.058,-0.9453,0.6104,1.0,-0.2617,-1.174,-0.4038,-0.436,0.1711,0.5957,0.148,0.0,-0.7124,0.0,0.0,0.0,0.0,-0.2407,-0.2515,0.0,0.0,-0.243,0.0,-0.000944,1.185,1.0,0.0,0.0,0.0,0.0,-2.0,-1.5,-2.0,-0.538,-0.01385,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.2426,-0.2427,-0.2418,-0.263,0.2391,-0.03458,0.4055,-1.236,0.0859,1.139,0.5415,-0.03503,0.75,-1.231,0.0,0.0,-1.051,-0.9365,0.6104,1.0,-0.2617,-0.2255,-0.4001,-0.46,0.08813,0.597,0.002901,0.0,-0.7666,0.0,0.0,0.0,0.532,-0.2407,-0.2499,0.0,0.0,-0.2415,0.0,-0.001069,0.969,1.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.5,-0.502,-0.0549,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.2416,-0.2418,-0.241,-0.2262,0.2023,-0.03458,0.4055,-1.236,0.05075,1.128,0.543,-0.0676,0.75,-1.221,0.0,0.0,-1.043,-0.9277,0.6104,1.0,-0.2617,-1.174,-0.4126,-0.4746,0.06244,0.597,0.2023,0.0,-0.8027,0.0,0.0,0.0,-0.528,-0.2407,-0.2483,0.0,0.0,-0.2402,0.0,-0.001238,0.969,1.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.5,-0.4695,-0.09204,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.2407,-0.241,-0.2401,-0.1927,0.1692,-0.7734,0.4055,-1.12,0.01573,1.117,0.5444,-0.11475,0.75,-1.211,0.0,0.0,-1.024,-0.93,0.6104,1.0,-0.2617,0.723,-0.4478,-0.4734,0.05646,0.597,0.2385,0.0,-0.8027,0.0,0.0,0.0,0.0,-0.2407,-0.2468,0.0,0.0,-0.2402,0.0,-0.002333,0.969,1.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.5,-0.44,-0.1256,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.24,-0.2402,-0.2394,-0.1628,0.1389,-0.7734,0.833,-1.12,-0.01923,1.107,0.546,-0.1888,0.75,-1.2,0.0,0.0,-1.018,-0.922,0.6104,1.0,-0.2617,-1.174,-0.479,-0.4766,0.05646,0.597,-0.0877,0.0,-0.8203,0.0,0.0,0.0,1.064,-0.2407,-0.2452,0.0,0.0,-0.2394,0.0,-0.002333,0.969,1.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.5,-0.4382,-0.1844,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.2394,-0.2395,-0.2386,-0.1357,0.1116,-0.7734,0.833,-1.179,-0.03668,1.097,0.5444,-0.08826,0.75,-1.189,0.0,0.0,-1.015,-0.9077,0.6104,1.0,-0.2617,-1.174,-0.5,-0.4834,0.05377,0.597,-0.0877,0.0,-0.834,0.0,0.0,0.0,0.0,-0.2407,-0.2438,0.0,0.0,-0.2385,0.0,-0.002333,0.611,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,-0.439,-0.2404,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.2388,-0.2389,-0.238,-0.11127,0.08673,-0.7734,0.833,-1.236,-0.07153,1.087,0.546,-0.4387,0.75,-1.179,0.0,0.0,-1.012,-0.893,0.6104,1.0,-0.2617,-1.174,-0.5195,-0.4902,-0.01608,0.597,-0.0877,0.0,-0.834,0.0,0.0,0.0,0.0,-0.2407,-0.2433,0.0,0.0,-0.2375,0.0,-0.002333,1.591,1.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-3.0,-0.4172,-0.2651,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.2394,-0.2395,-0.2386,0.3552,-0.3804,-0.7734,0.62,-1.113,-0.558,0.9165,0.541,-16.2,0.625,-1.168,-1.0,0.0,-0.8735,-0.7607,0.544,0.0,-0.2607,-1.174,-0.5635,-0.505,-0.489,0.597,-0.0877,-1.046,-0.834,0.0,0.0,0.0,0.0,-0.2424,-0.2427,0.0,0.0,-0.2375,0.0,-0.01785,-0.1058,0.0,0.0,0.0,0.0,-0.007404,-2.0,-2.0,-3.0,-0.002827,-0.736,0.0,1.0,-1.5,-1.0,0.0,1.0,-1.653,-0.01156
-0.2399,-0.2401,-0.2393,0.3333,-0.358,-0.7734,0.62,-1.055,-0.524,0.907,0.5293,0.05725,0.5,-1.158,-1.0,0.0,-0.862,-0.7583,0.544,0.0,-0.2598,1.72,-0.6113,-0.5347,-0.3777,0.597,-0.12396,0.0,-0.834,-1.046,0.0,0.0,0.0,-0.2441,-0.242,0.0,0.0,-0.2375,0.0,-0.02777,-1.719,0.0,1.0,0.0,1.0,0.0,-2.0,-2.0,-3.0,-0.02245,-0.7134,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.2404,-0.2406,-0.2397,0.3132,-0.3376,-0.7734,0.62,-1.055,-0.4893,0.8984,0.5176,0.04974,0.375,-1.147,-1.0,0.0,-0.8545,-0.7505,0.544,0.0,-0.2588,-1.174,-0.6865,-0.575,-0.3777,0.597,-0.1603,0.0,-0.834,0.0,0.0,0.0,0.0,-0.2458,-0.2413,0.0,0.0,-0.2375,0.0,-0.02777,-1.719,0.0,1.0,0.0,1.0,0.0,-2.0,-2.0,-3.0,-0.0402,-0.693,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.2405,-0.2407,-0.2399,0.1831,-0.2072,-0.7734,0.62,-1.027,-0.3416,0.9287,0.508,-0.3047,0.25,-1.137,-1.0,0.0,-0.8755,-0.78,0.5605,0.0,-0.2576,-1.174,-0.695,-0.6094,-0.2527,0.597,-0.1965,0.2659,-0.834,0.0,-1.046,0.0,0.0,-0.2471,-0.2407,0.0,0.0,-0.2374,0.0,-0.02396,-1.3955,0.0,1.0,0.0,0.0,0.000617,-1.0,-2.0,-3.0,-0.1433,-0.5474,1.0,0.0,-1.5,-1.0,1.0,0.0,0.4202,0.000979
-0.2406,-0.2408,-0.24,0.1775,-0.2014,-0.7734,0.62,-1.027,-0.3157,0.919,0.4973,0.01697,0.125,-1.126,-1.0,0.0,-0.868,-0.7715,0.5605,0.0,-0.2566,-1.174,-0.718,-0.6343,-0.2527,0.597,-0.2236,0.0,-0.834,0.2659,0.0,0.0,0.0,-0.2484,-0.24,0.0,0.0,-0.2375,0.0,-0.02396,-1.3955,0.0,1.0,0.0,0.0,0.0,-1.0,-2.0,-3.0,-0.1484,-0.5415,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
-0.2417,-0.2418,-0.241,0.5117,-0.5356,-0.7734,0.62,-0.932,-0.6304,0.79,0.4824,1.902,0.0,-1.116,-1.0,0.0,-0.7603,-0.6675,0.5107,0.0,-0.2556,-1.174,-0.718,-0.662,-0.6235,0.597,-0.251,-0.7944,-0.834,0.0,0.0,-1.047,0.0,-0.251,-0.2397,0.0,0.0,-0.2379,0.0,-0.03558,-1.719,0.0,1.0,0.0,0.0,-0.003702,-1.0,-2.0,-3.0,0.1869,-0.8345,0.0,1.0,-1.5,-1.0,0.0,1.0,-1.255,-0.00585
-0.2426,-0.2427,-0.242,0.4749,-0.4985,-0.7734,0.62,-0.932,-0.579,0.7812,0.4675,0.0309,-0.125,-1.105,-1.0,0.0,-0.7534,-0.6597,0.5107,0.0,-0.2546,-1.174,-0.718,-0.699,-0.622,0.597,-0.3052,0.0,-0.8315,-0.7944,0.2659,0.0,0.0,-0.2537,-0.2404,0.0,0.0,-0.2382,0.0,-0.03558,-1.719,0.0,1.0,0.0,0.0,0.0,-1.0,-2.0,-3.0,0.154,-0.7974,0.0,0.0,-1.5,-1.0,0.0,0.0,0.0,0.0
