Close,EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.95,-0.9507,-0.949,-0.9507,0.949,0.0,0.0,2.0,1.001,1.035,-0.9644,-1.117,0.0,0.0,0.0,0.0,0.0,-0.815,0.0,0.0,1.0,9.155e-05,-1.196,1.116,1.44,-1.438,-1.048,0.0,0.0,0.0,-1.329,2.0,0.0,-1.0,-0.6665,0.0,0.0,-1.25,0.0,1.376,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,-1.225,0.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.935,-0.9355,-0.9346,-0.9355,0.9346,0.0,0.0,-2.2e-05,0.728,1.012,-0.3855,1.461,0.0,0.0,0.0,0.0,-1.25,-0.3828,0.0,0.0,1.0,-0.5,-1.288,0.9106,0.545,-0.545,-0.5356,0.0,0.0,0.0,0.0,0.0,-0.3994,-1.0,-0.5264,0.0,0.0,-0.846,0.0,0.9194,4.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.4,0.0,-1.036,0.5044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.905,-0.906,-0.904,-0.906,0.904,0.0,0.0,0.0,0.3337,0.968,0.0816,2.59,0.0,0.0,0.0,0.0,-1.493,-0.0144,0.0,0.0,1.0,0.0,-1.462,0.69,0.06244,-0.06226,0.0,0.0,0.0,0.0,0.0,-0.01724,-0.4978,-1.5,-1.0,0.0,0.0,-0.75,0.0,0.7056,2.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9463,0.5645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.02083,-1.157,-1.156,-1.158,1.192,-1.188,0.0,0.0,0.0,-2.389,-4.75,-0.4277,11.58,0.0,0.0,0.0,0.0,6.332,3.16,-0.595,0.0,1.0,0.02367,-1.576,0.6978,-1.467,-0.998,-0.0588,-0.00877,0.0,0.0,0.0,0.0,0.0,-1.692,-1.363,0.0,0.0,-0.722,0.0,-5.547,-1.037,0.0,0.0,0.0,0.0,-3512.0,0.0,0.0,0.0,0.3623,-3.992,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1479.0
0.0,-0.96,-0.96,-0.96,-1.287,1.287,0.0,0.0,0.0,1.256,1.367,-0.9844,-6.52,0.0,0.0,0.0,0.0,-1.706,-0.6147,0.0,0.0,1.0,-1.0,-0.993,0.6094,0.9263,-1.118,-0.2856,0.00885,0.0,-2.0,0.0,0.0,0.0,-1.0,-1.2,0.0,0.0,-0.737,0.0,1.137,-0.875,0.0,0.0,0.0,0.0,1862.0,1.0,1.0,0.0,-1.027,2.928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,791.0
-4.0,-1.018,-1.018,-1.018,0.4104,-0.4092,0.0,0.0,4.0,-0.9307,-1.889,-2.795,3.96,0.0,0.0,0.0,0.0,2.096,1.606,-4.0,0.0,1.0,0.01762,-0.6987,-0.1233,-0.831,-1.204,-1.549,-4.0,0.0,4.035,0.0,0.0,0.8013,-0.8,-1.459,0.0,0.0,-0.8716,0.0,-2.121,-1.622,0.0,1.0,0.0,0.0,-4.0,0.5,0.0,0.0,0.1278,-1.26,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.0
-2.0,-1.302,-1.301,-1.304,1.883,-1.874,0.0,-0.03052,7.023,-2.148,-2.082,-3.154,0.9424,0.0,0.0,0.0,0.0,2.188,2.023,-2.0,0.0,1.0,1.035,-0.5557,-0.893,-1.6875,-2.064,-1.75,-1.009,0.0,-1.0,-0.00877,0.0,0.0,-1.0,-2.1,0.0,0.0,-1.1,0.0,-1.97,-2.143,0.0,1.0,0.0,0.0,-1.478,0.0,0.0,0.0,1.566,-2.467,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.491
-3.0,-1.441,-1.439,-1.442,2.594,-2.59,0.0,-40.34,0.0,-2.312,-3.049,-2.643,0.5913,0.0,0.0,0.0,0.0,3.25,2.887,-3.0,0.0,1.0,-1.192,-0.3308,-1.68,-2.566,-1.641,0.138,-1.018,0.0,-1.009,0.00885,0.0,-1.327,-1.154,-1.965,0.0,0.0,-1.218,0.0,-2.99,-1.346,0.0,1.333,0.0,0.0,-0.01068,0.0,0.0,0.0,2.777,-2.152,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.01087
-0.857,-1.315,-1.315,-1.315,0.4463,-0.4421,0.0,-40.34,0.0,-0.5366,-0.8345,-2.154,-0.594,0.0,0.0,0.0,0.0,1.255,1.074,-0.857,0.0,1.0,-0.9736,-0.09717,-2.717,-0.6562,-0.925,-0.1538,1.027,0.0,-1.014,-2.0,-0.00877,0.0,-1.143,-1.477,0.0,0.0,-1.143,0.0,-0.8315,-3.284e-05,0.0,0.0,0.0,0.0,0.1655,1.0,1.0,0.0,0.5566,-0.2318,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
-1.0,-1.235,-1.236,-1.235,0.86,-0.86,0.0,-1.318,0.0,-0.688,-1.0625,-1.703,0.348,-1.0,0.0,0.0,0.0,1.341,1.293,-1.0,0.0,1.0,-0.4844,-0.01049,-3.232,-0.8193,-1.315,-0.4348,-1.016,0.002783,1.024,-1.009,0.00885,0.0,-1.4,-1.233,0.0,0.0,-1.148,0.0,-1.03,-1.409,0.0,1.0,0.0,0.0,-1.557,0.0,1.0,0.0,1.125,-0.6562,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.585
-0.2856,-1.105,-1.106,-1.1045,-0.3286,0.3293,0.0,-0.9834,2.018,0.431,-0.2274,-1.389,-0.8364,-2.0,0.0,0.0,0.0,0.527,0.481,-0.2856,0.0,1.0,0.03513,0.0586,-2.018,0.2148,-1.599,-0.7144,1.027,0.002361,-1.009,-1.018,-0.00877,0.0,-1.333,-1.083,0.0,0.0,-1.143,0.0,-0.207,-0.35,0.0,1.0,0.0,0.0,1.182,1.0,2.0,0.0,-0.0626,0.4658,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.211
-0.5713,-0.916,-0.9175,-0.9146,0.3708,-0.3704,0.0,-0.4834,0.0,-0.1343,-0.595,-1.053,0.401,-2.0,0.0,0.0,0.0,1.017,1.052,-0.5713,0.0,1.0,-0.4822,0.1052,-1.299,-0.3906,-1.108,-0.7744,-1.011,0.0028,1.0205,1.027,-1.345,0.0,-1.05,-0.894,0.0,0.0,-1.115,0.0,-0.5728,0.35,0.0,0.0,0.0,0.0,-0.6533,1.333,1.5,0.0,0.682,-0.1221,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.663
1.714,-0.5415,-0.5415,-0.542,-4.016,4.02,1.519,0.0,9.04,3.994,2.096,-0.6216,-2.03,-2.0,0.0,1.0,0.0,-1.274,-1.482,1.714,0.0,1.0,2.932,0.09875,-0.945,4.605,-0.8516,-0.8887,2.723,2.371,-1.005,-1.014,-1.018,0.0,-0.5854,-0.727,1.0,-1.0,-0.875,0.0,2.354,4.656,0.0,0.0,0.0,0.0,7.18,2.0,1.333,1.0,-3.043,4.617,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.285
2.4,-0.04196,-0.03995,-0.04398,-4.168,4.18,4.13,0.0,7.26,4.64,2.758,-0.11957,0.7075,0.0,0.0,1.0,0.0,-2.729,-3.154,2.4,0.0,1.0,0.8906,-0.011086,-0.8843,3.945,0.2247,0.2352,1.476,3.42,3.252,0.822,1.027,-4.07,0.0625,-0.5083,0.0,0.0,-0.552,0.0,3.031,6.477,0.0,0.0,0.0,0.0,5.176,1.6,1.5,2.0,-3.13,5.445,2.0,0.0,0.0,0.0,1.0,0.0,7.273,5.043
2.77,0.761,0.7686,0.754,-2.44,2.443,5.855,0.0,4.32,2.592,2.828,0.59,0.05786,1.0,0.0,1.0,0.0,-4.055,-4.73,2.77,0.0,1.0,0.812,0.2003,-0.891,2.182,1.925,-0.25,1.43,7.65,1.474,-1.009,-1.018,0.00885,1.3125,-0.1647,0.0,0.0,-2.2e-06,0.0,2.893,1.824,0.0,0.0,0.0,0.0,1.413,3.0,1.5,3.0,-2.379,2.484,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.338
1.333,1.376,1.387,1.365,-1.099,1.102,1.919,0.0,4.883,1.157,1.359,1.221,-0.6055,2.0,0.0,1.0,0.0,-3.328,-4.08,1.333,0.0,1.0,0.5283,0.628,-0.6987,0.9907,2.703,1.807,-0.4658,9.98,1.429,2.348,1.027,-1.356,2.312,0.1311,0.0,0.0,0.4211,0.0,1.381,1.008,0.0,0.0,0.0,0.0,-0.2803,2.0,1.5,3.0,-1.026,1.155,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.259
0.788,1.809,1.808,1.81,-0.6577,0.6597,0.9795,0.0,2.617,0.6904,0.8066,1.883,-0.2434,3.0,0.0,2.0,0.0,-2.586,-2.758,0.788,0.0,1.0,-0.7383,0.9805,-0.3738,0.4646,1.587,3.75,0.0,11.98,-0.4658,1.483,-1.014,-1.022,2.2,0.522,0.0,0.0,0.8423,0.0,0.821,0.638,0.0,0.0,0.0,0.0,-0.0056,1.333,1.2,6.0,-0.614,0.6895,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.00563
0.1333,1.272,1.2705,1.273,0.02316,-0.0212,0.5767,0.0,2.297,0.002537,0.1554,1.574,-0.4587,4.0,0.0,1.0,0.0,-1.01,-1.114,0.1333,0.0,1.0,0.5073,1.184,-0.07404,-0.2035,1.15,5.0,-1.414,8.24,0.0,1.4375,3.287,-1.024,1.566,0.696,0.0,0.0,1.158,0.0,0.1646,0.0845,0.0,0.0,0.0,0.0,-0.521,0.8,0.923,2.4,0.11426,0.04263,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.4849
