EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.2837,-0.283,-0.2842,-0.851,0.8574,2.115,0.535,0.1279,0.4243,1.31,0.7246,-0.567,0.857,-1.142,0.0,0.0,-1.033,-1.097,0.801,0.0,-0.5693,-0.4429,0.4219,0.3816,0.9854,0.5376,0.6997,-1.388,0.7314,0.0,1.2,0.11975,0.8823,-0.2517,-0.3174,0.0,0.0,-0.303,0.0,-0.06152,0.8916,1.0,0.0,0.0,0.0,-0.11005,0.0,0.0,1.0,-0.644,1.01,-1.0,1.0,1.5,-2.0,0.0,1.0,-2.686,-0.1332
-0.281,-0.2803,-0.2815,-0.5366,0.54,2.115,0.2386,0.11383,0.01617,1.215,0.745,-0.757,0.857,-1.132,0.0,0.0,-0.9707,-1.029,0.731,0.0,-0.567,0.3396,0.4912,0.4358,0.2686,0.651,0.461,-0.532,0.6475,-1.378,-0.688,2.012,0.7354,-0.2498,-0.3137,0.0,0.0,-0.2966,0.0,-0.07806,0.7017,0.0,0.0,0.0,0.0,-0.095,-1.0,-0.5,0.5,-0.3838,0.6533,-1.0,2.0,1.5,-2.0,0.0,0.0,0.0,-0.11804
-0.2751,-0.2747,-0.2756,-1.195,1.196,2.115,0.2386,0.11365,0.707,1.451,0.766,8.35,0.857,-1.123,0.0,0.0,-1.126,-1.192,0.956,0.0,-0.5645,-0.717,0.552,0.5024,0.934,0.699,0.6714,1.693,0.5996,-0.5225,0.0,1.19,-0.3984,-0.2432,-0.308,0.0,0.0,-0.289,0.0,-0.02563,0.748,0.0,0.0,0.0,0.0,0.1917,-1.0,0.0,0.5,-0.947,1.372,0.0,0.0,1.5,-2.0,1.0,0.0,3.75,0.2416
-0.2703,-0.2698,-0.2708,-1.039,1.038,2.115,0.2386,0.1171,0.521,1.42,0.7847,-0.11664,0.857,-1.113,0.0,0.0,-1.105,-1.172,0.945,0.0,-0.562,-0.1377,0.6147,0.5625,0.682,0.7524,0.9966,-0.09204,0.4473,1.703,-1.378,-0.6973,-0.445,-0.2427,-0.3027,0.0,0.0,-0.2805,0.0,-0.02856,0.6885,0.0,0.0,0.0,0.0,-0.01784,-1.0,0.0,0.0,-0.838,1.174,-1.0,1.0,1.5,-2.0,0.0,0.0,0.0,-0.0215
-0.2642,-0.2637,-0.2646,-1.245,1.243,2.115,0.2386,0.05124,0.7583,1.515,0.8022,0.587,0.857,-1.104,0.0,0.0,-1.17,-1.23,1.046,0.0,-0.5596,-0.579,0.67,0.6055,0.905,0.793,0.734,0.733,0.3784,-0.08246,-0.5225,-0.00962,0.9126,-0.2435,-0.2974,0.0,0.0,-0.2727,0.0,-0.005035,0.6777,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,-1.037,1.374,0.0,0.0,1.5,-2.0,1.0,0.0,1.448,0.08075
-0.2583,-0.2578,-0.2588,-1.221,1.219,2.115,0.2386,0.0667,0.7603,1.531,0.816,0.1495,0.857,-1.095,0.0,0.0,-1.18,-1.242,1.08,0.0,-0.557,0.767,0.734,0.641,0.8296,0.8447,0.8154,0.2344,0.3198,0.743,1.703,-1.387,0.11975,-0.2416,-0.2915,0.0,0.0,-0.2656,0.0,0.00254,0.6147,0.0,0.0,0.0,0.0,0.04663,1.0,0.0,0.0,-1.023,1.34,1.0,0.0,1.5,-2.0,0.0,0.0,0.0,0.05627
-0.2534,-0.253,-0.2537,-0.994,0.9917,2.115,0.2386,0.01284,0.5093,1.474,0.8306,-0.1862,0.857,-1.085,0.0,0.0,-1.146,-1.201,1.046,0.0,-0.5547,0.4192,0.8076,0.676,0.4473,0.9126,0.04633,-0.2524,0.224,0.2441,-0.0824,-0.5317,2.012,-0.2404,-0.2852,0.0,0.0,-0.2588,0.0,-0.005993,0.65,0.0,0.0,0.0,0.0,-0.0952,1.0,-0.5,0.0,-0.8154,1.105,-1.0,1.0,1.5,-2.0,0.0,0.0,0.0,-0.1138
-0.2494,-0.2489,-0.2496,-0.805,0.801,2.115,0.2386,0.05612,0.274,1.422,0.8467,-0.2993,0.857,-1.075,0.0,0.0,-1.111,-1.169,1.018,0.0,-0.5522,0.6396,0.862,0.7197,0.1719,0.9585,-0.4756,-0.213,0.1016,-0.243,0.7427,1.692,1.19,-0.2355,-0.2793,0.0,0.0,-0.2524,0.0,-0.013306,0.7114,0.0,0.0,0.0,0.0,-0.093,0.0,-1.0,0.0,-0.6694,0.8804,-1.0,2.0,1.5,-2.0,0.0,0.0,0.0,-0.1117
-0.2429,-0.2424,-0.2433,-1.303,1.297,2.115,0.2386,0.1881,0.8203,1.617,0.8677,1.876,0.857,-1.066,0.0,0.0,-1.226,-1.306,1.085,1.0,-0.5767,1.361,0.9946,0.818,0.274,0.972,-0.1678,1.379,0.0824,-0.2035,0.2441,-0.092,-0.6973,-0.225,-0.2732,0.0,0.0,-0.2461,0.0,0.02669,0.7827,0.0,0.0,0.0,0.0,3.65,1.0,-0.5,0.0,-1.085,1.436,0.0,0.0,1.5,-2.0,1.0,0.0,2.707,4.41
-0.2396,-0.2393,-0.2399,-0.6562,0.651,2.115,0.2386,0.352,0.1057,1.412,0.8794,-0.738,0.857,-1.057,0.0,0.0,-1.086,-1.182,0.9194,0.0,-0.574,-0.3645,1.073,0.883,-0.3672,0.972,-0.0919,-1.202,0.00367,1.389,-0.2429,0.733,-0.00962,-0.2231,-0.2683,0.0,0.0,-0.2413,0.0,-0.015434,0.44,0.0,0.0,0.0,0.0,-2.049,0.0,-0.5,-0.5,-0.4995,0.761,-1.0,1.0,1.5,-2.0,0.0,1.0,-4.547,-2.408
