EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.529,-0.5293,-0.5312,2.086,-2.088,-0.458,-1.03,0.9175,-1.686,-0.3035,0.001871,0.5547,-0.875,-1.107,-1.0,-1.0,0.3972,0.2278,0.34,0.0,-0.6455,0.3296,-0.10754,-0.1779,-1.542,0.5605,-0.1815,-1.389,-0.3105,0.374,-1.847,-1.086,0.968,-0.5435,-0.516,0.0,0.0,-0.5264,0.0,-0.334,-0.978,0.0,1.0,0.0,0.0,-0.2126,-1.0,-0.5,-0.5,2.23,-1.825,0.0,1.0,-0.5,0.5,0.0,0.0,0.0,-0.6567
-0.5317,-0.5317,-0.5337,1.544,-1.546,-0.458,-1.03,0.808,-1.237,-0.2136,-0.01271,-0.1635,-0.875,-1.107,-1.0,-1.0,0.2922,0.1382,0.3862,0.0,-0.6445,0.1675,-0.1,-0.1414,-1.068,0.54,-0.4595,0.7666,-0.3245,-1.39,-0.644,-1.029,0.774,-0.5493,-0.518,0.0,0.0,-0.53,0.0,-0.3232,-0.6855,0.0,0.0,0.0,0.0,0.0893,0.0,-0.5,0.0,1.721,-1.28,1.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.2854
-0.5337,-0.534,-0.536,1.317,-1.319,-0.458,-1.03,0.7456,-1.031,-0.194,-0.02826,-0.05295,-0.875,-1.107,-1.0,-1.0,0.2666,0.1223,0.398,0.0,-0.6436,0.03017,-0.098,-0.11505,-0.872,0.524,-0.4397,0.1881,-0.351,0.767,0.3738,-1.847,-0.5063,-0.553,-0.52,0.0,0.0,-0.5327,0.0,-0.3206,-0.7266,0.0,0.0,0.0,0.0,0.02145,1.0,0.0,0.0,1.438,-1.122,2.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0673
-0.5347,-0.535,-0.537,0.6646,-0.6777,-0.2455,-1.03,0.547,-0.4375,-0.04834,-0.0349,-0.5234,-0.875,-1.099,-1.0,0.0,0.1027,-0.0128,0.4731,0.0,-0.6426,-0.2637,-0.08356,-0.10046,-0.2404,0.513,-0.6035,1.218,-0.4019,0.1882,-1.39,-0.644,0.3418,-0.5547,-0.5215,0.0,0.0,-0.535,0.0,-0.3035,-0.2883,0.0,0.0,0.0,0.0,0.155,2.0,0.0,0.5,0.8135,-0.4875,3.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.4841
-0.535,-0.535,-0.537,0.1813,-0.2009,0.2515,-1.03,0.4934,0.0737,0.0734,-0.0418,-1.277,-0.75,-1.089,0.0,0.0,-0.01869,-0.1292,0.5366,0.0,-0.6416,0.8213,-0.07666,-0.098,0.2988,0.504,-0.8296,1.001,-0.4402,1.218,0.7666,0.374,0.6777,-0.553,-0.523,0.0,0.0,-0.5366,0.0,-0.289,-0.2883,0.0,0.0,0.0,0.0,0.0729,2.0,0.0,0.5,0.3503,-0.01557,4.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.2211
-0.5356,-0.536,-0.538,0.3918,-0.4177,0.2515,-1.03,0.4636,-0.09015,-0.000768,-0.05365,-1.478,-0.75,-1.08,-1.0,0.0,0.04944,-0.05353,0.502,0.0,-0.641,-0.5264,-0.0793,-0.1084,0.11505,0.4941,-0.6294,-0.533,-0.483,1.001,0.1882,-1.39,-1.084,-0.552,-0.5244,0.0,0.0,-0.5386,0.0,-0.297,-0.5396,0.0,0.0,0.0,0.0,-0.04034,2.0,0.0,0.0,0.562,-0.22,0.0,1.0,-0.5,0.5,0.0,0.0,0.0,-0.1195
-0.5356,-0.536,-0.538,0.0543,-0.0861,0.2515,-1.03,0.4456,0.3003,0.0859,-0.061,-8.195,-0.625,-1.071,0.0,0.0,-0.0344,-0.1372,0.5483,0.0,-0.64,-0.1721,-0.09625,-0.1259,0.5176,0.4863,-0.4355,0.72,-0.505,-0.533,1.218,0.7666,-1.027,-0.5493,-0.526,0.0,0.0,-0.5396,0.0,-0.2866,-0.3064,0.0,0.0,0.0,0.0,0.0494,2.0,0.5,0.5,0.2505,0.1206,1.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.1483
-0.5356,-0.536,-0.5376,-0.02678,-0.01622,0.2515,-1.03,0.3022,0.4421,0.10345,-0.06903,0.599,-0.5,-1.0625,0.0,0.0,-0.06274,-0.1417,0.5596,0.0,-0.639,-0.667,-0.1263,-0.1477,0.622,0.4841,-0.02153,0.177,-0.511,0.72,1.001,0.1882,-1.844,-0.5454,-0.5273,0.0,0.0,-0.54,0.0,-0.284,-0.343,0.0,0.0,0.0,0.0,0.013794,2.0,1.0,0.5,0.149,0.165,2.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0407
-0.536,-0.5366,-0.5376,0.12,-0.1759,0.2515,-1.03,0.2715,0.3645,0.05185,-0.08105,-0.04147,-0.375,-1.054,0.0,0.0,-0.0169,-0.0889,0.5366,0.0,-0.638,-0.4138,-0.1692,-0.1732,0.4856,0.4792,0.1584,-0.3523,-0.523,0.177,-0.533,1.218,-0.643,-0.543,-0.529,0.0,0.0,-0.5405,0.0,-0.2893,-0.555,0.0,0.0,0.0,0.0,-0.01811,1.0,1.0,0.0,0.2595,-0.02438,0.0,1.0,-0.5,0.5,0.0,0.0,0.0,-0.05322
-0.537,-0.5376,-0.5386,0.5674,-0.628,0.2515,-1.03,0.324,-0.0631,-0.0908,-0.0926,-1.035,-0.375,-1.045,-1.0,0.0,0.1262,0.05005,0.4673,0.0,-0.637,1.134,-0.2262,-0.1881,0.03543,0.4697,0.1245,-1.066,-0.5205,-0.3525,0.72,1.001,0.3733,-0.542,-0.5303,0.0,0.0,-0.541,0.0,-0.3052,-0.5425,0.0,0.0,0.0,0.0,-0.0848,0.0,0.5,0.0,0.7026,-0.4568,0.0,2.0,-0.5,0.5,0.0,0.0,0.0,-0.2512
-0.5386,-0.539,-0.54,0.916,-0.9756,0.2515,-1.03,0.4307,-0.4138,-0.2096,-0.10315,15.44,-0.375,-1.045,-1.0,-1.0,0.2566,0.1664,0.4094,0.0,-0.636,0.8013,-0.2957,-0.2029,-0.311,0.4578,0.4385,-0.912,-0.518,-1.066,0.177,-0.533,-1.387,-0.543,-0.5327,0.0,0.0,-0.5425,0.0,-0.3184,-0.5156,0.0,0.0,0.0,0.0,-0.0935,0.0,0.5,0.0,0.995,-0.844,0.0,3.0,-0.5,0.5,0.0,0.0,0.0,-0.2844
-0.54,-0.5405,-0.5415,0.829,-0.892,0.2515,-1.03,0.2484,-0.3955,-0.2137,-0.1068,0.0834,-0.375,-1.045,-1.0,-1.0,0.2456,0.1866,0.4094,0.0,-0.6353,-0.1059,-0.3467,-0.2216,-0.2627,0.4512,0.3025,0.0,-0.5356,-0.9126,-0.3525,0.72,0.765,-0.545,-0.5347,0.0,0.0,-0.544,0.0,-0.3184,-0.1735,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.8804,-0.794,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0
-0.54,-0.541,-0.542,0.2373,-0.305,0.2515,-1.03,0.1924,0.1259,-0.0696,-0.10406,-1.476,-0.25,-1.036,0.0,0.0,0.0941,0.03958,0.4846,0.0,-0.635,0.487,-0.4028,-0.2489,0.292,0.4531,0.2705,1.212,-0.5557,0.0,-1.066,0.177,0.1879,-0.5454,-0.536,0.0,0.0,-0.545,0.0,-0.3013,0.228,0.0,0.0,0.0,0.0,0.1031,-1.0,0.0,0.5,0.3457,-0.1793,1.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.3206
