Date,Open,High,Low,Close,Volume,EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,Pct_Deviation_Upper,Pct_Deviation_Lower,200MA,Upper_Band,Lower_Band,Breakout_Score,ATR%,ATR%_change,ATR_std,Volume_std,ATR_trigger,Volume_trigger,Oscillator,Trigger_Counter,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
2016-12-14,2016-12-14,7.92999983,8.88000011,7.3499999,8.71000004,218400.0,0.7045591936345412,0.699103034048299,0.708127762104059,0.5067443716288141,-0.42601306501424974,-0.16587007419184974,-0.8996164521534792,0.001800790108278358,0.0349406234988944,2.6628792737619027,2.1245302171673752,2.2562268696375134,0.625373280879579,0.6548274038383384,-1.0331759778271463,0.06748311920069094,True,True,0.3037532433003228,True,True,0.6964724760680435,0.39081260933694645,-0.3690165791639459,-0.00554295031732881,0.09076657040630375,False,False,-1.1176750528686432,2.0,0.0,False,False,False,1.57209365,1.38695341,0.050089036223148364,False,1.689620625131939,3.0741330444233004,0.41991095,0.44587769,-0.1294277922569877,0.11459054623805433,-0.49041864482774106,0.14304464,-0.14581844274554523,-0.02681993,-0.04983387,-0.06910166,-0.05190987,8.76142856,9.73500004,0,0.0,0.5060051784469808,0,-4.18926985,0.33188378649315897,0.0,0.04450119834376026,0.0,0.005749528234928589,4.972241166137075,1.0,3.0,5.0,False,False,0.5545171831705236,-0.29311828705470305
2016-12-15,2016-12-15,8.73999977,9.14999962,8.56999969,8.60999966,195100.0,0.6242072242542538,0.6184387374002437,0.6283240269435388,0.5290554431570996,-0.44833486690100405,-0.1665388113179537,-0.9012165478686929,-0.055238499285232674,0.07284701642485515,2.6253560831984966,2.131093329398407,2.1892409444108867,0.3255638818326332,0.7639684526446927,0.3913372101037702,0.03354820684165009,True,True,0.3008089480200537,True,True,0.69817768687665,0.588770966967379,-0.3704410575922872,-0.041005358687254106,0.017369706115773386,False,False,0.12549745915464913,2.0,0.0,False,False,False,1.58933224,1.40013362,0.007159002451629768,False,1.689620625131939,-0.2664877190689239,0.47716259,0.49340237,-0.18960145856604438,0.0958891373155167,-0.17920471268851876,-0.0114811,-0.1300001906603556,0.14304464,-0.08741259,-0.04241787,-0.05578512,8.54428564,9.64800002,0,0.0,0.4628460152029234,0,-4.24571814,0.30639347093753044,0.0006848014570702832,0.044255335369485366,0.0005702144413595456,0.005717762885564342,-0.12634491117087987,1.0,3.0,4.0,False,False,0.5809326466487867,-0.30893085774052365
2016-12-16,2016-12-16,8.68999958,8.73999977,8.0,8.10999966,130300.0,0.5123405979415728,0.5081072272603829,0.5152072319877019,0.8529563044401727,-0.7513721773365638,-0.1672075484440574,-0.9028166435839066,-0.3202340296790099,0.23975585675314895,2.579826171319342,2.141862546856607,2.1052563494420435,0.5102567607064069,1.1140066421215835,1.020966208551842,0.001599495879282536,True,True,0.29202744080636683,True,True,0.6998828976852566,0.7867293245978115,-0.6568338886163093,-0.18880843025461522,-0.07222122316236057,False,False,1.5091931819331708,2.0,0.0,False,False,False,1.68581389,1.48334778,-0.17186554146738792,False,1.689620625131939,0.4959800587661424,0.52555257,0.53991625,-0.4861982882751851,0.03942814446117912,-0.1455795929995267,-0.05807201,-0.07586675983061511,-0.0114811,-0.02681993,-0.04983387,-0.01094096,8.35571412,9.57266668,0,0.0,0.4096908612096009,0,-4.71368394,0.27894965569126706,0.0013696029141406219,0.04400947239521044,0.001140428882719105,0.005685997536200096,-1.0317547545299488,1.0,3.0,4.0,False,False,0.9169412447194465,-0.568155403078306
2016-12-19,2016-12-19,8.17000008,8.48499966,7.80000019,7.94999981,74900.0,0.39722748371304634,0.39223006797573395,0.40120309462915715,0.8991254268711842,-0.7974349449835899,-0.16787628557016138,-0.9044167392991203,-0.4206624537029755,0.29678153034286653,2.550545193875063,2.180051893789842,2.021100827869805,0.4273273990750601,1.3387398170438947,0.6518270773678224,-0.034560667963753726,True,False,0.28184800854844017,True,False,0.0,0.0,-0.6666108524129478,-0.2417712417643317,-0.18240128789514085,False,False,0.1424737576761195,1.0,0.0,False,False,False,1.72002519,1.5090818,-0.23520958918192286,False,1.689620625131939,0.3361926891296792,0.55729492,0.58111186,-0.5548425431083653,-0.0009121797380782585,-0.35729866250582343,-0.01972871,-0.03167005287747961,-0.05807201,0.14304464,-0.08741259,0.02323009,8.20142841,9.50266666,0,0.0,0.34949309285984786,0,-4.85464973,0.23717503894604886,0.0020544043712109605,0.043763609420935545,0.0017106433240786645,0.005654232186835849,0.017811906510545806,1.0,2.0,3.0,False,False,0.9406531174142738,-0.6338843204898758
2016-12-20,2016-12-20,8.0,8.36999989,7.78999996,7.94999981,62400.0,0.29106729389879504,0.2849454653428485,0.29649470321541926,0.8131190349496741,-0.7197750465319922,-0.16854502269626506,-0.9060168350143339,-0.4278803496230418,0.2994287719133554,2.4612137594644286,2.161354250878965,1.8947206488784392,0.38115913506451704,1.1913017543966937,-0.25125811538295745,-0.07056654556474856,True,False,0.27173004051761085,True,False,0.0017052108086065276,0.0010208211847837212,-0.577493207605062,-0.24745807325219896,-0.262082942045836,False,False,-0.12027726015277992,1.0,0.0,False,False,False,1.71362806,1.50843491,-0.24411583295402325,False,1.689620625131939,-0.08232772362595665,0.5756809,0.61514925,-0.5056633738267325,-0.03774468056658833,-1.0646124661364362,0.0,-0.03520785562963405,-0.01972871,-0.0114811,-0.02681993,0.09513515,8.1114284,9.42266665,0,0.0,0.282707063869225,0,-4.83876969,0.2728364745123808,0.002739205828281299,0.04351774644666059,0.00228085776543821,0.005622466837471604,0.252550131816066,1.0,1.0,3.0,False,False,0.8225857046610981,-0.5987567151156902
2016-12-21,2016-12-21,7.86999989,8.11999989,7.6500001,7.69000006,40600.0,0.17368575497592506,0.16854314807901427,0.17844686185536918,0.9498969735870713,-0.8479550673084085,-0.16921375982236875,-0.9076169307295476,-0.5817886088169338,0.38689227824481554,2.335616681526292,2.089270685183442,1.7611891139832478,0.4881845701985017,1.1133473598485144,-0.09219099824268893,-0.14031592061482898,True,False,0.23225014677810235,True,False,0.0034104216172129997,0.00204164236956747,-0.7083287080844615,-0.32540380236102506,-0.3250711689059072,False,False,0.5167903485532623,1.0,0.0,False,False,False,1.76190783,1.55980866,-0.3414835086425517,False,1.689620625131939,-0.4572303507046932,0.58298915,0.64258908,-0.6653345051485267,-0.07236866924012511,-0.7260602980202263,-0.03270437,-0.03668680088532443,0.0,-0.05807201,0.14304464,-0.06910166,8.09142842,9.34433331,0,0.0,0.21024151347425415,0,-5.08802541,0.29456394025449517,0.0034240072853515824,0.0432718834723857,0.0028510722067977695,0.005590701488107357,0.0413118326186196,0.0,1.0,3.0,False,False,0.9735278487379995,-0.6987448847776074
2016-12-22,2016-12-22,7.65999985,7.88000011,7.30000019,7.42000008,45700.0,0.04540839903217704,0.04507858018296613,0.045616083246627526,1.0984497983813535,-0.9795345248063352,-0.1698824969484727,-0.9092170264447613,-0.7549872583776727,0.4791231778610984,2.2394559848169346,2.0491155134048555,1.6444580653342091,0.5238458296314474,1.3917963588069204,0.7853855225792705,-0.24041770451509653,True,False,0.20766517634454879,True,False,0.005115632425819527,0.0030624635543511913,-0.8418553738410782,-0.4076009894152141,-0.3991438455648702,False,False,0.44734454249542,1.0,0.0,False,False,False,1.82363974,1.61100982,-0.44225362790806216,False,1.689620625131939,0.08766189577047229,0.57948668,0.6649139,-0.8414745896744424,-0.10353604450952174,-0.5669591657346416,-0.03511053,0.009690325923911641,-0.03270437,-0.01972871,-0.0114811,-0.04241787,8.06285701,9.24666664,0,0.0,0.1416380378159857,0,-5.34529116,0.28219021624326834,0.004108808742421921,0.04302602049811077,0.003421286648157315,0.005558936138743111,0.0036559287280908655,0.0,1.0,3.0,False,False,1.1254682603188317,-0.8124597929396454
2016-12-23,2016-12-23,7.36999989,7.55000019,7.20699978,7.5,94000.0,-0.06671717662885207,-0.06631190952275401,-0.06694125018650968,0.9257268817261728,-0.8168770306585681,-0.1705512340745764,-0.910817122159975,-0.71117433622662,0.4563977827220533,2.158837841328955,2.0331292884884564,1.529548850640394,0.4609497617856609,1.2671863112806496,-0.19498336859308033,-0.352758104183504,True,True,0.19651647120963575,True,True,0.708408951728289,0.20102082118478376,-0.6849676975967991,-0.39109770768181734,-0.4808013137715674,False,False,-0.2121203633778267,1.0,0.0,False,False,False,1.79939618,1.59164382,-0.4239409700003579,False,1.689620625131939,-0.9430549228726283,0.57440401,0.68143958,-0.7092446601575578,-0.15131541180508434,-0.363696604920535,0.01078166,0.004502802068648008,-0.03511053,0.0,-0.05807201,-0.04983387,7.88999987,9.15499997,0,0.0,0.07121711094644238,0,-5.23872357,0.265596849062704,0.004793610199492315,0.04278015752383588,0.0039915010895168745,0.005527170789378864,0.39420914914023547,1.0,2.0,3.0,False,False,0.8982830126730389,-0.7245267635596201
2016-12-27,2016-12-27,7.55999994,7.92999983,7.32000017,7.38000011,53700.0,-0.179092025955957,-0.18814916828522593,-0.16932456280920194,0.9323299146322572,-0.8435450567135562,-0.17121997120068036,-0.9124172178751887,-0.7950210042157773,0.5010893846676133,2.092584650750268,2.0148829300182247,1.440040471260306,0.4874612159619672,1.166115074624576,-0.1454926042137443,-0.46053836941210696,True,False,0.18559068458780867,True,False,0.008526054043032527,0.005104105923918634,-0.6360793746790168,-0.43199698845267426,-0.6073433359190259,False,False,-0.010074804098773892,0.0,0.0,False,False,False,1.82184665,1.61807199,-0.4736755668749897,False,1.689620625131939,0.23464701454670148,0.55644352,0.6939033,-0.7378622250636989,-0.1984225252714022,0.08701291403791322,-0.01599998,-0.004502802068648008,0.01078166,-0.03270437,-0.01972871,-0.08741259,7.71428565,9.05299999,0,0.0,0.00034183490496519974,0,-5.34401611,0.11898450516201775,0.005478411656562598,1.0,0.004561715530876434,0.005495405440014619,0.11554014916607688,1.0,2.0,2.0,False,False,0.8712973898353255,-0.7867439535530164
2016-12-28,2016-12-28,7.42999983,7.46500015,7.0999999,7.15999985,64900.0,-0.2991238356923406,-0.3126258675209054,-0.28447128074035893,1.0350989143599338,-0.9514237600974969,-0.17188870832678405,-0.9140173135904024,-0.9462394458806399,0.5798782509504393,2.014321378197966,1.9628992100705078,1.3636462356675418,0.5423199030687604,1.064092414971996,-0.1527604154626999,-0.5187178806721141,True,False,0.1742883523278296,True,False,0.010231264851639027,0.006124927108702355,-0.6976326906594853,-0.5011449294229826,-0.7116863138863316,False,False,0.28511661815312456,0.0,0.0,False,False,False,1.86910519,1.66934461,-0.5574339531662157,False,1.689620625131939,-0.7720093296613622,0.52615397,0.70113669,-0.8301142485979216,-0.25587219839465375,0.20335374875879347,-0.02981033,-0.05856792141925652,-0.01599998,-0.03511053,0.0,-0.02681993,7.57857139,8.95499997,0,0.0,-0.08166534798007845,0,-5.54532377,0.14887429047009332,0.006163213113632937,0.9997541370257251,0.00513192997223598,0.005463640090650371,-0.04184126013939627,1.0,2.0,2.0,False,False,0.9647422337824267,-0.8949419770142927
