EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-1.3955,-1.392,-1.3955,-0.705,0.876,1.295,-0.704,2.266,0.6357,-0.0658,-0.2537,-0.6113,0.5713,-1.56,0.0,0.0,0.1908,-0.05966,0.3196,0.0,-0.3076,1.38,0.814,0.6733,0.7124,0.1823,0.775,-2.55,0.7627,1.889,-0.4104,-1.0205,2.344,-1.295,-1.378,0.0,0.0,-1.406,0.0,-0.3726,0.561,0.0,0.0,0.0,0.0,-0.0357,-1.0,0.0,0.5,-0.1842,1.405,-1.0,1.0,-1.0,2.0,0.0,1.0,-4.3,-0.0505
-1.386,-1.376,-1.391,-1.558,1.705,1.295,-0.704,2.32,1.536,0.2778,-0.1998,1.497,0.5713,-1.547,0.0,0.0,-0.1359,-0.4004,0.525,0.0,-0.3066,1.488,0.847,0.772,1.617,0.2297,1.032,2.303,0.9004,-2.55,1.63,-0.6294,-0.447,-1.287,-1.378,0.0,0.0,-1.406,0.0,-0.2405,0.678,0.0,0.0,0.0,0.0,0.0823,0.0,0.5,0.5,-1.009,1.881,0.0,0.0,-1.0,0.5,0.0,0.0,0.0,0.127
-1.369,-1.362,-1.371,-1.515,1.644,1.1045,-0.704,1.87,1.322,0.3125,-0.1299,-0.01559,0.7144,-1.533,0.0,0.0,-0.193,-0.4067,0.5464,0.0,-0.3057,-0.596,0.9355,0.9067,1.357,0.295,0.424,0.2198,1.067,2.303,1.889,-0.409,2.154,-1.272,-1.378,0.0,0.0,-1.4,0.0,-0.2266,0.988,1.0,0.0,0.0,0.0,-0.004257,1.0,0.5,1.0,-0.984,1.881,1.0,0.0,-1.0,0.5,0.0,0.0,0.0,-0.00473
-1.355,-1.351,-1.356,-1.205,1.296,1.1045,-0.05823,2.008,0.834,0.2494,-0.06866,-0.25,0.857,-1.52,0.0,0.0,-0.1271,-0.355,0.5083,0.0,-0.3047,0.876,1.029,1.032,0.9014,0.3367,0.363,-0.43,1.043,0.2198,-2.55,1.624,0.4788,-1.256,-1.378,0.0,0.0,-1.384,0.0,-0.2522,0.8486,1.0,0.0,0.0,0.0,-0.02963,0.0,0.0,0.5,-0.7983,1.68,-1.0,1.0,-1.0,0.5,0.0,1.0,-0.966,-0.04172
-1.342,-1.337,-1.342,-1.266,1.34,1.1045,-0.05823,1.691,0.8726,0.3186,-0.02725,0.1736,0.857,-1.507,0.0,0.0,-0.2089,-0.402,0.5483,0.0,-0.3037,1.563,1.165,1.166,0.7817,0.3972,-0.10364,0.4187,1.106,-0.43,2.303,1.883,1.422,-1.233,-1.378,0.0,0.0,-1.37,0.0,-0.228,0.634,0.0,0.0,0.0,0.0,0.03333,0.0,0.0,0.5,-0.851,1.729,0.0,0.0,-1.0,0.5,0.0,0.0,0.0,0.05048
-1.338,-1.335,-1.337,-0.26,0.3093,1.1045,-0.05823,2.121,-0.285,0.001399,0.001563,-1.191,0.7144,-1.493,-1.0,0.0,0.11615,-0.1194,0.3577,0.0,-0.3027,0.2167,1.252,1.251,-0.3882,0.417,0.355,-2.082,1.025,0.4187,0.2198,-2.543,-1.024,-1.235,-1.378,0.0,0.0,-1.359,0.0,-0.3516,0.343,0.0,0.0,0.0,0.0,-0.04422,0.0,0.0,0.5,0.1448,0.7324,-1.0,1.0,-1.0,0.5,0.0,1.0,-3.504,-0.063
-1.338,-1.335,-1.337,0.12463,-0.08673,1.1045,-0.2576,1.913,-0.695,-0.1192,0.00605,2.244,0.5713,-1.48,-1.0,0.0,0.2242,0.01564,0.2852,0.0,-0.3015,0.659,1.3,1.293,-0.8774,0.4333,0.609,-0.832,0.819,-2.082,-0.43,2.295,-0.633,-1.255,-1.378,0.0,0.0,-1.349,0.0,-0.3984,-0.02036,0.0,0.0,0.0,0.0,-0.014,-1.0,0.0,0.0,0.543,0.368,-1.0,2.0,-1.0,0.5,0.0,0.0,0.0,-0.01935
-1.332,-1.329,-1.331,-0.4917,0.531,1.1045,-0.2576,1.876,-0.04865,0.0937,0.01596,-1.0,0.5713,-1.467,0.0,0.0,0.01246,-0.1969,0.412,0.0,-0.3005,3.227,1.363,1.292,-0.2502,0.4475,0.766,1.429,0.664,-0.832,0.4187,0.2192,-0.412,-1.248,-1.378,0.0,0.0,-1.336,0.0,-0.3164,0.0985,0.0,0.0,0.0,0.0,0.0136,-1.0,0.5,0.0,-0.06104,0.971,0.0,0.0,-1.0,0.5,0.0,0.0,0.0,0.02277
-1.327,-1.324,-1.325,-0.4275,0.4639,1.1045,-0.2576,1.786,-0.055,0.0883,0.01344,-0.128,0.5713,-1.453,0.0,0.0,0.01257,-0.1863,0.4104,0.0,-0.2996,1.374,1.356,1.257,-0.2444,0.4446,0.208,-0.03717,0.2241,1.429,-2.082,-0.4285,1.624,-1.256,-1.375,0.0,0.0,-1.319,0.0,-0.3186,-0.0908,0.0,0.0,0.0,0.0,-0.00801,-1.0,0.0,-0.5,-0.05075,0.8496,-1.0,1.0,-1.0,0.5,0.0,0.0,0.0,-0.01027
-1.315,-1.3125,-1.313,-1.052,1.097,1.1045,-0.2576,1.747,0.6543,0.3315,0.03085,21.03,0.5713,-1.44,0.0,0.0,-0.2175,-0.4175,0.5576,0.0,-0.2986,0.01772,1.3,1.21,0.4856,0.4595,-0.535,1.617,-0.1655,-0.03717,-0.832,0.4172,1.883,-1.255,-1.361,0.0,0.0,-1.301,0.0,-0.2246,0.2732,0.0,0.0,0.0,0.0,0.0828,-1.0,0.0,0.0,-0.614,1.5205,0.0,0.0,-1.0,0.5,1.0,0.0,3.697,0.1255
-1.305,-1.302,-1.303,-0.9355,0.975,0.923,-0.2576,1.686,0.533,0.325,0.0536,-0.05176,0.5713,-1.427,0.0,0.0,-0.2151,-0.4077,0.5557,0.0,-0.2976,0.5903,1.142,1.146,0.4539,0.4634,0.503,-0.03665,-0.2593,1.617,1.429,-2.074,-2.547,-1.252,-1.351,0.0,0.0,-1.29,0.0,-0.226,0.3694,0.0,0.0,0.0,0.0,-0.00651,-1.0,0.0,0.0,-0.52,1.381,-1.0,1.0,-1.0,0.5,0.0,0.0,0.0,-0.008026
-1.293,-1.29,-1.291,-1.093,1.125,0.923,-0.2576,1.615,0.69,0.4172,0.08514,0.4062,0.5713,-1.413,0.0,0.0,-0.3025,-0.489,0.612,0.0,-0.2966,0.873,0.922,1.073,0.7,0.4749,-0.3003,0.592,-0.4182,-0.03665,-0.0372,-0.829,2.295,-1.247,-1.34,0.0,0.0,-1.276,0.0,-0.1901,0.5044,0.0,0.0,0.0,0.0,0.00629,0.0,0.0,0.5,-0.722,1.475,0.0,0.0,-1.0,0.5,0.0,0.0,0.0,0.010605
