EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.423,-0.4214,-0.4258,0.87,-0.977,-0.02844,-2.3,1.486,-0.3325,-1.945,-0.51,-0.839,-1.286,-2.258,-1.0,-1.0,2.598,2.475,-1.241,0.0,0.4045,3.754,-0.2888,-0.263,-0.3452,-1.287,-0.2502,2.102,-0.409,0.563,-2.281,-2.56,-0.02138,-0.4153,-0.4294,0.0,0.0,-0.4255,0.0,-0.2954,-0.3335,0.0,0.0,0.0,0.0,0.3516,1.0,0.5,0.5,1.113,-0.638,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.49
-0.423,-0.4214,-0.4258,0.8022,-0.9116,-0.02844,-2.3,1.344,-0.3386,-1.937,-0.508,0.175,-1.286,-2.258,-1.0,-1.0,2.572,2.473,-1.241,0.0,0.4084,0.957,-0.2983,-0.2686,-0.3604,-1.285,-0.1655,-0.02084,-0.4226,2.102,0.174,0.1675,-1.456,-0.4153,-0.4294,0.0,0.0,-0.4255,0.0,-0.2954,-0.1619,0.0,0.0,0.0,0.0,-0.006973,0.0,0.5,0.5,0.937,-0.698,-0.5,0.0,0.0,1.0,0.0,0.0,0.0,-0.01811
-0.423,-0.4214,-0.4258,0.5854,-0.7,-0.02844,-2.3,1.103,-0.10284,-1.893,-0.5083,-1.411,-1.143,-2.258,0.0,-1.0,2.477,2.416,-1.216,0.0,0.412,0.944,-0.3079,-0.2776,-0.1652,-1.289,-0.2245,0.3525,-0.4343,-0.02084,0.5625,-2.281,0.7124,-0.4153,-0.4294,0.0,0.0,-0.4255,0.0,-0.2947,-0.554,0.0,0.0,0.0,0.0,0.02768,1.0,0.5,0.5,0.738,-0.4846,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.31
-0.423,-0.4214,-0.4258,0.01723,-0.1411,-0.02844,-2.3,0.965,0.538,-1.761,-0.5073,11.86,-1.0,-2.258,0.0,-1.0,2.252,2.203,-1.128,0.0,0.416,0.2406,-0.3135,-0.2883,0.506,-1.3,-0.2219,1.278,-0.4453,0.3525,2.102,0.174,-0.2028,-0.4153,-0.4294,0.0,0.0,-0.4255,0.0,-0.2927,-0.3594,0.0,0.0,0.0,0.0,0.1418,1.0,1.0,0.5,0.2708,0.1411,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.383
-0.423,-0.4214,-0.4258,-0.6855,0.555,0.2578,-2.3,0.9644,1.377,-1.577,-0.5054,1.489,-0.857,-2.258,0.0,-1.0,1.969,1.906,-1.003,0.0,0.42,0.838,-0.322,-0.3003,1.324,-1.295,-0.2347,1.798,-0.4485,1.278,-0.02138,0.5625,0.1605,-0.4153,-0.4294,0.0,0.0,-0.4255,0.0,-0.29,-0.04764,0.0,0.0,0.0,0.0,0.1776,1.0,1.0,1.0,-0.3699,0.85,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.685
-0.423,-0.4214,-0.4258,-0.742,0.6143,0.4294,-2.3,1.006,1.453,-1.535,-0.501,0.1891,-0.7144,-2.258,0.0,-1.0,1.909,1.837,-0.9775,0.0,0.4236,1.038,-0.3335,-0.3135,1.444,-1.287,-0.0436,0.3328,-0.444,1.798,0.352,2.102,-2.56,-0.4153,-0.4294,0.0,0.0,-0.4255,0.0,-0.2896,0.2795,0.0,0.0,0.0,0.0,0.02364,1.0,1.5,1.5,-0.4429,0.8867,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.2563
-0.423,-0.4214,-0.4258,-1.13,1.003,1.026,-2.3,1.065,1.94,-1.405,-0.496,0.4763,-0.5713,-2.258,0.0,-1.0,1.727,1.634,-0.8896,0.0,0.4275,0.7856,-0.3438,-0.3267,2.025,-1.285,-0.02438,1.21,-0.433,0.3328,1.277,-0.02138,0.1675,-0.4153,-0.4294,0.0,0.0,-0.4255,0.0,-0.2876,0.3503,0.0,0.0,0.0,0.0,0.098,2.0,1.5,1.5,-0.7603,1.322,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9185
-0.423,-0.4214,-0.4258,-1.465,1.34,1.612,-0.01775,0.9927,2.334,-1.276,-0.49,0.366,-0.4285,-2.258,0.0,-1.0,1.54,1.45,-0.8022,0.0,0.4314,0.3384,-0.3557,-0.3389,2.326,-1.261,0.1693,1.187,-0.419,1.21,1.797,0.352,-2.281,-0.4153,-0.4294,0.0,0.0,-0.4255,0.0,-0.286,0.5312,0.0,0.0,0.0,0.0,0.10266,2.0,2.0,2.0,-1.03,1.703,2.5,0.0,0.5,1.0,0.0,0.0,0.0,0.9414
-0.423,-0.4214,-0.4258,-1.24,1.124,1.612,-0.01775,1.13,2.127,-1.288,-0.4841,0.0235,-0.2856,-2.258,0.0,-1.0,1.568,1.456,-0.8145,0.0,0.435,0.957,-0.3665,-0.3506,1.97,-1.202,0.2207,-0.1901,-0.408,1.187,0.3323,1.277,0.174,-0.4153,-0.4294,0.0,0.0,-0.4255,0.0,-0.286,0.4756,0.0,0.0,0.0,0.0,-0.04602,1.0,1.5,1.5,-0.932,1.367,-0.5,1.0,0.5,1.0,0.0,0.0,0.0,-0.3533
-0.423,-0.4214,-0.4258,-0.839,0.728,1.612,-0.01775,1.068,1.564,-1.354,-0.4766,-0.1458,-0.1428,-2.258,0.0,-1.0,1.653,1.557,-0.8647,0.0,0.439,0.5674,-0.3726,-0.3594,1.484,-1.18,0.2438,-0.6997,-0.4016,-0.1901,1.209,1.797,0.5625,-0.4153,-0.4294,0.0,0.0,-0.4255,0.0,-0.2869,0.893,1.0,0.0,0.0,0.0,-0.0699,0.0,1.0,1.5,-0.536,0.997,-0.5,2.0,0.5,1.0,0.0,0.0,0.0,-0.56
-0.423,-0.4214,-0.4258,-1.205,1.092,1.612,-0.01775,1.032,1.899,-1.224,-0.4675,0.3535,0.0,-2.258,0.0,-1.0,1.473,1.373,-0.777,0.0,0.4426,0.939,-0.3662,-0.3662,1.783,-1.138,0.1553,1.18,-0.391,-0.6997,1.186,0.3323,2.102,-0.4153,-0.4294,0.0,0.0,-0.4255,0.0,-0.2852,0.9814,1.0,0.0,0.0,0.0,0.1438,0.0,1.0,1.5,-0.9214,1.311,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.294
-0.423,-0.4214,-0.4258,-1.011,0.894,1.612,-0.01775,0.7827,1.491,-1.234,-0.456,-0.0917,0.1428,-2.258,0.0,-1.0,1.465,1.409,-0.7896,0.0,0.4465,-0.481,-0.3489,-0.3696,1.422,-1.095,0.2028,-0.1892,-0.383,1.18,-0.1907,1.209,-0.02138,-0.4153,-0.4294,0.0,0.0,-0.4255,0.0,-0.2852,1.495,1.0,0.0,1.0,0.0,-0.0277,-1.0,1.0,1.5,-0.74,1.114,-0.5,1.0,0.5,1.0,0.0,0.0,0.0,-0.1951
-0.423,-0.4214,-0.4258,-1.415,1.293,1.612,-0.01775,0.8545,1.79,-1.085,-0.4434,0.3384,0.2856,-2.258,0.0,-1.0,1.275,1.196,-0.6895,0.0,0.4504,1.497,-0.324,-0.3645,1.668,-1.032,0.2233,1.329,-0.3708,-0.1892,-0.7,1.186,0.352,-0.4153,-0.4294,0.0,0.0,-0.4255,0.0,-0.2832,1.495,1.0,0.0,1.0,0.0,0.1796,-1.0,1.0,1.5,-1.08,1.553,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.579
-0.423,-0.4214,-0.4258,-1.393,1.267,1.612,-0.01775,0.7866,1.6,-1.042,-0.431,0.0223,0.4285,-2.258,0.0,-1.0,1.214,1.145,-0.664,0.0,0.454,-0.3035,-0.304,-0.3562,1.657,-1.006,0.1874,0.3098,-0.3596,1.329,1.18,-0.1907,1.277,-0.4153,-0.4294,0.0,0.0,-0.4255,0.0,-0.2825,1.495,1.0,0.0,1.0,0.0,0.00811,0.0,1.0,1.5,-1.131,1.447,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.10834
-0.423,-0.4214,-0.4258,-1.056,0.927,1.612,-0.01775,0.4824,1.094,-1.089,-0.4211,-0.1926,0.5713,-2.258,0.0,-1.0,1.249,1.234,-0.7017,0.0,0.458,-0.296,-0.2837,-0.3438,1.109,-0.957,0.1065,-0.514,-0.352,0.3098,-0.1897,-0.7,1.797,-0.4153,-0.4294,0.0,0.0,-0.4255,0.0,-0.2834,1.338,1.0,0.0,0.0,0.0,-0.0358,0.0,0.5,1.0,-0.7925,1.135,-0.5,1.0,0.5,1.0,0.0,0.0,0.0,-0.2585
