EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.2418,-0.2145,-0.281,-0.501,1.084,0.2228,-0.5386,0.546,1.235,-0.4177,-0.663,-0.09686,0.2222,-0.56,0.0,-1.0,0.5444,0.503,0.0972,0.0,-0.5444,-0.6353,-0.255,-0.0486,1.11,-0.06055,1.294,-0.2578,0.09296,0.6514,1.504,0.2686,-1.272,-0.226,-0.2615,0.0,0.0,-0.303,0.0,-0.2134,0.7417,1.0,0.0,0.0,0.0,-0.2145,0.0,1.0,0.6665,-0.606,0.995,-0.5,1.0,-2.0,-0.5,0.0,0.0,0.0,-0.2576
-0.2329,-0.2052,-0.2725,-0.4495,1.033,0.2228,-0.5386,0.5107,1.099,-0.411,-0.6357,-0.00837,0.3333,-0.56,0.0,-1.0,0.532,0.494,0.1033,0.0,-0.5415,-0.4294,-0.1388,-0.1676,1.031,-0.04504,0.5737,0.05823,0.1797,-0.2576,1.039,-0.8584,2.564,-0.2108,-0.2617,0.0,0.0,-0.296,0.0,-0.2076,0.856,1.0,0.0,0.0,0.0,0.04745,1.0,1.0,1.0,-0.569,0.925,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.05716
-0.2247,-0.1976,-0.2634,-0.3923,0.9546,0.2228,-0.5386,0.476,0.9453,-0.408,-0.6104,-0.04034,0.4443,-0.56,0.0,-1.0,0.5264,0.4912,0.10535,0.0,-0.5386,-0.573,-0.002,-0.2421,0.922,-0.02904,0.6416,-0.00271,0.2426,0.05817,0.6504,1.504,0.1809,-0.197,-0.2627,0.0,0.0,-0.2864,0.0,-0.2051,0.8286,1.0,0.0,0.0,0.0,-0.002302,1.0,1.0,1.0,-0.5093,0.847,0.5,0.0,-2.0,-1.0,0.0,0.0,0.0,-0.00304
-0.22,-0.1945,-0.2566,-0.1262,0.6187,0.2228,0.545,0.5845,0.503,-0.4514,-0.588,-0.4211,0.5557,-0.56,0.0,-1.0,0.598,0.553,0.0628,0.0,-0.535,0.854,0.11926,-0.2441,0.532,-0.01797,0.9805,-0.68,0.206,-0.002707,-0.257,1.039,-0.5034,-0.1826,-0.2642,0.0,0.0,-0.275,0.0,-0.2391,0.643,0.0,0.0,0.0,0.0,-0.4841,0.0,1.0,0.6665,-0.2455,0.4983,-0.5,1.0,-2.0,-1.0,0.0,0.0,0.0,-0.5825
-0.214,-0.1975,-0.2407,-0.3018,0.623,0.2228,0.545,0.4963,0.5044,-0.4229,-0.5576,0.1267,0.6665,-0.56,0.0,-1.0,0.55,0.5127,0.0891,0.0,-0.532,-0.4243,0.2106,-0.2069,0.622,-0.00488,0.5864,0.374,0.1693,-0.6797,0.05807,0.6504,1.291,-0.1743,-0.2634,0.0,0.0,-0.2627,0.0,-0.217,0.9883,1.0,0.0,0.0,0.0,0.1464,0.0,1.0,1.0,-0.416,0.5117,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.1803
-0.2068,-0.1957,-0.2275,-0.4436,0.674,0.2228,0.545,0.1805,0.583,-0.3909,-0.536,0.2937,0.6665,-0.56,0.0,-1.0,0.4873,0.48,0.11816,0.0,-0.529,-0.704,0.29,-0.1353,0.677,0.015366,0.562,0.4116,0.1865,0.3738,-0.002705,-0.257,0.2686,-0.1697,-0.2615,0.0,0.0,-0.2527,0.0,-0.1926,0.807,1.0,0.0,0.0,0.0,0.2428,1.0,1.0,1.0,-0.5024,0.634,0.5,0.0,-2.0,-1.0,0.0,0.0,0.0,0.2944
-0.2015,-0.1954,-0.2168,-0.3274,0.4326,0.2228,0.545,0.004135,0.3315,-0.4119,-0.5176,-0.3552,0.6665,-0.56,0.0,-1.0,0.51,0.52,0.0972,0.0,-0.526,-0.3945,0.36,-0.04462,0.3787,0.03613,1.019,-0.3508,0.1753,0.4111,-0.6787,0.05807,-0.8545,-0.171,-0.26,0.0,0.0,-0.2433,0.0,-0.2087,0.67,0.0,0.0,0.0,0.0,-0.3208,0.0,1.0,0.6665,-0.3452,0.4368,-0.5,1.0,-2.0,-1.0,0.0,0.0,0.0,-0.384
-0.1975,-0.1976,-0.2059,-0.283,0.2461,0.2228,0.545,-0.0937,0.1398,-0.423,-0.4978,-0.4648,0.6665,-0.56,0.0,-1.0,0.5225,0.5415,0.0856,0.0,-0.5225,-0.0945,0.3901,0.04263,0.2178,0.04736,0.5176,-0.2122,0.1274,-0.3503,0.3733,-0.002705,1.5,-0.1721,-0.2578,0.0,0.0,-0.2334,0.0,-0.2178,0.755,1.0,0.0,0.0,0.0,-0.112,-1.0,0.5,0.6665,-0.2869,0.2634,-0.5,2.0,-2.0,-1.0,0.0,0.0,0.0,-0.1355
-0.1903,-0.1924,-0.1963,-0.556,0.5283,0.2228,0.545,-0.2074,0.4424,-0.36,-0.48,1.861,0.6665,-0.56,0.0,-1.0,0.424,0.4531,0.1448,0.0,-0.5195,-0.2769,0.3835,0.1236,0.5293,0.06088,0.1137,0.8745,0.10156,-0.2119,0.4106,-0.6787,1.036,-0.1682,-0.2544,0.0,0.0,-0.2223,0.0,-0.1683,0.716,1.0,0.0,0.0,0.0,0.774,0.0,0.5,0.6665,-0.5234,0.6,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.9404
-0.1847,-0.1888,-0.1884,-0.444,0.355,0.2228,0.545,-0.1926,0.255,-0.3752,-0.465,-0.3293,0.6665,-0.56,0.0,-1.0,0.4465,0.4746,0.1296,0.0,-0.5166,0.2308,0.3408,0.194,0.3071,0.07776,-0.1388,-0.2585,0.0482,0.874,-0.3499,0.3733,0.649,-0.1659,-0.2496,0.0,0.0,-0.2117,0.0,-0.1796,0.5894,0.0,0.0,0.0,0.0,-0.3303,-1.0,0.0,0.3333,-0.4158,0.4165,-0.5,1.0,-2.0,-1.0,0.0,0.0,0.0,-0.3904
