EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.5483,-0.5493,-0.5483,1.621,-1.721,-0.07623,-1.555,1.897,-1.297,-1.047,-0.2517,-0.3486,-1.143,-1.897,-1.0,-1.0,1.377,1.045,-0.7886,0.0,-0.01205,0.8223,-0.4766,-0.515,-1.568,-0.582,-0.0722,1.481,-0.5903,-0.3115,-1.429,-1.602,-0.01314,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.5034,-1.185,0.0,1.0,0.0,0.0,0.01528,-2.0,-1.5,-2.0,1.889,-1.306,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.7466
-0.5483,-0.5493,-0.5483,1.35,-1.452,-0.07623,-1.555,1.772,-0.998,-1.011,-0.2534,-0.1481,-1.143,-1.897,-1.0,-1.0,1.316,1.008,-0.7666,0.0,-0.00903,0.8115,-0.4753,-0.511,-1.099,-0.646,-0.0786,0.277,-0.5923,1.481,-1.177,-1.923,-0.01314,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.503,-0.949,0.0,0.0,0.0,0.0,0.006382,-1.0,-1.0,-2.0,1.535,-1.147,0.5,0.0,-0.5,0.0,0.0,0.0,0.0,0.475
-0.5483,-0.5493,-0.5483,1.106,-1.211,-0.07623,-1.555,1.596,-0.7773,-0.974,-0.2542,-0.1465,-1.143,-1.897,-1.0,-1.0,1.252,0.9775,-0.7446,0.0,-0.006023,0.8003,-0.4736,-0.5073,-0.7905,-0.6787,-0.1489,0.2754,-0.5933,0.277,-0.311,-1.428,2.742,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.503,-0.639,0.0,0.0,0.0,0.0,0.004433,0.0,-1.0,-1.5,1.293,-0.923,1.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.418
-0.5483,-0.5493,-0.5483,0.281,-0.391,0.363,-1.555,1.369,0.02676,-0.7705,-0.2542,-1.282,-1.0,-1.897,0.0,-1.0,0.9766,0.7285,-0.612,0.0,-0.003012,0.7373,-0.472,-0.5054,0.0334,-0.6855,-0.1476,1.713,-0.5957,0.2754,1.4795,-1.176,-0.537,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.502,-0.2424,0.0,0.0,0.0,0.0,0.01988,1.0,-0.5,-1.0,0.596,-0.02461,1.5,0.0,-0.5,0.0,0.0,0.0,0.0,0.846
-0.5483,-0.5493,-0.5483,-0.64,0.526,1.303,-1.555,1.4,1.016,-0.4995,-0.2537,7.273,-0.857,-1.897,0.0,-1.0,0.6704,0.385,-0.435,0.0,0.0,1.912,-0.4714,-0.5044,1.076,-0.6846,-0.154,2.217,-0.596,1.713,0.2769,-0.3105,-0.01314,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.501,0.0755,0.0,0.0,0.0,0.0,0.03177,2.0,0.0,-0.5,-0.1748,0.9873,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14
-0.5483,-0.5493,-0.5483,-0.566,0.453,1.303,-1.555,1.449,0.957,-0.4978,-0.2532,0.0877,-0.7144,-1.897,0.0,-1.0,0.674,0.3774,-0.435,0.0,0.003012,0.6587,-0.4712,-0.5044,1.14,-0.695,-0.1167,-0.01399,-0.5986,2.217,0.2751,1.48,-1.602,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.501,0.0755,0.0,0.0,0.0,0.0,-0.01093,1.0,0.0,-0.5,-0.2396,0.769,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.012634
-0.5483,-0.5493,-0.5483,-0.5005,0.3855,1.303,-1.555,1.154,0.996,-0.4966,-0.2534,0.187,-0.5713,-1.897,0.0,-1.0,0.641,0.4104,-0.435,0.0,0.006023,0.03214,-0.4714,-0.5054,1.28,-0.7183,-0.069,-0.01399,-0.599,-0.01399,1.711,0.277,-1.923,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.501,-0.339,0.0,0.0,0.0,0.0,-0.01093,0.0,0.0,-1.0,-0.2047,0.6733,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.012634
-0.5483,-0.5493,-0.5483,-0.2186,0.1045,1.303,-1.555,1.082,0.7734,-0.5615,-0.2537,-0.07983,-0.4285,-1.897,0.0,-1.0,0.7056,0.498,-0.4792,0.0,0.00903,0.0448,-0.4724,-0.5063,1.187,-0.7466,-0.02965,-0.5493,-0.599,-0.01399,2.215,0.2756,-1.428,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.501,-0.339,0.0,0.0,0.0,0.0,-0.013466,-1.0,0.0,-1.0,0.0885,0.4253,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,-0.0781
-0.5483,-0.5493,-0.5483,-0.1858,0.07074,1.303,-1.555,0.958,0.8125,-0.561,-0.254,0.1951,-0.2856,-1.897,0.0,-1.0,0.6914,0.5117,-0.4792,0.0,0.01205,0.0448,-0.4746,-0.5073,1.257,-0.758,0.005157,-0.01399,-0.599,-0.5493,-0.01388,1.711,-1.176,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.501,-0.339,0.0,0.0,0.0,0.0,-0.01093,-2.0,0.0,-1.0,0.03888,0.3044,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.012634
-0.5483,-0.5493,-0.5483,-0.81,0.6924,1.303,-1.555,0.908,1.519,-0.3606,-0.2534,1.002,-0.1428,-1.897,0.0,0.0,0.469,0.2788,-0.3467,0.0,0.01506,1.236,-0.478,-0.5083,2.068,-0.76,0.02321,1.608,-0.599,-0.01399,-0.01388,2.215,-0.31,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.5005,0.2181,0.0,0.0,0.0,0.0,0.01334,-2.0,0.5,-0.5,-0.5664,0.9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623
-0.5483,-0.5493,-0.5483,-0.3962,0.281,1.303,-1.555,0.847,1.01,-0.463,-0.2522,-0.207,0.0,-1.897,0.0,-1.0,0.572,0.406,-0.413,0.0,0.01807,0.02591,-0.4824,-0.51,1.54,-0.7393,0.00709,-0.8013,-0.599,1.608,-0.549,-0.01345,1.48,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.501,0.457,0.0,0.0,0.0,0.0,-0.03833,-2.0,0.0,-0.5,-0.2035,0.4646,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,-0.7085
-0.5483,-0.5493,-0.5483,-0.01235,-0.1022,1.303,-1.555,0.6353,0.4866,-0.5645,-0.251,-0.379,0.1428,-1.897,0.0,-1.0,0.661,0.5537,-0.4792,0.0,0.02109,0.6777,-0.488,-0.5117,0.9976,-0.7153,0.011604,-0.813,-0.599,-0.8013,-0.01388,-0.01345,0.2776,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.501,0.594,0.0,0.0,0.0,0.0,-0.03033,-2.0,-0.5,-0.5,0.1455,0.0717,-0.5,2.0,0.0,0.0,0.0,0.0,0.0,-0.5127
-0.5483,-0.5493,-0.5483,0.7017,-0.813,1.303,-1.555,0.7036,-0.399,-0.7656,-0.25,-1.493,0.1428,-1.897,-1.0,-1.0,0.9004,0.801,-0.612,0.0,0.0241,1.063,-0.4946,-0.514,0.1191,-0.7,0.013535,-1.637,-0.599,-0.813,1.606,-0.5483,0.276,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.502,0.457,0.0,0.0,0.0,0.0,-0.05853,-2.0,-1.0,-0.5,0.8887,-0.5537,-0.5,3.0,0.0,0.0,0.0,1.0,-4.402,-1.259
-0.5483,-0.5493,-0.5483,0.646,-0.76,1.303,-1.555,0.55,-0.5166,-0.765,-0.2488,0.652,0.1428,-1.897,-1.0,-1.0,0.8833,0.818,-0.612,0.0,0.02711,0.08435,-0.4963,-0.5176,-0.05115,-0.6704,-0.02127,-0.01399,-0.599,-1.637,-0.8003,-0.01345,1.712,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.502,0.524,0.0,0.0,0.0,0.0,-0.01093,-2.0,-1.5,-0.5,0.7695,-0.574,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.012634
-0.5483,-0.5493,-0.5483,0.596,-0.7114,1.303,-1.555,0.55,-0.5884,-0.7646,-0.2482,0.3604,0.1428,-1.897,-1.0,-1.0,0.8823,0.817,-0.612,0.0,0.03012,0.7373,-0.4963,-0.521,-0.1287,-0.6567,-0.0728,-0.01399,-0.599,-0.01399,-0.812,1.606,2.215,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.502,0.3213,0.0,0.0,0.0,0.0,-0.01093,-3.0,-1.5,-1.0,0.7104,-0.54,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.012634
-0.5483,-0.5493,-0.5483,0.3145,-0.4321,1.303,-1.555,0.4775,-0.414,-0.6987,-0.2474,-0.2917,0.1428,-1.897,-1.0,-1.0,0.7974,0.7407,-0.568,0.0,0.03314,0.0709,-0.4963,-0.524,-0.1497,-0.607,-0.078,0.544,-0.599,-0.01399,-1.635,-0.8,-0.01314,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.502,0.3662,0.0,0.0,0.0,0.0,-0.00986,-2.0,-1.5,-1.0,0.4595,-0.2482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0164
-0.5483,-0.5493,-0.5483,0.5327,-0.6504,1.303,-1.555,0.4473,-0.722,-0.7695,-0.247,1.397,0.1428,-1.897,-1.0,-1.0,0.8774,0.8354,-0.612,0.0,0.03613,0.08435,-0.4963,-0.524,-0.638,-0.565,-0.08185,-0.566,-0.599,0.544,-0.01388,-0.8115,-0.01314,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.502,0.184,0.0,0.0,0.0,0.0,-0.03247,-2.0,-1.5,-1.5,0.6113,-0.5225,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,-0.588
-0.5483,-0.5493,-0.5483,0.736,-0.8516,1.303,-1.555,0.4683,-0.9585,-0.8413,-0.2473,0.6055,0.0,-1.897,-1.0,-1.0,0.966,0.9277,-0.6562,0.0,0.03915,0.758,-0.492,-0.524,-0.926,-0.559,-0.07416,-0.572,-0.599,-0.566,-0.01388,-1.634,-0.548,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.5024,-0.279,0.0,0.0,0.0,0.0,-0.01662,-2.0,-1.5,-2.0,0.719,-0.812,-0.5,2.0,0.0,0.0,0.0,0.0,0.0,-0.1658
-0.5483,-0.5493,-0.5483,0.6777,-0.7944,1.303,-1.555,0.313,-0.8706,-0.844,-0.2483,0.02386,-0.1428,-1.897,-1.0,-1.0,0.953,0.95,-0.6562,0.0,0.04218,0.09814,-0.489,-0.524,-0.903,-0.5635,-0.0793,-0.01399,-0.599,-0.572,0.543,-0.01345,-0.01314,-0.5493,-0.55,0.0,0.0,-0.5474,0.0,-0.5024,-0.975,0.0,0.0,0.0,0.0,-0.01093,-2.0,-1.5,-2.0,0.666,-0.754,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.012634
