EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.492,-0.4675,-0.51,-0.3608,-0.1346,0.08716,-0.6006,-0.1763,-0.258,-0.06024,-0.3274,10.836,0.1428,-2.18,-1.0,0.0,0.03476,0.0882,0.2153,0.0,-0.2437,-0.8496,-0.2683,-0.3237,-0.314,0.3518,-0.1373,-0.0687,-0.3823,0.11536,-2.041,-1.061,1.1045,-0.4856,-0.4963,0.0,0.0,-0.4941,0.0,-0.4434,0.2009,0.0,0.0,0.0,0.0,-0.03143,-1.0,0.0,0.3333,-0.05075,0.218,-0.5,0.0,-0.5,0.0,0.0,0.0,0.0,-0.05545
-0.492,-0.4675,-0.51,-0.11816,-0.4092,0.08716,-0.6006,-0.2261,-0.5586,-0.1373,-0.327,4.984,0.0,-2.18,-1.0,0.0,0.10596,0.175,0.1128,0.0,-0.2354,-0.39,-0.2808,-0.3213,-0.608,0.3618,-0.178,-0.6597,-0.3982,-0.0687,1.663,-0.3909,0.295,-0.4856,-0.4963,0.0,0.0,-0.4941,0.0,-0.4443,-0.0596,0.0,0.0,0.0,0.0,-0.0366,-1.0,-0.5,0.0,0.2434,-0.03873,-0.5,1.0,-0.5,0.0,0.0,0.0,0.0,-0.0929
-0.492,-0.4675,-0.51,0.748,-1.353,0.08716,-0.6006,0.05972,-1.559,-0.4182,-0.329,3.21,-0.1428,-2.18,-1.0,0.0,0.4229,0.4631,-0.276,0.0,-0.2269,2.654,-0.299,-0.3208,-1.63,0.357,-0.2351,-2.336,-0.3967,-0.6597,0.11664,-2.041,0.3726,-0.4856,-0.4963,0.0,0.0,-0.4941,0.0,-0.4487,-0.4915,0.0,0.0,0.0,0.0,-0.09424,-1.0,-1.0,0.0,1.248,-0.968,-0.5,2.0,-0.5,0.0,0.0,0.0,0.0,-0.518
-0.492,-0.4675,-0.51,-0.2258,-0.2664,0.08716,-0.6006,0.1188,-0.4346,-0.1198,-0.3293,-0.799,-0.2856,-2.18,-1.0,0.0,0.11945,0.1228,0.1411,0.0,-0.2185,1.907,-0.3206,-0.3223,-0.5503,0.3696,-0.3289,2.469,-0.4043,-2.336,-0.06744,1.663,0.488,-0.4856,-0.4963,0.0,0.0,-0.4941,0.0,-0.444,-0.2115,0.0,0.0,0.0,0.0,-0.00398,-1.0,-1.0,0.0,0.247,0.2502,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.1556
-0.492,-0.4675,-0.51,0.3884,-0.939,0.08716,-0.6006,0.2458,-1.092,-0.3208,-0.3335,3.172,-0.4285,-2.18,-1.0,0.0,0.3354,0.3323,-0.1346,0.0,-0.2101,1.5,-0.3486,-0.3267,-1.23,0.3455,-0.2969,-1.671,-0.4043,2.469,-0.6587,0.11664,-0.637,-0.4856,-0.4963,0.0,0.0,-0.4941,0.0,-0.4473,-0.6343,0.0,0.0,0.0,0.0,-0.0598,-2.0,-1.0,-0.3333,0.975,-0.3943,-0.5,1.0,-0.5,0.0,0.0,0.0,0.0,-0.264
-0.492,-0.4675,-0.51,0.2208,-0.751,0.08716,-0.6006,0.248,-0.841,-0.2798,-0.338,-0.1805,-0.5713,-2.18,-1.0,0.0,0.293,0.286,-0.0745,0.0,-0.2017,-0.1058,-0.375,-0.3352,-0.956,0.292,-0.2341,0.2913,-0.4048,-1.671,-2.334,-0.06744,-1.06,-0.4856,-0.4963,0.0,0.0,-0.4941,0.0,-0.4465,-0.638,0.0,0.0,0.0,0.0,-0.0284,-1.0,-0.5,-0.3333,0.7866,-0.2021,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,-0.0324
-0.492,-0.4675,-0.51,0.4568,-1.011,0.08716,-0.6006,0.326,-1.033,-0.366,-0.3438,0.473,-0.7144,-2.18,-1.0,0.0,0.3904,0.3765,-0.1912,0.0,-0.1932,-0.009415,-0.4065,-0.3481,-1.153,0.2386,-0.2235,-0.7627,-0.404,0.2913,2.469,-0.6587,-0.3909,-0.4856,-0.4963,0.0,0.0,-0.4941,0.0,-0.4478,-0.8013,0.0,0.0,0.0,0.0,-0.0402,-1.0,-0.5,-0.6665,1.05,-0.4695,-0.5,1.0,-0.5,0.0,0.0,0.0,0.0,-0.1212
-0.492,-0.4675,-0.51,0.6504,-1.228,0.08716,-0.6006,0.417,-1.159,-0.4436,-0.351,0.3074,-0.857,-2.18,-1.0,0.0,0.482,0.458,-0.297,0.0,-0.1848,0.413,-0.4255,-0.3635,-1.265,0.1577,-0.0618,-0.7075,-0.3984,-0.7627,-1.67,-2.334,-2.04,-0.4856,-0.4963,0.0,0.0,-0.4941,0.0,-0.449,-0.9775,0.0,0.0,0.0,0.0,-0.04346,-1.0,-0.5,-1.0,1.266,-0.6934,-0.5,2.0,-0.5,0.0,0.0,0.0,0.0,-0.147
-0.492,-0.4675,-0.51,-0.2362,-0.2502,0.08716,-0.6006,0.483,-0.04233,-0.1733,-0.3545,-1.175,-0.857,-2.18,0.0,0.0,0.2054,0.1453,0.081,0.0,-0.1765,2.162,-0.4277,-0.3801,-0.05942,0.07666,-0.2283,2.238,-0.399,-0.7075,0.2925,2.469,1.662,-0.4856,-0.4963,0.0,0.0,-0.4941,0.0,-0.4448,-0.5254,0.0,0.0,0.0,0.0,0.04337,-1.0,-0.5,-0.6665,0.3567,0.4048,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.521
-0.492,-0.4675,-0.51,-0.4922,0.02971,0.08716,-0.6006,0.4097,0.344,-0.0795,-0.3557,3.18,-0.857,-2.18,0.0,0.0,0.10596,0.0517,0.2153,0.0,-0.1681,-0.5796,-0.4163,-0.3962,0.4001,0.0362,-0.251,0.7173,-0.3987,2.238,-0.761,-1.67,0.11664,-0.4856,-0.4963,0.0,0.0,-0.4941,0.0,-0.4434,-0.283,0.0,0.0,0.0,0.0,-0.0181,0.0,-0.5,-0.3333,0.09845,0.7246,0.5,0.0,-0.5,0.0,0.0,0.0,0.0,0.04312
