EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.5073,-0.506,-0.504,-0.5825,0.6196,0.0844,0.0205,0.683,0.9707,-0.4946,-0.644,0.12195,0.0,-1.382,0.0,-1.0,0.5645,0.474,-0.04364,0.0,-0.1713,-0.0302,-0.4575,-0.2139,1.063,-0.2502,0.8994,0.2235,-0.3064,0.761,-0.9487,-0.3396,-0.976,-0.4946,-0.508,0.0,0.0,-0.513,0.0,-0.702,0.616,0.0,0.0,0.0,0.0,0.21,1.0,1.0,0.5,-0.4614,0.75,1.0,0.0,-1.0,0.3333,0.0,0.0,0.0,0.3962
-0.5044,-0.5034,-0.5015,-0.801,0.8584,0.0844,0.0205,0.677,1.2,-0.4011,-0.617,0.383,0.125,-1.382,0.0,-1.0,0.462,0.367,0.02345,0.0,-0.1693,0.4612,-0.4873,-0.2905,1.306,-0.2278,0.578,0.7944,-0.2325,0.2235,0.557,0.669,1.647,-0.4917,-0.508,0.0,0.0,-0.511,0.0,-0.69,0.7046,1.0,0.0,0.0,0.0,0.758,1.0,1.0,0.5,-0.655,1.016,1.5,0.0,-0.5,0.3333,0.0,0.0,0.0,1.37
-0.5024,-0.501,-0.4993,-0.69,0.746,0.0844,0.0205,0.624,1.02,-0.4045,-0.5903,-0.03244,0.25,-1.382,0.0,-1.0,0.4617,0.3745,0.01959,0.0,-0.1674,0.1218,-0.4429,-0.3594,1.13,-0.2013,0.7905,-0.0788,-0.1749,0.794,0.761,-0.9487,-0.2517,-0.4885,-0.508,0.0,0.0,-0.5093,0.0,-0.691,0.7563,1.0,0.0,0.0,0.0,-0.0515,1.0,1.0,0.5,-0.573,0.871,-0.5,1.0,-0.5,0.3333,0.0,0.0,0.0,-0.07043
-0.4988,-0.497,-0.4958,-1.083,1.165,0.0844,0.0205,0.6772,1.427,-0.2527,-0.5537,0.558,0.375,-1.382,0.0,0.0,0.3057,0.2024,0.1318,0.0,-0.1654,2.498,-0.3403,-0.402,1.542,-0.1661,0.508,1.331,-0.0816,-0.0788,0.2235,0.557,1.416,-0.4841,-0.5073,0.0,0.0,-0.5063,0.0,-0.6714,1.036,1.0,0.0,0.0,0.0,0.893,1.0,1.0,1.0,-0.9404,1.316,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,1.587
-0.4956,-0.4944,-0.4924,-0.953,1.005,0.0844,0.0205,0.4695,1.146,-0.2595,-0.513,-0.08575,0.5,-1.382,0.0,0.0,0.298,0.2251,0.1267,0.0,-0.1635,-0.058,-0.2046,-0.402,1.272,-0.12415,0.1802,-0.09296,-0.01364,1.331,0.794,0.761,1.528,-0.4785,-0.5063,0.0,0.0,-0.504,0.0,-0.672,1.281,1.0,0.0,0.0,0.0,-0.05545,0.0,0.5,1.0,-0.8687,1.09,-0.5,1.0,-0.5,0.0,0.0,0.0,0.0,-0.0762
-0.4941,-0.493,-0.4907,-0.4214,0.442,0.0844,0.3293,0.4895,0.4434,-0.3918,-0.4866,-0.5327,0.625,-1.382,0.0,-1.0,0.4385,0.37,0.02733,0.0,-0.1615,0.2896,-0.07574,-0.3552,0.5425,-0.0895,0.3792,-1.21,-0.03108,-0.09296,-0.0788,0.2235,-0.3376,-0.4758,-0.5063,0.0,0.0,-0.5005,0.0,-0.6895,0.7812,1.0,0.0,0.0,0.0,-0.6655,-1.0,0.5,0.5,-0.304,0.569,-0.5,2.0,-0.5,0.0,0.0,0.0,0.0,-1.122
-0.4927,-0.492,-0.489,-0.3218,0.3108,0.0844,0.3293,0.4,0.2214,-0.4055,-0.4585,-0.3333,0.75,-1.382,0.0,-1.0,0.4473,0.3926,0.01442,0.0,-0.1597,-0.3672,0.0282,-0.2808,0.3406,-0.0651,0.2322,-0.1882,-0.0339,-1.21,1.331,0.794,0.666,-0.4744,-0.506,0.0,0.0,-0.4983,0.0,-0.692,0.795,1.0,0.0,0.0,0.0,-0.08716,-2.0,0.0,0.5,-0.2488,0.3867,-0.5,3.0,-0.5,0.0,0.0,0.0,0.0,-0.1329
-0.492,-0.4915,-0.488,-0.175,0.141,0.0844,0.3293,0.3115,-0.00856,-0.4348,-0.4392,-0.6504,0.75,-1.382,0.0,-1.0,0.4727,0.4324,-0.01009,0.0,-0.1577,-0.2761,0.11566,-0.1954,0.06064,-0.03732,0.5684,-0.3298,-0.0484,-0.1882,-0.09296,-0.0788,-0.944,-0.4736,-0.506,0.0,0.0,-0.4963,0.0,-0.6963,0.5366,0.0,0.0,0.0,0.0,-0.158,-2.0,0.0,0.0,-0.1531,0.1593,-0.5,4.0,-0.5,0.0,0.0,0.0,0.0,-0.2576
-0.4922,-0.4917,-0.488,0.2097,-0.2627,0.0844,-0.01294,0.2421,-0.4485,-0.5347,-0.4329,-4.094,0.625,-1.382,-1.0,-1.0,0.578,0.5537,-0.0875,0.0,-0.1558,0.00477,0.1716,-0.1178,-0.4004,-0.02776,0.4495,-0.978,-0.08514,-0.3298,-1.21,1.33,0.555,-0.4756,-0.5054,0.0,0.0,-0.4946,0.0,-0.7095,0.00262,0.0,0.0,0.0,0.0,-0.591,-3.0,-0.5,-0.5,0.2507,-0.2195,-0.5,5.0,-0.5,0.0,0.0,0.0,0.0,-1.023
-0.4917,-0.4915,-0.4878,0.0265,-0.0778,0.0844,-0.01294,0.2644,-0.2852,-0.4795,-0.4224,-0.4976,0.5,-1.382,-1.0,-1.0,0.5186,0.4875,-0.0501,0.0,-0.1538,0.3613,0.1978,-0.0521,-0.2421,-0.02014,0.2153,0.4333,-0.1466,-0.978,-0.1882,-0.09296,0.7583,-0.477,-0.505,0.0,0.0,-0.4924,0.0,-0.703,0.1765,0.0,0.0,0.0,0.0,0.1492,-2.0,-0.5,0.0,0.0657,-0.03864,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.2893
-0.4922,-0.4917,-0.488,0.2725,-0.3315,0.0844,-0.01294,0.2988,-0.5596,-0.5425,-0.419,2.332,0.375,-1.382,-1.0,-1.0,0.5913,0.5596,-0.10046,0.0,-0.1519,0.9062,0.1923,-0.005444,-0.5234,-0.01724,0.1393,-0.6523,-0.271,0.4333,-0.3298,-1.21,0.2229,-0.4812,-0.504,0.0,0.0,-0.49,0.0,-0.712,-0.1246,0.0,0.0,0.0,0.0,-0.328,-2.0,-1.0,-0.5,0.2898,-0.315,-0.5,1.0,-0.5,0.0,0.0,0.0,0.0,-0.564
-0.491,-0.4907,-0.4868,-0.267,0.2184,0.0844,-0.01294,0.3135,-0.01374,-0.3857,-0.4036,-1.422,0.375,-1.382,0.0,-1.0,0.42,0.3765,0.01313,0.0,-0.1499,0.7427,0.1606,0.02435,0.03195,-0.008736,-0.1484,1.384,-0.338,-0.6523,-0.978,-0.1881,0.791,-0.4834,-0.503,0.0,0.0,-0.4875,0.0,-0.692,0.3826,0.0,0.0,0.0,0.0,0.7734,-1.0,-1.0,0.0,-0.1904,0.2974,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,1.416
-0.4893,-0.4893,-0.485,-0.4946,0.4492,0.0844,-0.01294,0.3071,0.2301,-0.3015,-0.3872,2.574,0.375,-1.382,0.0,0.0,0.3303,0.283,0.0725,0.0,-0.148,0.442,0.1032,0.04074,0.2798,0.003529,-0.1372,0.6895,-0.4294,1.384,0.4333,-0.3296,-0.07794,-0.4824,-0.5015,0.0,0.0,-0.4849,0.0,-0.6816,0.4082,0.0,0.0,0.0,0.0,0.368,0.0,-0.5,0.0,-0.4114,0.533,0.5,0.0,-0.5,0.0,0.0,0.0,0.0,0.6665
-0.4854,-0.4849,-0.4814,-1.233,1.238,0.767,-0.01294,0.3562,1.138,-0.03918,-0.363,3.143,0.375,-1.382,0.0,0.0,0.07104,0.002731,0.265,0.0,-0.146,0.8545,0.0464,0.05457,1.122,0.03418,-0.56,2.275,-0.3835,0.6895,-0.6523,-0.9775,1.325,-0.4778,-0.499,0.0,0.0,-0.4814,0.0,-0.648,0.623,0.0,0.0,0.0,0.0,1.755,1.0,-0.5,0.0,-1.049,1.433,1.0,0.0,-0.5,0.0,1.0,0.0,5.95,3.064
-0.4827,-0.482,-0.4788,-0.8374,0.837,0.767,-0.01294,0.4045,0.699,-0.1219,-0.3442,-0.2854,0.375,-1.382,0.0,0.0,0.1549,0.08386,0.2015,0.0,-0.144,-0.4473,-0.007294,0.06415,0.674,0.05618,-0.4873,-0.76,-0.3503,2.275,1.384,0.4333,-0.09204,-0.4739,-0.4968,0.0,0.0,-0.4792,0.0,-0.659,0.4065,0.0,0.0,0.0,0.0,-0.4397,0.0,-0.5,-0.5,-0.6733,1.012,-0.5,1.0,-0.5,0.0,0.0,0.0,0.0,-0.7144
-0.4814,-0.481,-0.4778,-0.253,0.2357,0.767,-0.01294,0.501,0.06476,-0.2717,-0.3374,-0.789,0.375,-1.371,0.0,0.0,0.3127,0.236,0.088,0.0,-0.1421,0.4568,-0.0746,0.06232,0.02423,0.0675,-0.0648,-1.356,-0.3716,-0.76,0.6895,-0.6523,-1.203,-0.4707,-0.4944,0.0,0.0,-0.4775,0.0,-0.679,0.00846,0.0,0.0,0.0,0.0,-0.729,0.0,-0.5,-1.0,-0.04883,0.462,-0.5,2.0,-0.5,0.0,0.0,0.0,0.0,-1.212
-0.4795,-0.4788,-0.4758,-0.5327,0.5293,0.767,-0.01294,0.516,0.4036,-0.1683,-0.325,2.19,0.375,-1.36,0.0,0.0,0.2087,0.12415,0.1615,0.0,-0.1401,0.5317,-0.1484,0.04904,0.342,0.07965,0.01021,0.8477,-0.364,-1.356,2.275,1.384,-0.1869,-0.4668,-0.4922,0.0,0.0,-0.476,0.0,-0.666,0.1484,0.0,0.0,0.0,0.0,0.5166,0.0,0.0,-0.5,-0.3455,0.734,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.9126
