EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-2.002,-2.01,-1.989,0.3472,-0.3577,0.994,-2.268,3.076,0.536,-1.949,-0.6406,0.247,-0.4285,-1.28,0.0,-1.0,2.871,2.424,-1.124,0.0,-0.1578,0.598,-0.524,-0.4456,0.9243,-1.237,0.1874,0.0,-0.685,-1.451,0.0,-0.7456,-1.532,-1.956,-1.9795,0.0,0.0,-1.975,0.0,-0.831,-0.2257,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5,-0.3333,0.798,0.1667,0.0,0.0,-1.5,-3.0,0.0,0.0,0.0,0.0
-2.002,-2.01,-1.989,1.008,-1.039,0.994,-2.268,2.588,-0.3835,-2.084,-0.6294,-1.481,-0.4285,-1.28,-1.0,-1.0,3.074,2.736,-1.207,0.0,-0.1567,0.6484,-0.5586,-0.464,-0.0217,-1.218,-0.007496,-1.491,-0.6895,0.0,3.064,-0.7554,2.363,-1.956,-1.9795,0.0,0.0,-1.975,0.0,-0.845,0.4766,0.0,0.0,0.0,0.0,-0.003824,-1.0,-1.0,-0.3333,1.361,-0.546,0.0,1.0,-1.5,-3.0,0.0,0.0,0.0,-0.03017
-2.002,-2.01,-1.989,0.568,-0.6055,0.994,-2.268,2.152,-0.0872,-2.002,-0.6226,-0.959,-0.4285,-1.28,-1.0,-1.0,2.88,2.62,-1.165,0.0,-0.1555,-0.2942,-0.5767,-0.4897,-0.03406,-1.175,-0.0899,0.766,-0.71,-1.491,-1.451,0.0,0.7554,-1.956,-1.9795,0.0,0.0,-1.975,0.0,-0.8374,0.2357,0.0,0.0,0.0,0.0,0.0006323,0.0,-1.0,-0.3333,0.9067,-0.175,1.0,0.0,-1.5,-3.0,0.0,0.0,0.0,0.005127
-2.002,-2.01,-1.989,0.5225,-0.5615,0.994,-2.268,2.0,-0.114,-1.992,-0.618,-18.06,-0.4285,-1.28,-1.0,-1.0,2.85,2.615,-1.165,0.0,-0.1544,0.623,-0.5894,-0.5195,-0.05896,-1.172,-0.02248,0.0,-0.7354,0.766,0.0,3.064,-0.7456,-1.956,-1.9795,0.0,0.0,-1.975,0.0,-0.8374,0.033,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.6665,0.7856,-0.2157,0.0,0.0,-1.5,-3.0,0.0,0.0,0.0,0.0
-2.002,-2.01,-1.989,0.828,-0.8726,0.994,-2.268,1.741,-0.5425,-2.055,-0.613,15.09,-0.4285,-1.28,-1.0,-1.0,2.943,2.766,-1.207,0.0,-0.1532,0.6484,-0.5957,-0.5522,-0.54,-1.16,-0.0974,-0.7554,-0.7407,0.0,-1.491,-1.451,0.7554,-1.956,-1.9795,0.0,0.0,-1.975,0.0,-0.8447,0.1644,0.0,0.0,0.0,0.0,-0.000572,-1.0,-1.5,-0.6665,0.999,-0.5913,0.0,1.0,-1.5,-3.0,0.0,0.0,0.0,-0.004574
-2.002,-2.01,-1.989,0.7583,-0.8027,0.994,-2.268,1.588,-0.516,-2.047,-0.611,0.0763,-0.4285,-1.28,-1.0,-1.0,2.912,2.764,-1.207,0.0,-0.1521,0.6484,-0.597,-0.587,-0.5747,-1.156,-0.03748,0.0,-0.7407,-0.7554,0.766,0.0,-0.7456,-1.956,-1.9795,0.0,0.0,-1.975,0.0,-0.844,-0.2351,0.0,0.0,0.0,0.0,0.0,-1.0,-1.5,-1.0,0.894,-0.566,0.0,0.0,-1.5,-3.0,0.0,0.0,0.0,0.0
-2.002,-2.01,-1.989,1.053,-1.096,0.994,-2.268,1.632,-0.8135,-2.11,-0.612,0.901,-0.5713,-1.28,-1.0,-1.0,3.037,2.887,-1.248,0.0,-0.1509,2.56,-0.6,-0.625,-0.8726,-1.164,0.02998,-0.766,-0.752,0.0,0.0,-1.491,-0.7554,-1.956,-1.9795,0.0,0.0,-1.975,0.0,-0.85,-0.5347,0.0,0.0,0.0,0.0,-0.00399,-1.0,-1.5,-1.333,1.174,-0.8438,0.0,1.0,-1.5,-3.0,0.0,0.0,0.0,-0.03235
-2.002,-2.01,-1.989,1.329,-1.369,0.994,0.3599,1.599,-1.112,-2.174,-0.6123,0.5923,-0.5713,-1.28,-1.0,-1.0,3.158,3.021,-1.289,0.0,-0.1498,1.658,-0.604,-0.649,-1.127,-1.178,0.02248,-0.777,-0.796,-0.766,-0.7554,0.766,0.0,-1.956,-1.9795,0.0,0.0,-1.975,0.0,-0.8555,-0.5347,0.0,0.0,0.0,0.0,-0.00468,-2.0,-1.5,-1.333,1.436,-1.103,0.0,2.0,-1.5,-3.0,0.0,0.0,0.0,-0.03848
-2.002,-2.01,-1.989,0.8477,-0.8877,0.994,0.3599,1.554,-0.6553,-2.092,-0.6133,-0.3499,-0.7144,-1.28,-1.0,-1.0,2.996,2.857,-1.248,0.0,-0.1486,0.675,-0.605,-0.6587,-0.7046,-1.184,-0.2922,0.788,-0.802,-0.777,0.0,0.0,3.064,-1.956,-1.9795,0.0,0.0,-1.975,0.0,-0.8477,-0.5347,0.0,0.0,0.0,0.0,0.001806,-1.0,-1.5,-1.333,0.9824,-0.642,1.0,0.0,-1.5,-3.0,0.0,0.0,0.0,0.01507
-2.002,-2.01,-1.989,0.776,-0.8164,0.199,0.3599,1.397,-0.602,-2.084,-0.613,0.03723,-0.7144,-1.28,-1.0,-1.0,2.963,2.855,-1.248,0.0,-0.1475,0.675,-0.6064,-0.665,-0.613,-1.194,-0.1798,0.0,-0.799,0.788,-0.766,-0.7554,-1.451,-1.956,-1.9795,0.0,0.0,-1.975,0.0,-0.8467,-0.4062,0.0,0.0,0.0,0.0,0.0,-1.0,-1.5,-1.333,0.8755,-0.6157,0.0,0.0,-1.5,-3.0,0.0,0.0,0.0,0.0
