EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-1.051,-1.053,-1.049,1.976,-2.092,-0.2413,-0.6,1.422,-1.729,-1.726,-0.3228,0.3674,-1.0,-1.22,-1.0,-1.0,2.504,2.414,-1.45,0.0,-0.2852,1.128,-0.4766,-0.4897,-1.771,-1.219,-0.2568,-0.947,-0.6987,-0.799,-0.5337,-1.877,1.36,-1.053,-1.049,0.0,0.0,-1.055,0.0,-1.024,-0.8345,0.0,0.0,0.0,0.0,-0.0904,-1.0,-1.5,-1.5,2.188,-1.705,0.0,2.0,-1.0,1.0,0.0,0.0,0.0,-0.964
-1.051,-1.053,-1.049,1.444,-1.549,-0.2413,-0.6,1.294,-1.277,-1.658,-0.3242,-0.1615,-1.0,-1.22,-1.0,-1.0,2.361,2.285,-1.3955,0.0,-0.2822,1.09,-0.4788,-0.4956,-1.328,-1.233,-0.1873,0.8267,-0.695,-0.947,0.6743,-1.428,-1.6875,-1.053,-1.049,0.0,0.0,-1.055,0.0,-1.024,-0.548,0.0,0.0,0.0,0.0,0.05814,0.0,-1.0,-1.0,1.601,-1.263,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.6313
-1.051,-1.053,-1.049,0.0745,-0.1548,0.4475,-0.6,1.174,0.1825,-1.416,-0.3252,-1.221,-0.857,-1.22,0.0,-1.0,1.907,1.83,-1.188,0.0,-0.279,2.236,-0.4785,-0.5,0.10126,-1.242,-0.2067,3.008,-0.6963,0.8267,-0.799,-0.534,-0.1246,-1.053,-1.049,0.0,0.0,-1.055,0.0,-1.024,-0.4065,0.0,0.0,0.0,0.0,0.2085,1.0,-0.5,-1.0,0.3982,0.1993,2.0,0.0,-1.0,1.0,0.0,0.0,0.0,2.229
-1.051,-1.053,-1.049,-0.325,0.2512,0.847,-0.6,1.115,0.6943,-1.328,-0.325,2.453,-0.7144,-1.22,0.0,-1.0,1.755,1.68,-1.117,0.0,-0.276,0.755,-0.478,-0.504,0.606,-1.247,-0.1906,1.023,-0.6973,3.008,-0.9463,0.6743,-0.3748,-1.053,-1.049,0.0,0.0,-1.055,0.0,-1.024,-0.2062,0.0,0.0,0.0,0.0,0.09814,1.0,0.0,-0.5,-0.01128,0.5635,3.0,0.0,-1.0,1.0,1.0,0.0,5.816,0.9893
-1.051,-1.053,-1.049,-0.9956,0.935,1.581,-0.6,1.135,1.613,-1.168,-0.3242,1.511,-0.7144,-1.22,0.0,-1.0,1.501,1.412,-0.982,0.0,-0.2727,2.35,-0.479,-0.5083,1.563,-1.256,-0.2058,1.882,-0.6904,1.023,0.826,-0.799,0.2517,-1.053,-1.049,0.0,0.0,-1.055,0.0,-1.024,-0.1313,0.0,0.0,0.0,0.0,0.2081,2.0,0.0,-0.5,-0.6646,1.213,4.0,0.0,-0.5,1.0,0.0,0.0,0.0,2.057
-1.051,-1.053,-1.049,-0.6626,0.595,1.581,-0.6,1.045,1.278,-1.216,-0.3228,-0.07965,-0.5713,-1.22,0.0,-1.0,1.569,1.496,-1.027,0.0,-0.2695,0.09326,-0.4814,-0.513,1.3125,-1.263,-0.0735,-0.6055,-0.688,1.882,3.006,-0.947,-1.878,-1.053,-1.049,0.0,0.0,-1.055,0.0,-1.024,0.0391,0.0,0.0,0.0,0.0,-0.03119,2.0,0.0,-0.5,-0.3171,0.914,0.0,1.0,-0.5,1.0,0.0,0.0,0.0,-0.2976
-1.051,-1.053,-1.049,-0.5454,0.4766,1.581,-0.6,1.024,1.186,-1.222,-0.321,0.06836,-0.4285,-1.22,0.0,-1.0,1.577,1.508,-1.036,0.0,-0.2664,-0.3645,-0.4854,-0.5186,1.264,-1.265,0.03473,-0.1225,-0.6855,-0.6055,1.023,0.8267,-1.429,-1.053,-1.049,0.0,0.0,-1.055,0.0,-1.024,0.0391,0.0,0.0,0.0,0.0,-0.009476,1.0,0.0,-0.5,-0.2166,0.787,0.0,2.0,-0.5,1.0,0.0,0.0,0.0,-0.09143
-1.051,-1.053,-1.049,-0.2465,0.1727,1.581,-0.6,1.059,0.8604,-1.27,-0.3193,-0.1473,-0.2856,-1.22,0.0,-1.0,1.655,1.584,-1.081,0.0,-0.2634,-0.04245,-0.492,-0.5244,0.9604,-1.264,0.0945,-0.6143,-0.684,-0.1225,1.881,3.008,-0.534,-1.053,-1.049,0.0,0.0,-1.055,0.0,-1.024,-0.001128,0.0,0.0,0.0,0.0,-0.05246,0.0,0.0,-0.5,0.0923,0.517,0.0,3.0,-0.5,1.0,0.0,0.0,0.0,-0.508
-1.051,-1.053,-1.049,0.753,-0.8438,1.581,-0.6,1.374,-0.2202,-1.463,-0.3203,-1.171,-0.2856,-1.22,-1.0,-1.0,2.004,1.901,-1.252,0.0,-0.2603,1.809,-0.501,-0.529,-0.1647,-1.267,0.08075,-2.361,-0.686,-0.614,-0.605,1.023,0.675,-1.053,-1.049,0.0,0.0,-1.055,0.0,-1.024,-0.3586,0.0,0.0,0.0,0.0,-0.2477,-1.0,-0.5,-1.0,1.097,-0.4153,0.0,4.0,-0.5,1.0,0.0,0.0,0.0,-2.426
-1.051,-1.053,-1.049,1.347,-1.448,1.581,-1.244,1.383,-0.8936,-1.583,-0.321,5.17,-0.2856,-1.22,-1.0,-1.0,2.223,2.129,-1.359,0.0,-0.257,0.561,-0.5117,-0.532,-0.851,-1.271,0.1365,-1.5625,-0.684,-2.361,-0.12244,1.882,-0.7993,-1.053,-1.049,0.0,0.0,-1.055,0.0,-1.024,-0.3145,0.0,0.0,0.0,0.0,-0.06714,-2.0,-0.5,-1.0,1.688,-0.975,0.0,5.0,-0.5,1.0,0.0,1.0,-5.207,-0.6885
