EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.2029,-0.2025,-0.203,3.174,-3.018,1.215,-3.084,2.768,-2.727,-2.414,-0.3208,0.0692,-0.375,-1.939,-1.0,-1.0,3.445,3.207,-3.004,0.0,0.557,1.899,-0.3137,-0.3433,-2.457,-2.775,-0.2798,0.0,-0.3352,1.349,-2.633,-2.645,0.954,-0.2043,-0.2031,0.0,0.0,-0.2043,0.0,-0.1582,-1.134,0.0,1.0,0.0,0.0,0.0,-2.0,-1.5,-1.5,3.229,-2.473,0.0,0.0,-1.0,0.5,0.0,0.0,0.0,0.0
-0.2029,-0.2025,-0.203,3.174,-3.018,1.215,-3.084,2.77,-2.727,-2.414,-0.324,0.0623,-0.375,-1.939,-1.0,-1.0,3.445,3.207,-3.004,0.0,0.563,1.11,-0.3005,-0.336,-2.312,-2.85,-0.2957,0.0,-0.3313,0.0,0.0,-2.645,-0.9355,-0.2043,-0.2032,0.0,0.0,-0.2043,0.0,-0.1582,-1.134,0.0,1.0,0.0,0.0,0.0,-2.0,-1.5,-1.5,3.229,-2.473,0.0,0.0,-1.0,0.5,0.0,0.0,0.0,0.0
-0.2029,-0.2025,-0.203,2.54,-2.549,1.215,-3.084,2.61,-2.447,-2.154,-0.3271,-0.311,-0.5,-1.939,-1.0,-1.0,3.445,2.947,-2.725,0.0,0.569,3.27,-0.2896,-0.3293,-0.5327,-2.904,-0.34,2.97,-0.329,0.0,1.349,-2.645,0.0,-0.2043,-0.2032,1.0,-1.0,-0.2043,0.0,-0.1575,-1.134,0.0,1.0,0.0,0.0,0.2402,-1.0,-1.5,-1.5,3.229,-1.466,1.0,0.0,-1.0,0.5,0.0,0.0,0.0,7.164
-0.2029,-0.2025,-0.203,1.425,-1.444,1.215,-3.084,2.572,-1.201,-1.983,-0.3308,-0.422,-0.625,-1.939,-1.0,-1.0,3.143,2.582,-2.557,0.0,0.5747,1.596,-0.2815,-0.3235,0.711,-2.969,-0.2812,1.846,-0.3284,2.97,0.0,0.0,-2.643,-0.2043,-0.2032,0.0,0.0,-0.2043,0.0,-0.157,-1.209,0.0,1.0,0.0,0.0,0.10376,0.0,-1.0,-1.5,2.27,-0.412,2.0,0.0,-1.0,0.5,0.0,0.0,0.0,2.9
-0.2029,-0.2025,-0.203,1.023,-1.048,1.282,-3.084,2.463,-0.4827,-1.92,-0.3345,-0.5586,-0.75,-1.939,-1.0,-1.0,3.0,2.463,-2.5,0.0,0.581,0.857,-0.277,-0.318,1.284,-3.018,-0.3037,0.593,-0.328,1.845,0.0,1.348,0.0,-0.2043,-0.2032,0.0,0.0,-0.2043,0.0,-0.1567,-1.287,0.0,1.0,0.0,0.0,0.0182,0.0,-0.5,-1.5,1.852,-0.0764,3.0,0.0,-1.0,0.5,0.0,0.0,0.0,0.4905
-0.2029,-0.2025,-0.203,1.801,-1.82,1.282,-3.084,2.77,-0.9185,-2.074,-0.3384,1.406,-0.875,-1.939,-1.0,-1.0,3.355,2.75,-2.668,0.0,0.587,1.666,-0.2766,-0.3135,0.4685,-3.041,-0.213,-1.758,-0.3276,0.593,2.97,0.0,-2.643,-0.2043,-0.2032,0.0,0.0,-0.2043,0.0,-0.1572,-1.314,0.0,1.0,0.0,0.0,-0.02815,0.0,-0.5,-1.5,2.717,-0.673,0.0,1.0,-1.0,0.5,0.0,0.0,0.0,-0.7495
-0.2029,-0.2025,-0.203,2.564,-2.578,1.282,-3.084,2.77,-1.309,-2.227,-0.3428,0.649,-1.0,-1.939,-1.0,-1.0,3.445,3.06,-2.836,0.0,0.593,1.02,-0.2803,-0.3096,-0.3716,-3.062,-0.1478,-1.822,-0.3264,-1.758,1.845,0.0,-2.643,-0.2043,-0.2032,0.0,0.0,-0.2043,0.0,-0.1576,-1.389,0.0,1.0,0.0,0.0,-0.05127,0.0,-0.5,-1.5,3.229,-1.455,0.0,2.0,-1.0,0.5,0.0,0.0,0.0,-1.415
-0.2029,-0.2025,-0.203,2.654,-2.67,1.282,-3.084,2.77,-1.196,-2.271,-0.3462,0.03772,-1.0,-1.939,-1.0,-1.0,3.445,3.191,-2.893,0.0,0.5986,0.281,-0.2886,-0.3066,-0.5337,-3.092,0.0318,-0.631,-0.3252,-1.822,0.593,2.969,-2.643,-0.2043,-0.2032,0.0,0.0,-0.2043,0.0,-0.1577,-1.259,0.0,1.0,0.0,0.0,-0.006954,-1.0,-0.5,-1.5,3.229,-1.488,0.0,3.0,-1.0,0.5,0.0,0.0,0.0,-0.1995
-0.2029,-0.2025,-0.203,3.174,-3.018,1.282,-3.084,2.77,-1.651,-2.414,-0.3503,0.58,-1.0,-1.939,-1.0,-1.0,3.445,3.207,-3.059,0.0,0.605,1.942,-0.3032,-0.305,-1.387,-3.113,0.03815,-1.917,-0.3254,-0.631,-1.758,1.845,0.0,-0.2043,-0.2032,0.0,0.0,-0.2043,0.0,-0.1582,-1.34,0.0,1.0,0.0,0.0,-0.02638,-2.0,-0.5,-1.5,3.229,-2.31,0.0,4.0,-1.0,0.5,0.0,0.0,0.0,-0.766
-0.2029,-0.2025,-0.203,3.105,-3.018,1.282,-3.084,2.77,-1.304,-2.414,-0.353,-0.1002,-1.0,-1.939,-1.0,-1.0,3.445,3.207,-3.059,0.0,0.611,1.942,-0.3242,-0.3047,-1.166,-3.156,0.00794,0.0,-0.3296,-1.917,-1.822,0.593,1.346,-0.2043,-0.2032,0.0,0.0,-0.2043,0.0,-0.1582,-1.132,0.0,1.0,0.0,0.0,0.0,-3.0,-1.0,-1.5,3.229,-2.2,0.0,0.0,-1.0,0.5,0.0,0.0,0.0,0.0
