Close,EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1.777,2.0,2.0,2.0,-1.3125,1.315,0.0,0.0,-0.5493,1.732,1.349,0.949,-1.694,-2.0,0.0,0.0,0.0,-1.401,-1.273,1.354,0.0,1.0,-0.8086,-1.295,0.809,1.297,1.677,0.0,1.354,-0.9097,0.0,0.2786,-0.7046,-0.412,-0.737,0.0,0.0,0.0,0.0,0.0,1.3545,-0.4521,0.0,0.0,0.0,0.0,0.7275,2.0,2.0,0.0,-1.276,1.367,1.0,0.0,0.0,-2.0,2.0,0.0,2.0,0.6685
-0.1671,0.0,0.0,0.0,0.302,-0.309,0.0,0.0,1.794,-1.743,-0.2896,0.6157,3.373,-1.2,0.0,0.0,0.0,0.3772,0.2391,-0.2245,0.0,1.0,1.037,-1.404,0.5586,-0.3696,0.6265,0.2373,-2.627,-1.359,0.5986,2.252,-0.8506,-0.2079,-1.438,0.0,0.0,0.0,0.0,0.0,-0.2378,-3.146,0.0,0.0,0.0,0.0,-2.436,0.5,0.5,-4.0,0.2983,-0.315,-1.0,4.0,0.0,-0.5,0.0,0.0,0.0,-2.41
0.2659,4.133,6.387,7.75,0.0,0.0,0.0,0.0,-0.4192,-0.8667,0.0,0.5464,0.3843,-1.0,0.0,0.0,0.0,0.0,0.0,0.1538,0.0,1.0,-0.86,-1.899,0.0,0.0,0.9478,-0.24,-0.524,-1.865,-0.9106,0.9165,0.0,0.6553,-0.939,0.0,0.0,0.0,0.00467,0.0,0.0747,-0.947,0.0,0.0,0.0,0.0,-0.5044,1.0,0.0,0.0,-0.688,-2.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.498
1.594,10.31,18.39,9.32,-1.201,1.166,0.0,0.0,-15.305,0.9326,1.09,-0.2477,-1.773,-1.0,0.0,0.0,0.0,-1.742,-0.781,1.4375,0.0,1.0,-0.2139,-0.9688,-0.898,2.254,-3.57,-0.11383,1.36,-1.608,-0.0635,0.683,0.8267,0.00936,-0.5317,0.0,0.0,0.0,4.703,0.0,1.414,-4.113,0.0,0.0,0.0,0.0,0.76,0.6665,1.333,0.0,-1.42,0.3481,0.5,0.0,0.0,0.0,1.333,0.0,1.333,0.741
2.86,5.457,6.17,5.152,-2.363,2.344,0.0,0.0,-2.148,2.654,2.492,-0.2517,-16.48,-0.6665,0.0,1.0,0.0,-2.342,-2.568,2.725,0.0,1.0,1.026,-0.73,-2.041,2.506,-1.677,-0.9263,1.981,-1.434,0.6655,0.0,0.4534,0.71,0.0,0.0,0.0,0.0,2.95,0.0,2.725,-0.7827,0.0,0.0,0.0,0.0,3.273,0.6665,1.0,1.0,-1.716,2.416,0.6665,0.0,0.0,0.0,0.0,0.0,0.0,3.16
1.302,2.918,3.074,2.83,-1.009,0.9985,0.0,0.0,-1.245,1.291,1.136,-0.1721,-0.1857,-0.4614,0.0,4.0,0.0,-1.157,-0.8306,1.279,0.0,1.0,-0.2788,-0.455,-3.023,1.17,-0.9453,-0.1575,-1.251,-1.299,1.3955,0.3875,0.4512,-0.3308,0.3267,0.0,0.0,0.0,2.033,0.0,1.276,-0.2634,0.0,0.0,0.0,0.0,-1.226,0.0,0.8,4.0,-0.8677,0.6504,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.21
1.08,2.072,2.125,2.041,-0.9224,0.9155,0.0,0.0,-1.232,1.194,0.983,-0.2556,1.844,-0.3333,0.0,1.0,0.0,-0.998,-1.343,1.08,0.0,1.0,0.0,-0.1678,-3.068,1.028,-0.8276,1.066,0.596,-1.145,-0.703,0.509,-0.38,-0.627,0.731,0.0,0.0,0.0,1.633,0.0,1.076,-0.384,0.0,0.0,0.0,0.0,0.9863,1.0,2.0,1.0,-0.93,1.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8867
0.9385,1.915,1.955,1.887,-0.668,0.6675,0.0,0.0,-0.835,0.97,0.84,-0.2751,0.356,-0.1818,0.0,1.0,0.0,-0.836,-0.797,0.9385,0.0,1.0,-0.4895,-0.1166,-3.033,0.827,-0.4856,1.56,-0.2993,-0.9375,0.3743,0.796,0.1898,-0.1592,0.9214,0.0,0.0,0.0,1.379,0.0,0.9253,-0.05258,0.0,0.0,0.0,0.0,-0.3218,0.5,2.5,2.0,-0.7017,0.6895,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.357
0.983,1.515,1.534,1.496,-0.7856,0.7964,0.0,0.0,-0.5444,1.035,1.0205,-0.341,0.552,0.0,0.0,1.0,0.0,-0.944,-0.99,0.983,0.0,1.0,0.01688,-0.0483,-2.871,0.813,-0.2112,1.072,0.6465,-0.786,-0.12445,-0.4883,0.4875,0.4097,1.606,0.01015,0.0,0.0,1.08,0.0,0.9727,-0.2261,0.0,0.0,0.0,0.0,1.029,0.0,1.333,2.0,-0.7114,0.8745,0.6665,0.0,0.0,0.0,0.0,0.0,0.0,0.9565
0.729,1.239,1.246,1.233,-0.3647,0.3696,-10.33,0.0,-0.551,0.646,0.721,-0.04736,-0.02394,0.0,0.0,0.5,0.0,-0.7144,-0.801,0.729,0.0,1.0,-1.857,-0.01729,-1.622,0.6123,-0.1975,0.712,-0.6953,-0.6274,0.574,0.3372,0.767,0.3804,1.622,0.0208,0.0,0.0,0.7437,0.0,0.7163,1.1875,0.0,0.0,0.0,0.0,-0.4622,-0.5,0.5,1.2,-0.4197,0.163,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.4692
0.4248,1.081,1.082,1.08,0.0945,-0.0943,-10.33,0.0,-0.553,0.2302,0.3276,0.919,-0.1866,0.0,0.0,0.0,0.0,-0.4785,-0.5376,0.4248,0.0,1.0,-0.446,-0.00149,-0.8574,0.3784,0.3035,0.4285,-0.6123,-0.377,-0.468,0.0,-0.4688,0.5635,1.197,4.043,0.0,0.0,0.576,0.0,0.406,4.062,0.0,0.0,0.0,0.0,-0.2888,0.0,0.0,0.5,-0.1578,-0.2864,-0.5,2.0,0.0,0.0,0.0,0.0,0.0,-0.2822
-0.0341,0.917,0.9165,0.9175,0.971,-0.9727,-1.333,0.0,-0.4358,-0.6646,-0.3079,1.985,-0.7266,0.5713,1.0,0.0,0.0,-0.1467,0.01456,-0.0341,0.0,1.0,0.1561,-0.012596,-0.607,-0.2378,2.24,0.7617,-1.155,-0.2426,-0.5107,0.3687,0.349,-0.3083,0.8647,2.205,0.0,0.0,0.5347,0.0,-0.06604,2.742,0.0,0.0,0.0,0.0,-0.811,-1.0,0.0,0.5,0.891,-1.22,-0.5,3.0,0.0,0.0,0.0,0.0,0.0,-0.784
-0.3206,0.7075,0.706,0.709,1.282,-1.285,-1.0,0.0,-0.33,-1.091,-0.615,2.732,-0.395,1.0,2.0,0.0,0.0,0.0,0.2014,-0.3206,0.0,1.0,1.219,-0.02722,-0.2817,-0.573,3.424,0.7363,-0.4897,-0.1276,-0.9453,-0.2134,0.0,0.3228,0.6406,1.588,0.0,0.0,0.3594,0.0,-0.3677,1.005,0.0,0.0,0.0,0.0,-0.28,-1.333,-0.6665,0.0,1.256,-1.577,-0.5,4.0,0.0,0.0,0.0,0.0,0.0,-0.2747
-0.702,0.5273,0.5254,0.5293,1.639,-1.64,-0.5,0.0,-0.2495,-1.564,-1.016,1.659,-1.676,0.75,4.0,-1.0,0.0,0.10657,0.4404,-0.702,0.0,1.0,0.8994,-0.02061,-0.00794,-1.004,2.38,0.3396,-0.5757,-0.00667,-0.4553,-0.3235,0.4019,0.56,0.363,1.165,0.0,0.0,0.2202,0.0,-0.761,0.4736,0.0,0.0,0.0,0.0,-0.26,-1.5,-1.6,-0.5,1.668,-1.497,-0.5,4.0,0.0,1.0,0.0,0.0,0.0,-0.2615
0.1818,0.5015,0.4993,0.504,0.541,-0.544,0.0,0.0,-0.2233,-0.4622,-0.08307,1.23,-10.164,1.0,2.285,0.0,0.0,-0.2021,-0.1925,0.1818,0.0,1.0,0.3472,0.0,0.0,-0.2722,1.692,0.0,0.7417,-0.142,-0.542,-0.681,-0.2307,0.693,0.1409,0.9844,0.0,0.0,0.257,0.0,0.08813,0.2832,0.0,0.0,0.0,0.0,0.941,-1.0,-2.0,-0.5,0.3557,-0.559,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.941
1.195,0.8345,0.8325,0.8364,-0.06036,0.05765,0.0,0.0,-0.2803,-0.0387,0.8145,1.137,1.427,1.091,1.637,0.0,0.0,-0.6294,-0.89,1.195,0.0,1.0,0.464,0.2167,0.0,0.1761,1.4,0.105,0.803,1.393,0.7153,-0.234,-0.3433,-0.257,0.07446,1.043,0.0,0.0,1.045,0.0,1.129,0.8438,1.0,0.0,0.0,0.0,0.762,-0.5,-0.5,0.0,-0.1791,0.09735,0.5,0.0,0.0,1.333,0.0,0.0,0.0,0.757
1.446,1.524,1.527,1.522,-0.3135,0.3096,1.333,0.0,-0.2534,0.1204,0.94,1.25,0.4326,1.333,1.2,0.0,0.0,-0.741,-1.229,1.446,0.0,1.0,0.1299,0.666,0.0,0.2651,1.334,0.0,0.2452,2.764,0.813,-0.2281,-0.7295,0.3396,0.649,1.085,0.0,0.0,2.912,0.0,1.328,0.99,1.0,0.0,0.0,0.0,0.711,0.0,0.0,0.0,-0.3535,0.3071,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6807
-0.2966,1.487,1.489,1.485,0.6484,-0.653,1.333,5.332,-0.05865,-0.915,-0.4465,1.149,-0.666,1.077,1.0,-1.0,0.0,-0.00658,-0.03038,-0.2966,0.0,1.0,1.116,0.996,0.001697,-0.8936,1.082,-0.00571,-1.834,1.107,0.2869,0.726,-0.2462,0.004333,1.197,0.99,0.0,0.0,3.85,0.0,-0.3552,-0.538,0.0,0.0,0.0,0.0,-1.208,0.0,-0.8,-0.8,0.761,-0.5415,-0.5,1.0,0.0,1.0,0.0,0.0,0.0,-1.139
