EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.502,-0.5015,-0.5024,3.174,-2.953,-1.118,-2.926,1.85,-2.67,-2.885,-0.643,0.3135,-1.0,-1.937,-1.0,-1.0,4.11,3.955,-1.74,0.0,-0.0493,2.156,-0.03552,-0.1663,-2.45,-1.379,-0.8403,-2.074,-0.2322,-1.816,-0.2072,-0.7285,-0.602,-0.4968,-0.5083,0.0,0.0,-0.503,0.0,-0.389,-1.535,0.0,1.0,0.0,1.0,-0.1332,-3.0,-1.5,-2.0,3.21,-2.68,-0.5,4.0,-1.0,1.0,0.0,0.0,0.0,-1.079
-0.502,-0.5015,-0.5024,3.174,-2.953,-1.118,-2.926,2.043,-2.67,-2.885,-0.661,0.1245,-1.0,-1.937,-1.0,-1.0,4.11,3.955,-1.788,0.0,-0.0464,0.844,-0.03345,-0.1465,-2.45,-1.424,-0.827,-1.002,-0.2139,-2.074,-0.2078,-0.0297,-1.334,-0.4968,-0.5083,0.0,0.0,-0.503,0.0,-0.3909,-1.535,0.0,1.0,0.0,1.0,-0.11676,-3.0,-1.5,-2.0,3.21,-2.68,-0.5,5.0,-1.0,1.0,0.0,0.0,0.0,-0.9727
-0.502,-0.5015,-0.5024,3.174,-2.953,-0.709,-2.926,2.117,-2.367,-2.857,-0.6772,-0.2314,-1.0,-1.937,-1.0,-1.0,4.11,3.955,-1.711,0.0,-0.0435,2.38,-0.04074,-0.1288,-2.45,-1.465,-0.2036,1.558,-0.209,-1.001,-1.817,-0.2072,-2.703,-0.4968,-0.5083,0.0,0.0,-0.503,0.0,-0.3865,-1.535,0.0,1.0,0.0,0.0,0.2296,-2.0,-1.5,-2.0,3.21,-2.68,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,2.34
-0.502,-0.5015,-0.5024,1.876,-1.895,0.8223,-2.926,2.207,-0.788,-2.64,-0.6904,-0.658,-1.0,-1.937,-1.0,-1.0,4.11,3.955,-1.576,0.0,-0.0406,2.684,-0.0643,-0.1154,-1.12,-1.492,-0.2402,2.658,-0.2227,1.558,-2.074,-0.2078,-0.02957,-0.4968,-0.5083,0.0,0.0,-0.503,0.0,-0.3794,-1.402,0.0,1.0,0.0,0.0,0.2349,-1.0,-1.0,-2.0,2.377,-1.209,0.5,0.0,-1.0,1.0,0.0,0.0,0.0,2.31
-0.502,-0.5015,-0.5024,1.62,-1.655,0.9253,-2.926,2.166,-0.3145,-2.617,-0.7026,-0.6562,-1.0,-1.937,-1.0,-1.0,4.11,3.955,-1.566,0.0,-0.0377,0.1407,-0.1094,-0.10675,-0.823,-1.519,-0.2705,0.1517,-0.2357,2.658,-1.002,-1.817,0.1459,-0.4968,-0.5083,0.0,0.0,-0.503,0.0,-0.3787,-1.343,0.0,1.0,0.0,0.0,-0.00531,0.0,-1.0,-1.5,2.072,-1.041,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0703
-0.502,-0.5015,-0.5024,0.525,-0.577,2.162,-2.926,2.164,1.012,-2.43,-0.71,-7.223,-0.875,-1.937,0.0,-1.0,3.83,3.732,-1.45,0.0,-0.0348,2.246,-0.1755,-0.10187,0.4487,-1.549,-0.2212,2.139,-0.2656,0.1517,1.559,-2.074,-0.7285,-0.4968,-0.5083,0.0,0.0,-0.503,0.0,-0.3723,-0.9243,0.0,0.0,0.0,0.0,0.269,1.0,-0.5,-1.0,0.7256,-0.31,1.5,0.0,-0.5,1.0,0.0,0.0,0.0,2.475
-0.502,-0.5015,-0.5024,1.1045,-1.164,2.162,-2.926,1.49,0.3323,-2.543,-0.7085,-0.5522,-0.75,-1.937,0.0,-1.0,4.062,3.955,-1.527,0.0,-0.0319,1.859,-0.2096,-0.10095,0.10474,-1.588,-0.2101,-1.412,-0.2986,2.139,2.658,-1.002,-0.02957,-0.4968,-0.5083,0.0,0.0,-0.503,0.0,-0.3757,-0.2449,0.0,0.0,0.0,0.0,-0.2161,1.0,-0.5,-1.0,1.353,-0.8086,-0.5,1.0,-0.5,1.0,0.0,0.0,0.0,-1.699
-0.502,-0.5015,-0.5024,1.253,-1.3125,2.162,-2.926,1.655,0.1121,-2.582,-0.708,-0.4297,-0.625,-1.937,0.0,-1.0,4.11,3.955,-1.557,0.0,-0.02899,2.148,-0.2269,-0.10876,-0.0803,-1.596,-0.1957,-0.564,-0.3376,-1.412,0.1519,1.559,-0.207,-0.4968,-0.5083,0.0,0.0,-0.503,0.0,-0.377,-0.321,0.0,0.0,0.0,0.0,-0.04852,0.0,-0.5,-1.0,1.516,-0.9326,-0.5,2.0,-0.5,1.0,0.0,0.0,0.0,-0.3047
-0.502,-0.5015,-0.5024,2.713,-2.771,2.162,-2.926,2.23,-1.324,-2.846,-0.711,-7.27,-0.625,-1.937,-1.0,-1.0,4.11,3.955,-1.73,0.0,-0.0261,2.953,-0.2466,-0.12494,-1.526,-1.608,-0.1846,-2.678,-0.3745,-0.564,2.14,2.658,-0.2076,-0.4968,-0.5083,0.0,0.0,-0.503,0.0,-0.3855,-0.7065,0.0,0.0,0.0,0.0,-0.1781,-1.0,-0.5,-1.5,3.049,-2.22,-0.5,3.0,-0.5,1.0,0.0,1.0,-5.098,-1.438
-0.502,-0.5015,-0.5024,3.04,-2.953,2.162,-2.926,2.615,-1.693,-2.885,-0.715,0.485,-0.625,-1.937,-1.0,-1.0,4.11,3.955,-1.788,0.0,-0.0232,3.342,-0.2576,-0.1492,-1.856,-1.632,-0.05728,-1.191,-0.4272,-2.678,-1.412,0.1519,-1.817,-0.4968,-0.5083,0.0,0.0,-0.503,0.0,-0.388,-0.738,0.0,0.0,0.0,0.0,-0.1799,-2.0,-0.5,-1.5,3.21,-2.46,-0.5,4.0,-0.5,1.0,0.0,0.0,0.0,-1.562
