EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.2113,-0.2122,-0.2103,1.64,-1.706,-0.3635,-0.3584,1.157,-1.293,-1.272,-0.2852,0.8667,-1.143,-1.75,-1.0,-1.0,1.565,1.439,-0.56,0.0,0.2756,1.141,-0.2634,-0.2627,-1.306,-0.3757,-0.169,-1.298,-0.3057,0.3198,-1.363,-0.8267,0.3076,-0.2109,-0.2122,0.0,0.0,-0.2104,0.0,-0.157,-1.077,0.0,1.0,0.0,0.0,-0.0828,-2.0,-1.0,-1.0,1.729,-1.533,-1.0,1.0,-1.0,-0.5,0.0,0.0,0.0,-0.5063
-0.2113,-0.2122,-0.2103,1.802,-1.864,-0.3635,-0.3584,0.99,-1.467,-1.34,-0.2893,0.3042,-1.143,-1.75,-1.0,-1.0,1.65,1.551,-0.612,0.0,0.278,0.682,-0.266,-0.2593,-1.5,-0.3967,-0.1464,-0.667,-0.3057,-1.298,-0.6475,-0.10895,-0.5234,-0.2109,-0.2122,0.0,0.0,-0.2104,0.0,-0.1578,-1.023,0.0,0.0,0.0,0.0,-0.0638,-2.0,-1.0,-1.0,1.869,-1.706,-1.0,2.0,-1.0,-0.5,0.0,0.0,0.0,-0.3958
-0.2113,-0.2122,-0.2103,1.137,-1.208,-0.3635,-0.3584,0.88,-0.872,-1.209,-0.291,-0.345,-1.143,-1.75,-1.0,-1.0,1.459,1.369,-0.526,0.0,0.2805,1.121,-0.2654,-0.2568,-0.8506,-0.4202,-0.07477,1.111,-0.3093,-0.667,0.3203,-1.363,-0.9473,-0.2109,-0.2122,0.0,0.0,-0.2104,0.0,-0.1562,-0.584,0.0,0.0,0.0,0.0,0.1803,-1.0,-0.5,-0.5,1.262,-1.021,0.0,0.0,-1.0,-0.5,0.0,0.0,0.0,1.189
-0.2113,-0.2122,-0.2103,0.603,-0.683,-0.3152,-0.3584,0.764,-0.3413,-1.091,-0.2922,-0.631,-1.143,-1.75,-1.0,-1.0,1.292,1.213,-0.4482,0.0,0.283,-0.1819,-0.2632,-0.2559,-0.285,-0.437,-0.1927,0.98,-0.3171,1.111,-1.298,-0.6475,0.846,-0.2109,-0.2122,0.0,0.0,-0.2104,0.0,-0.1548,-0.4792,0.0,0.0,0.0,0.0,0.1406,0.0,-0.5,-0.5,0.7847,-0.4634,1.0,0.0,-1.0,-0.5,1.0,0.0,4.41,0.9136
-0.2113,-0.2122,-0.2103,0.08966,-0.1782,0.2327,-0.2878,0.662,0.2178,-0.9595,-0.2925,-2.527,-1.0,-1.75,0.0,-1.0,1.115,1.045,-0.3618,0.0,0.2854,0.72,-0.2622,-0.2568,0.3174,-0.4504,-0.3472,1.07,-0.3206,0.98,-0.6665,0.3203,1.148,-0.2109,-0.2122,0.0,0.0,-0.2104,0.0,-0.1531,-0.3145,0.0,0.0,0.0,0.0,0.0849,0.0,-0.5,-0.5,0.3196,0.0666,2.0,0.0,-1.0,-0.5,0.0,0.0,0.0,0.5474
-0.2113,-0.2122,-0.2103,0.2297,-0.3162,0.2327,-0.2878,0.7397,0.08655,-0.9917,-0.2927,-0.3047,-0.857,-1.75,0.0,-1.0,1.161,1.081,-0.3877,0.0,0.2878,0.5776,-0.2664,-0.2603,0.1621,-0.451,-0.2642,-0.3218,-0.3267,1.07,1.111,-1.297,-0.827,-0.2109,-0.2122,0.0,0.0,-0.2104,0.0,-0.1536,-0.2761,0.0,0.0,0.0,0.0,-0.04645,0.0,-0.5,-0.5,0.4214,-0.105,-1.0,1.0,-1.0,-0.5,0.0,0.0,0.0,-0.272
-0.2113,-0.2122,-0.2103,-0.05557,-0.03467,0.2327,-0.2878,0.721,0.3716,-0.9116,-0.2908,1.76,-0.7144,-1.75,0.0,-1.0,1.059,0.978,-0.336,0.0,0.2903,0.4014,-0.2742,-0.266,0.4722,-0.4502,-0.263,0.6313,-0.3333,-0.3218,0.98,-0.666,-0.1095,-0.2109,-0.2122,0.0,0.0,-0.2104,0.0,-0.1526,0.04053,0.0,0.0,0.0,0.0,0.03314,1.0,0.0,0.0,0.1359,0.162,0.0,0.0,-1.0,-0.5,0.0,0.0,0.0,0.2194
-0.2113,-0.2122,-0.2103,0.2805,-0.3672,0.2327,-0.2878,0.6387,0.0302,-0.994,-0.2908,-0.6475,-0.5713,-1.75,0.0,-1.0,1.158,1.092,-0.3965,0.0,0.2927,0.11475,-0.2842,-0.273,0.1119,-0.4512,-0.10236,-0.7397,-0.336,0.6313,1.07,1.111,-1.363,-0.2109,-0.2122,0.0,0.0,-0.2104,0.0,-0.1537,-0.2817,0.0,0.0,0.0,0.0,-0.03262,0.0,0.0,-0.5,0.4375,-0.1903,-1.0,1.0,-1.0,-0.5,0.0,0.0,0.0,-0.1859
-0.2113,-0.2122,-0.2103,0.403,-0.4907,0.2327,-0.2878,0.533,-0.04852,-1.027,-0.293,-0.4875,-0.4285,-1.75,0.0,-1.0,1.193,1.144,-0.4224,0.0,0.2952,-0.3455,-0.2957,-0.279,-0.00902,-0.4575,-0.02208,-0.3242,-0.3362,-0.7397,-0.3213,0.98,-0.6475,-0.2109,-0.2122,0.0,0.0,-0.2104,0.0,-0.1542,-0.6216,0.0,0.0,0.0,0.0,-0.016,-1.0,0.0,-1.0,0.5293,-0.3403,-1.0,2.0,-1.0,-0.5,0.0,0.0,0.0,-0.0851
-0.2113,-0.2122,-0.2103,0.659,-0.744,0.2327,-0.2878,0.519,-0.294,-1.098,-0.2947,-4.375,-0.4285,-1.75,-1.0,-1.0,1.284,1.24,-0.474,0.0,0.2976,-0.01642,-0.307,-0.2842,-0.263,-0.4678,-0.05093,-0.647,-0.3367,-0.3242,0.632,1.07,0.3198,-0.2109,-0.2122,0.0,0.0,-0.2104,0.0,-0.1552,-0.584,0.0,0.0,0.0,0.0,-0.05157,-2.0,-0.5,-1.0,0.804,-0.5605,-1.0,3.0,-1.0,-0.5,0.0,0.0,0.0,-0.3076
-0.2113,-0.2122,-0.2103,0.7505,-0.8354,0.2327,-0.2878,0.535,-0.374,-1.13,-0.2966,0.621,-0.4285,-1.75,-1.0,-1.0,1.327,1.282,-0.5,0.0,0.3,-0.4856,-0.3206,-0.2893,-0.3582,-0.4785,0.09717,-0.3298,-0.3384,-0.647,-0.7393,-0.321,-1.298,-0.2109,-0.2122,0.0,0.0,-0.2104,0.0,-0.1555,-0.6216,0.0,0.0,0.0,0.0,-0.0319,-2.0,-0.5,-1.0,0.8374,-0.7095,-1.0,4.0,-1.0,-0.5,0.0,0.0,0.0,-0.1869
-0.2113,-0.2122,-0.2103,1.386,-1.46,0.2327,-0.6113,0.5967,-1.036,-1.3,-0.2988,2.912,-0.4285,-1.75,-1.0,-1.0,1.565,1.52,-0.6206,0.0,0.3025,1.014,-0.3296,-0.2952,-1.005,-0.4946,0.1812,-1.528,-0.3325,-0.3298,-0.3237,0.632,-0.6665,-0.2109,-0.2122,0.0,0.0,-0.2104,0.0,-0.1577,-0.6396,0.0,0.0,0.0,0.0,-0.1543,-3.0,-0.5,-1.0,1.493,-1.279,-1.0,5.0,-1.0,0.0,0.0,0.0,0.0,-0.9653
-0.2113,-0.2122,-0.2103,1.063,-1.141,0.2327,-0.6113,0.574,-0.779,-1.243,-0.2993,-0.1669,-0.4285,-1.75,-1.0,-1.0,1.484,1.439,-0.586,0.0,0.305,0.9937,-0.335,-0.3008,-0.6943,-0.5117,0.05447,0.4421,-0.3286,-1.528,-0.646,-0.739,1.11,-0.2109,-0.2122,0.0,0.0,-0.2104,0.0,-0.157,-0.414,0.0,0.0,0.0,0.0,0.06067,-2.0,-0.5,-0.5,1.191,-0.955,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.4111
-0.2113,-0.2122,-0.2103,0.2932,-0.3823,0.2327,-0.6113,0.4517,-0.02887,-1.061,-0.2986,-1.102,-0.2856,-1.75,0.0,-1.0,1.231,1.195,-0.4653,0.0,0.3074,0.928,-0.3413,-0.3074,0.05835,-0.513,-0.06726,1.548,-0.3306,0.4421,-0.329,-0.3235,0.979,-0.2109,-0.2122,0.0,0.0,-0.2104,0.0,-0.1548,-0.1517,0.0,0.0,0.0,0.0,0.1242,-1.0,-0.5,-0.5,0.4644,-0.19,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.8193
-0.2113,-0.2122,-0.2103,-0.1868,0.0905,0.2327,-0.6113,0.3552,0.4226,-0.93,-0.2947,6.41,-0.1428,-1.75,0.0,-1.0,1.057,1.028,-0.3792,0.0,0.3098,0.5737,-0.3496,-0.3154,0.54,-0.5054,-0.1952,1.074,-0.3381,1.548,-1.527,-0.646,1.069,-0.2109,-0.2122,0.0,0.0,-0.2104,0.0,-0.1532,0.3228,0.0,0.0,0.0,0.0,0.10895,0.0,-0.5,0.0,0.0251,0.3022,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.701
-0.2113,-0.2122,-0.2103,-0.2046,0.1066,0.2375,-0.6113,0.2595,0.3677,-0.913,-0.29,0.02626,0.0,-1.75,0.0,-1.0,1.028,1.013,-0.3706,0.0,0.3123,-0.358,-0.358,-0.3245,0.513,-0.4922,-0.1602,0.1007,-0.341,1.074,0.4424,-0.329,-0.3215,-0.2109,-0.2122,0.0,0.0,-0.2104,0.0,-0.153,0.5044,0.0,0.0,0.0,0.0,0.004875,1.0,0.0,0.5,-0.04147,0.2656,3.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.04425
