Close,EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.02556,-0.03613,0.0,0.0,1.851,0.0,-0.1718,-1.078,0.1029,1.0,1.0,0.0,0.0,0.3074,0.0201,0.0,0.0,1.0,-0.629,0.0,0.949,0.0,-0.8525,1.59,0.0,-0.8447,0.0,0.0,-1.211,-1.993,0.0,-1.0,0.0,0.0,-1.0,0.0,-0.1032,-0.9033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.454,2.072,2.066,2.076,-1.392,1.393,0.0,0.0,-0.3003,1.525,1.422,-0.3862,3.041,1.0,1.0,0.0,0.0,-1.387,-1.411,1.454,0.0,1.0,0.3127,-3.01,0.747,1.483,-0.1492,0.5225,1.005,-0.7734,-0.4207,-0.447,1.533,1.31,4.0,-1.23,0.0,0.0,-0.625,0.0,1.423,1.908,0.0,0.0,0.0,0.0,1.326,0.0,2.0,4.0,-1.25,1.54,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,1.335
1.0,2.166,2.172,2.16,-0.8765,0.881,0.0,0.0,0.848,0.9824,0.9937,0.0,0.856,1.0,1.0,0.0,0.0,-0.951,-0.984,1.0,0.0,1.0,0.0,-2.781,0.379,0.9277,1.17,0.0,0.0,-0.3037,0.5,0.0,0.67,4.082,7.5,-0.8,0.0,0.0,-0.1818,0.0,0.982,1.298,0.0,0.0,0.0,0.0,0.3499,0.0,1.0,2.0,-0.864,0.9272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336
1.083,1.888,1.8955,1.88,-0.9185,0.9253,0.3828,0.0,1.175,0.975,1.082,1.012,0.4543,1.0,1.0,0.0,0.0,-1.012,-1.066,1.083,0.0,1.0,0.6396,-1.9795,0.06192,0.911,2.293,0.5166,0.2449,0.3108,-0.00769,-0.3193,-0.3398,-0.673,2.127,-0.476,0.0,0.0,0.1666,0.0,1.073,1.151,0.0,0.0,0.0,0.0,0.4631,1.0,1.5,1.429,-0.993,0.8896,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0.4482
0.6665,1.575,1.576,1.573,-0.4766,0.4834,2.0,1.192,0.3772,0.4795,0.65,2.088,0.0,1.0,1.0,0.0,0.0,-0.615,-0.639,0.6665,0.0,1.0,-1.127,-1.596,-0.542,0.4365,1.747,0.5425,-0.5654,0.7007,0.2472,0.4304,0.3652,0.6587,1.512,0.0,0.0,0.0,0.727,0.0,0.649,1.058,0.0,0.0,0.0,0.0,-0.3264,0.0,0.6665,0.8,-0.5366,0.441,-0.6665,0.0,0.0,0.0,0.0,0.0,0.0,-0.339
0.8237,1.461,1.461,1.461,-0.6377,0.6436,1.0,4.0,0.9233,0.593,0.817,2.623,0.1227,1.0,1.0,0.0,0.0,-0.763,-0.7935,0.8237,1.0,-6.715,-0.0716,-1.257,-0.9233,0.57,1.761,2.432,0.2522,1.271,-0.5396,-0.005356,-0.2084,-1.814,1.352,0.2666,0.0,0.0,0.981,0.0,0.811,0.8833,0.0,0.0,0.0,0.0,0.545,4.0,1.0,0.8335,-0.7217,0.5767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5146
0.5,1.303,1.303,1.303,-0.1342,0.1459,1.0,1.0,0.981,0.0882,0.4456,1.964,-0.1345,1.0,1.0,0.0,0.0,-0.4062,-0.4521,0.5,0.0,-5.5,-0.773,-0.964,-1.133,0.06223,1.554,1.189,-0.8125,1.542,0.2795,0.1427,0.8315,3.125,1.212,1.05e-05,0.0,0.0,0.9443,0.0,0.4465,0.393,0.0,0.0,0.0,0.0,-0.6226,0.0,0.5,0.3333,-0.1759,0.11,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.6147
0.5625,1.162,1.158,1.166,-0.285,0.2878,0.5,1.0,-0.0682,0.2191,0.532,1.662,0.1055,1.0,1.0,0.0,0.0,-0.53,-0.487,0.5625,1.0,-1.2,-0.5264,-0.6626,-1.342,0.325,1.101,0.436,-0.00972,1.403,-0.9004,-0.377,0.1754,1.124,1.124,5.7e-06,0.0,0.0,1.444,0.0,0.549,0.5317,0.0,0.0,0.0,0.0,-0.05643,0.0,0.2856,0.5454,-0.2908,0.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0651
