EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.8267,-0.8267,-0.826,-1.101,1.13,1.256,-0.3599,1.401,0.717,0.2046,-0.01776,-0.1908,0.625,-0.919,0.0,0.0,-0.1045,-0.2969,0.3206,0.0,-0.4797,0.3826,0.3137,0.524,0.683,0.2517,-0.749,-0.3289,-0.168,2.209,-0.523,-0.6685,0.66,-0.807,-0.854,0.0,0.0,-0.827,0.0,-0.2747,0.54,0.0,0.0,0.0,0.0,-0.0225,0.0,-0.5,0.5,-0.686,1.522,0.0,1.0,0.5,-0.5,0.0,0.0,0.0,-0.04175
-0.8223,-0.8223,-0.822,-1.06,1.084,1.256,-0.3599,1.284,0.674,0.2339,0.00703,0.0679,0.625,-0.9097,0.0,0.0,-0.1404,-0.3162,0.3284,0.0,-0.4795,0.3782,0.1743,0.465,0.6772,0.26,-0.0373,0.1652,-0.1824,-0.3289,2.285,-2.027,-2.125,-0.8047,-0.8486,0.0,0.0,-0.8228,0.0,-0.271,0.4722,0.0,0.0,0.0,0.0,0.010666,1.0,0.0,0.5,-0.6797,1.441,1.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.01988
-0.8154,-0.816,-0.8154,-1.588,1.62,1.256,-0.3599,1.116,1.325,0.4607,0.03485,1.153,0.625,-0.901,0.0,0.0,-0.3596,-0.512,0.406,0.0,-0.4792,0.7637,0.0395,0.4148,1.303,0.2764,-0.0373,1.648,-0.1343,0.1652,2.207,-0.523,0.169,-0.797,-0.842,0.0,0.0,-0.8174,0.0,-0.2302,0.556,0.0,0.0,0.0,0.0,0.1941,2.0,0.0,0.5,-1.249,1.919,2.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.361
-0.806,-0.806,-0.8066,-1.865,2.053,1.256,-0.3599,0.9614,2.148,0.7295,0.0582,0.7944,0.625,-0.892,0.0,0.0,-0.603,-0.7344,0.4995,0.0,-0.479,1.536,0.0007396,0.3965,1.927,0.307,0.1831,1.929,0.04242,1.648,-0.3284,2.285,-0.337,-0.779,-0.835,0.0,0.0,-0.8105,0.0,-0.1824,0.507,0.0,0.0,0.0,0.0,0.3606,2.0,0.5,0.5,-1.605,2.387,3.0,0.0,0.5,-0.5,1.0,0.0,3.74,0.6543
-0.7964,-0.7954,-0.797,-1.865,2.053,1.256,-0.3599,0.998,2.346,0.8647,0.0834,0.2942,0.625,-0.883,0.0,0.0,-0.712,-0.849,0.546,0.0,-0.4788,0.6724,0.02783,0.3682,2.197,0.3196,0.087,0.9365,0.1852,1.929,0.165,2.207,0.847,-0.7573,-0.827,0.0,0.0,-0.8027,0.0,-0.1586,0.54,0.0,0.0,0.0,0.0,0.0925,2.0,0.5,0.5,-1.605,2.387,4.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.163
-0.79,-0.789,-0.791,-1.457,1.541,1.256,-0.3599,1.032,1.511,0.6426,0.1113,-0.286,0.625,-0.874,0.0,0.0,-0.524,-0.6655,0.4683,0.0,-0.4785,0.9326,0.09076,0.3362,1.285,0.3381,0.505,-1.539,0.2192,0.9365,1.646,-0.3284,-0.669,-0.745,-0.8203,0.0,0.0,-0.7964,0.0,-0.2008,0.626,0.0,0.0,0.0,0.0,-0.1802,2.0,0.5,0.5,-1.082,1.882,0.0,1.0,0.5,-0.5,0.0,0.0,0.0,-0.3127
-0.785,-0.784,-0.786,-1.062,1.15,1.256,-0.3599,1.105,1.059,0.553,0.1339,-0.1879,0.625,-0.8647,0.0,0.0,-0.442,-0.5933,0.4373,0.0,-0.478,0.1051,0.1442,0.2957,0.885,0.3467,1.341,-0.6304,0.1848,-1.539,1.927,0.165,-2.027,-0.74,-0.8145,0.0,0.0,-0.791,0.0,-0.2178,0.4963,0.0,0.0,0.0,0.0,-0.0402,1.0,0.5,0.0,-0.6816,1.509,0.0,2.0,0.5,-0.5,0.0,1.0,-3.318,-0.0715
-0.7827,-0.782,-0.7837,-0.511,0.5894,1.256,-0.3933,0.9707,0.403,0.398,0.1521,-0.5273,0.625,-0.856,0.0,0.0,-0.3137,-0.4453,0.3828,0.0,-0.4778,0.5635,0.1771,0.2402,0.2659,0.3542,1.714,-1.114,0.1339,-0.6304,0.9355,1.6455,-0.5234,-0.737,-0.8096,0.0,0.0,-0.787,0.0,-0.247,0.367,0.0,0.0,0.0,0.0,-0.0767,0.0,0.5,0.0,-0.1188,0.9766,0.0,3.0,0.5,-0.5,0.0,0.0,0.0,-0.1378
-0.7817,-0.781,-0.782,-0.26,0.337,1.256,-0.6606,0.994,0.1104,0.3303,0.1615,-0.626,0.625,-0.8467,0.0,0.0,-0.2507,-0.385,0.3594,0.0,-0.4775,-0.07544,0.1897,0.1758,0.01186,0.3564,1.16,-0.4858,0.09503,-1.114,-1.537,1.927,2.285,-0.7354,-0.806,0.0,0.0,-0.784,0.0,-0.2595,0.2041,0.0,0.0,0.0,0.0,-0.02782,-1.0,0.0,-0.5,0.1206,0.719,0.0,4.0,0.5,-0.5,0.0,0.0,0.0,-0.0508
-0.78,-0.7793,-0.781,-0.3623,0.4375,1.256,-0.6606,1.0205,0.1772,0.3743,0.1768,0.7144,0.625,-0.838,0.0,0.0,-0.2888,-0.4272,0.375,0.0,-0.4773,0.3516,0.1973,0.1295,0.1128,0.3618,0.5166,0.3262,0.1009,-0.4858,-0.63,0.9355,2.207,-0.737,-0.8022,0.0,0.0,-0.783,0.0,-0.2517,0.3389,0.0,0.0,0.0,0.0,0.01782,-1.0,0.0,0.0,-0.06238,0.7314,1.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0328
-0.7764,-0.7764,-0.777,-0.7847,0.84,1.085,-0.6606,0.842,0.5264,0.5293,0.2104,2.107,0.75,-0.8286,0.0,0.0,-0.4397,-0.553,0.4294,0.0,-0.477,0.3218,0.2072,0.124,0.472,0.38,0.6577,1.137,0.1271,0.3262,-1.113,-1.537,-0.3286,-0.7407,-0.7983,0.0,0.0,-0.7817,0.0,-0.2233,0.793,0.0,0.0,0.0,0.0,0.1023,0.0,0.5,0.5,-0.438,1.171,2.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.1874
-0.7705,-0.7705,-0.7705,-1.396,1.434,1.085,-0.6606,0.865,1.101,0.7715,0.2568,1.278,0.875,-0.82,0.0,0.0,-0.645,-0.7627,0.515,0.0,-0.4768,0.8994,0.2272,0.1459,1.073,0.404,0.68,1.755,0.1888,1.137,-0.4854,-0.6294,0.165,-0.742,-0.7935,0.0,0.0,-0.777,0.0,-0.1787,1.025,1.0,0.0,0.0,0.0,0.1787,1.0,0.5,1.0,-1.052,1.745,3.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.3218
-0.7637,-0.764,-0.763,-1.566,1.591,1.085,-0.6606,0.6094,1.251,0.879,0.295,0.2773,0.875,-0.811,0.0,0.0,-0.7515,-0.833,0.5537,0.0,-0.4766,0.0523,0.2703,0.1985,1.126,0.4365,0.2507,0.777,0.2693,1.755,0.326,-1.112,1.646,-0.738,-0.7876,0.0,0.0,-0.7715,0.0,-0.1599,0.9307,1.0,0.0,0.0,0.0,0.1509,2.0,0.5,1.0,-1.278,1.837,4.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.2644
-0.7573,-0.758,-0.7573,-1.355,1.377,1.085,-0.6606,0.515,1.022,0.853,0.3196,-0.0637,0.875,-0.802,0.0,0.0,-0.7373,-0.805,0.546,0.0,-0.476,0.4668,0.3215,0.2542,0.85,0.4568,-0.3198,-0.1534,0.307,0.777,1.135,-0.485,1.927,-0.732,-0.7827,0.0,0.0,-0.766,0.0,-0.1653,0.701,0.0,0.0,0.0,0.0,-0.02074,2.0,0.0,0.5,-1.08,1.615,0.0,1.0,0.5,-0.5,0.0,0.0,0.0,-0.03592
-0.7505,-0.751,-0.7505,-1.579,1.603,1.085,-0.6606,0.4783,1.281,0.9805,0.3503,0.4011,0.875,-0.793,0.0,0.0,-0.843,-0.906,0.593,0.0,-0.4758,0.2382,0.3564,0.3062,1.166,0.4702,-0.625,0.9233,0.3865,-0.1534,1.753,0.326,0.9355,-0.721,-0.777,0.0,0.0,-0.7603,0.0,-0.1414,0.8687,1.0,0.0,0.0,0.0,0.07855,2.0,0.0,1.0,-1.266,1.873,1.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.1364
-0.747,-0.7476,-0.747,-0.763,0.7793,1.085,-0.6606,0.6284,0.3213,0.7314,0.3706,-0.667,0.875,-0.7837,0.0,0.0,-0.6284,-0.712,0.5073,0.0,-0.4756,0.905,0.3552,0.3506,0.2576,0.4792,-0.02599,-1.669,0.3599,0.9233,0.776,1.135,-1.537,-0.7134,-0.7725,0.0,0.0,-0.7554,0.0,-0.1873,0.507,0.0,0.0,0.0,0.0,-0.1017,1.0,0.0,0.5,-0.4553,1.069,0.0,1.0,0.5,-0.5,0.0,0.0,0.0,-0.1741
-0.748,-0.7485,-0.7476,0.2168,-0.1965,1.085,-0.7046,0.9136,-0.7305,0.4172,0.368,-3.256,0.75,-0.775,-1.0,0.0,-0.3352,-0.4585,0.3984,0.0,-0.4753,2.49,0.335,0.3752,-0.8433,0.4854,0.2283,-2.18,0.1902,-1.669,-0.1533,1.753,-0.63,-0.712,-0.769,0.0,0.0,-0.751,0.0,-0.2454,-0.0306,0.0,0.0,0.0,0.0,-0.1348,0.0,0.0,0.0,0.5225,0.1202,0.0,2.0,0.5,-0.5,0.0,0.0,0.0,-0.2367
-0.746,-0.7466,-0.746,-0.3875,0.408,1.085,-0.7046,0.847,-0.02928,0.6133,0.3618,-0.921,0.625,-0.7656,-1.0,0.0,-0.5127,-0.627,0.4683,0.0,-0.475,1.985,0.3206,0.3718,-0.1606,0.484,0.5957,1.45,-0.06604,-2.18,0.9224,0.776,-1.113,-0.71,-0.7656,0.0,0.0,-0.745,0.0,-0.2086,-0.0979,0.0,0.0,0.0,0.0,0.09467,0.0,0.5,0.0,-0.049,0.741,1.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.1721
-0.741,-0.7417,-0.741,-1.09,1.114,1.085,-0.7046,0.823,0.8667,0.875,0.3606,-14.445,0.625,-0.757,0.0,0.0,-0.733,-0.845,0.5615,0.0,-0.4749,0.6626,0.2837,0.3416,0.7324,0.484,0.827,1.892,-0.1705,1.45,-1.667,-0.1533,-0.4854,-0.7075,-0.761,0.0,0.0,-0.7393,0.0,-0.1598,0.0327,0.0,0.0,0.0,0.0,0.1365,1.0,1.0,0.0,-0.73,1.45,2.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.2427
-0.734,-0.734,-0.734,-1.682,1.722,1.36,-0.7046,0.7617,1.637,1.135,0.3804,1.075,0.625,-0.7476,0.0,0.0,-0.943,-1.047,0.655,0.0,-0.4746,0.6064,0.2563,0.3071,1.541,0.4924,0.861,1.838,-0.0884,1.892,-2.178,0.922,0.326,-0.7026,-0.757,0.0,0.0,-0.7334,0.0,-0.1111,0.4827,0.0,0.0,0.0,0.0,0.1423,1.0,1.0,0.5,-1.265,2.1,3.0,0.0,0.5,-0.5,1.0,0.0,3.74,0.246
