EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-1.049,-1.049,-1.048,-0.4456,0.4243,1.151,-1.191,0.4702,0.2482,-0.7817,-0.4277,1.403,0.375,-1.386,0.0,-1.0,0.9087,0.8726,0.1841,0.0,-0.3643,-0.753,-0.5317,-0.604,0.2734,0.162,0.029,0.6147,-0.6953,1.049,-1.259,-2.732,1.495,-1.05,-1.047,0.0,0.0,-1.046,0.0,-0.5513,0.3354,0.0,0.0,0.0,0.0,0.00926,1.0,0.0,0.5,-0.09454,0.7896,3.0,0.0,0.0,0.0,1.0,0.0,3.256,0.05646
-1.049,-1.049,-1.048,0.1816,-0.215,1.151,-1.191,0.643,-0.492,-0.9136,-0.422,-2.191,0.25,-1.386,-1.0,-1.0,1.1,1.044,0.1337,0.0,-0.3638,0.9893,-0.528,-0.593,-0.4778,0.1672,-0.1383,-1.415,-0.699,0.6147,1.295,-0.4158,1.653,-1.052,-1.047,0.0,0.0,-1.045,0.0,-0.561,0.0894,0.0,0.0,0.0,0.0,-0.09265,1.0,-0.5,0.5,0.573,0.2168,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.557
-1.049,-1.049,-1.048,0.00821,-0.03983,1.151,-1.191,0.5806,-0.3586,-0.8643,-0.4163,-0.2434,0.125,-1.386,-1.0,-1.0,1.026,0.978,0.1481,0.0,-0.363,-0.00876,-0.5317,-0.584,-0.3152,0.1696,-0.3616,0.4175,-0.706,-1.415,1.049,-1.259,1.794,-1.052,-1.047,0.0,0.0,-1.045,0.0,-0.558,0.1147,0.0,0.0,0.0,0.0,0.012634,2.0,-0.5,0.5,0.405,0.3923,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0785
-1.048,-1.048,-1.047,-0.7734,0.757,1.151,-1.191,0.583,0.4932,-0.653,-0.408,-3.686,0.125,-1.386,0.0,-1.0,0.755,0.6895,0.2201,0.0,-0.3625,0.171,-0.5366,-0.5737,0.4993,0.1808,-0.3772,2.068,-0.7095,0.4175,0.615,1.295,-0.1917,-1.05,-1.046,0.0,0.0,-1.044,0.0,-0.5435,0.295,0.0,0.0,0.0,0.0,0.11774,2.0,0.0,0.5,-0.329,1.218,2.0,0.0,0.0,0.0,1.0,0.0,6.32,0.7246
-1.047,-1.047,-1.046,-0.764,0.7466,1.151,-1.191,0.4546,0.5117,-0.624,-0.4019,0.1827,0.125,-1.386,0.0,-1.0,0.7085,0.663,0.2273,0.0,-0.362,-0.5327,-0.5464,-0.5664,0.5376,0.185,-0.3235,0.1978,-0.7134,2.068,-1.416,1.049,-0.577,-1.048,-1.046,0.0,0.0,-1.043,0.0,-0.542,0.1632,0.0,0.0,0.0,0.0,0.00199,2.0,0.5,0.5,-0.3894,1.129,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011696
-1.047,-1.047,-1.045,-0.292,0.2644,1.151,-1.191,0.38,0.04333,-0.717,-0.4001,-0.703,0.125,-1.386,0.0,-1.0,0.818,0.7925,0.1913,0.0,-0.3613,-0.2795,-0.562,-0.5635,0.0654,0.1844,-0.01562,-0.9844,-0.725,0.1978,0.4177,0.6147,-2.73,-1.047,-1.045,0.0,0.0,-1.042,0.0,-0.5493,-0.1978,0.0,0.0,0.0,0.0,-0.01174,1.0,0.5,0.0,0.02829,0.5996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0687
-1.046,-1.047,-1.045,-0.09344,0.05875,1.151,-1.191,0.1938,-0.05988,-0.7505,-0.4028,-0.6187,0.125,-1.386,0.0,-1.0,0.844,0.8535,0.1769,0.0,-0.3608,-0.5107,-0.5767,-0.5674,0.01585,0.1738,0.04465,-0.4026,-0.736,-0.9844,2.07,-1.415,-0.4153,-1.046,-1.045,0.0,0.0,-1.041,0.0,-0.552,-0.5527,0.0,0.0,0.0,0.0,-0.0028,1.0,0.5,-0.5,0.2308,0.405,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.01677
-1.046,-1.047,-1.045,0.007584,-0.04626,1.151,-1.191,0.1611,-0.06665,-0.7627,-0.4055,-0.00889,0.125,-1.386,0.0,-1.0,0.858,0.874,0.1697,0.0,-0.3604,-0.508,-0.593,-0.575,-0.01035,0.1686,0.1941,-0.2031,-0.749,-0.4026,0.1979,0.4175,-1.257,-1.047,-1.044,0.0,0.0,-1.041,0.0,-0.553,-0.5527,0.0,0.0,0.0,0.0,-0.002426,0.0,0.5,-0.5,0.3096,0.2778,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.01466
-1.046,-1.046,-1.044,-0.1445,0.1071,1.151,-1.191,0.08405,0.1844,-0.7153,-0.4065,6.93,0.125,-1.386,0.0,-1.0,0.7905,0.816,0.1841,0.0,-0.3596,-0.2751,-0.6084,-0.5874,0.2361,0.1647,0.08704,0.4082,-0.7627,-0.2031,-0.985,2.068,1.294,-1.046,-1.044,0.0,0.0,-1.04,0.0,-0.5503,-0.398,0.0,0.0,0.0,0.0,0.005154,0.0,0.5,0.0,0.0458,0.2993,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03128
-1.046,-1.046,-1.044,-0.11993,0.0805,1.151,-1.191,-0.2004,0.1421,-0.7095,-0.4028,-0.01483,0.125,-1.386,0.0,-1.0,0.7593,0.834,0.1841,0.0,-0.3591,-0.753,-0.622,-0.6025,0.262,0.1628,-0.006695,0.0,-0.774,0.4082,-0.4028,0.1978,1.048,-1.045,-1.044,0.0,0.0,-1.039,0.0,-0.5503,0.10486,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.05002,0.2505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
